year,month,day,year,index,max_temp,min_temp,wind_speed,wind_temp,rain,hum,visibility,clouds,chaleur_index,rosee,pressure,sunrise,sunset,holiday,weekday,workday,avg_temp,string_date,atemp,wkday,casual,registered,cnt,wkday_sin,wkday_cos,sunrise_sin,sunrise_cos,sunset_sin,sunset_cos,mnth_sin,mnth_cos,light,missing_rain,mean_rain
2010,9,15,2010,2010-09-15,29.0,17.0,2.2222222222222223,17.0,0.0,0.72,10.0,7.0,29.0,15.0,1020.0,5.0,18.0,0.0,3.0,1.0,23.0,2010/09/15,24.857298119855706,2,1,0,1,0.43388373911755823,-0.900968867902419,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,False,7.666666666666667
2010,9,16,2010,2010-09-16,31.0,17.0,4.4444444444444455,17.0,1.0,0.93,8.75,46.0,31.0,18.0,1019.0,5.0,18.0,0.0,4.0,1.0,24.0,2010/09/16,25.682248949194268,3,1,0,1,-0.433883739117558,-0.9009688679024191,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,False,7.666666666666667
2010,9,17,2010,2010-09-17,25.0,18.0,4.166666666666667,18.0,2.0,0.95,9.625,24.0,26.0,17.0,1020.0,5.0,18.0,0.0,5.0,1.0,21.5,2010/09/17,22.907162847815385,4,2,7,9,-0.9749279121818236,-0.2225209339563146,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,False,7.666666666666667
2010,9,19,2010,2010-09-19,29.0,16.0,1.3888888888888888,16.0,7.666666666666667,0.8,10.0,10.0,29.0,15.0,1021.0,5.0,18.0,0.0,6.0,0.0,22.5,2010/09/19,24.522849572399387,6,1,10,11,-0.7818314824680299,0.6234898018587334,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,True,7.666666666666667
2010,9,20,2010,2010-09-20,25.0,16.0,5.0,16.0,7.666666666666667,0.83,10.0,10.0,25.0,17.0,1019.0,5.0,18.0,0.0,0.0,0.0,20.5,2010/09/20,21.666882356539556,0,34,204,238,0.0,1.0,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,True,7.666666666666667
2010,9,21,2010,2010-09-21,27.0,15.0,3.611111111111111,15.0,7.666666666666667,0.72,10.0,1.0,26.0,14.0,1023.0,5.0,18.0,0.0,1.0,1.0,21.0,2010/09/21,22.43387399869699,1,109,226,335,0.7818314824680298,0.6234898018587336,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,True,7.666666666666667
2010,9,22,2010,2010-09-22,34.0,18.0,3.611111111111111,18.0,7.666666666666667,0.85,10.0,13.0,37.0,20.0,1019.0,5.0,18.0,0.0,2.0,1.0,26.0,2010/09/22,27.97601948829227,2,117,289,406,0.9749279121818236,-0.22252093395631434,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,True,7.666666666666667
2010,9,23,2010,2010-09-23,33.0,21.0,2.2222222222222223,21.0,7.666666666666667,0.85,9.0,7.0,37.0,22.0,1022.0,5.0,18.0,0.0,3.0,1.0,27.0,2010/09/23,29.145440835656128,3,124,256,380,0.43388373911755823,-0.900968867902419,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,True,7.666666666666667
2010,9,24,2010,2010-09-24,35.0,21.0,4.4444444444444455,21.0,7.666666666666667,0.8,9.0,6.0,36.0,21.0,1020.0,5.0,18.0,0.0,4.0,1.0,28.0,2010/09/24,30.18175982652862,4,156,214,370,-0.433883739117558,-0.9009688679024191,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,True,7.666666666666667
2010,9,25,2010,2010-09-25,34.0,21.0,3.055555555555556,21.0,0.0,0.68,10.0,6.0,36.0,19.0,1013.0,5.0,18.0,0.0,5.0,1.0,27.5,2010/09/25,29.65376488728259,5,267,288,555,-0.9749279121818236,-0.2225209339563146,0.9659258262890682,0.25881904510252096,-1.0,-1.8369701987210297e-16,-0.8660254037844385,-0.5000000000000004,13.0,False,7.666666666666667
2010,9,26,2010,2010-09-26,22.0,17.0,3.611111111111111,17.0,3.0,0.81,8.75,66.0,25.0,15.0,1016.0,5.0,17.0,0.0,6.0,0.0,19.5,2010/09/26,20.771230351818406,6,230,317,547,-0.7818314824680299,0.6234898018587334,0.9659258262890682,0.25881904510252096,-0.9659258262890681,-0.2588190451025215,-0.8660254037844385,-0.5000000000000004,12.0,False,7.666666666666667
2010,9,27,2010,2010-09-27,25.0,20.0,5.0,20.0,26.0,0.99,4.875,96.0,27.0,23.0,1014.0,6.0,17.0,0.0,0.0,0.0,22.5,2010/09/27,23.935790289373397,0,65,227,292,0.0,1.0,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-0.8660254037844385,-0.5000000000000004,11.0,False,7.666666666666667
2010,9,28,2010,2010-09-28,27.0,21.0,5.5555555555555545,21.0,9.0,0.98,9.5,55.0,27.0,20.0,1010.0,6.0,17.0,0.0,1.0,1.0,24.0,2010/09/28,25.59669487078433,1,102,320,422,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-0.8660254037844385,-0.5000000000000004,11.0,False,7.666666666666667
2010,9,29,2010,2010-09-29,20.0,16.0,2.2222222222222223,16.0,6.0,0.91,8.375,39.0,20.0,17.0,1014.0,6.0,17.0,0.0,2.0,1.0,18.0,2010/09/29,19.49711972510518,2,77,378,455,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-0.8660254037844385,-0.5000000000000004,11.0,False,7.666666666666667
2010,9,30,2010,2010-09-30,22.0,17.0,5.0,17.0,22.0,0.92,8.25,45.0,24.0,17.0,1013.0,6.0,17.0,0.0,3.0,1.0,19.5,2010/09/30,20.532428390122625,3,22,143,165,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-0.8660254037844385,-0.5000000000000004,11.0,False,7.666666666666667
2010,10,1,2010,2010-10-01,19.0,15.0,8.055555555555555,15.0,1.0,0.91,9.0,39.0,19.0,14.0,1014.0,6.0,17.0,0.0,4.0,1.0,17.0,2010/10/01,17.22138062684536,4,164,425,589,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-1.0,-1.8369701987210297e-16,11.0,False,3.6818181818181817
2010,10,2,2010,2010-10-02,22.0,11.0,2.7777777777777777,10.0,0.0,0.9,9.0,0.0,25.0,15.0,1016.0,6.0,17.0,0.0,5.0,1.0,16.5,2010/10/02,17.689672723148608,5,397,461,858,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-1.0,-1.8369701987210297e-16,11.0,False,3.6818181818181817
2010,10,3,2010,2010-10-03,17.0,11.0,5.0,9.0,6.0,0.92,9.125,35.0,17.0,11.0,1016.0,6.0,17.0,0.0,6.0,0.0,14.0,2010/10/03,14.292931574829536,6,223,293,516,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-1.0,-1.8369701987210297e-16,11.0,False,3.6818181818181817
2010,10,4,2010,2010-10-04,11.0,10.0,6.111111111111112,7.0,24.0,0.98,8.375,66.0,11.0,11.0,1019.0,6.0,17.0,0.0,0.0,0.0,10.5,2010/10/04,10.018135649654113,0,58,278,336,0.0,1.0,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-1.0,-1.8369701987210297e-16,11.0,False,3.6818181818181817
2010,10,5,2010,2010-10-05,16.0,6.0,5.277777777777779,3.0,0.0,0.9,10.0,33.0,16.0,9.0,1018.0,6.0,17.0,0.0,1.0,1.0,11.0,2010/10/05,10.810793634221435,1,86,550,636,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-1.0,-1.8369701987210297e-16,11.0,False,3.6818181818181817
2010,10,6,2010,2010-10-06,15.0,6.0,3.333333333333333,5.0,1.0,0.91,8.0,46.0,15.0,11.0,1016.0,6.0,17.0,0.0,2.0,1.0,10.5,2010/10/06,10.907991121728449,2,94,595,689,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-1.0,-1.8369701987210297e-16,11.0,False,3.6818181818181817
2010,10,7,2010,2010-10-07,20.0,9.0,5.833333333333332,7.0,0.0,0.81,10.0,9.0,20.0,12.0,1017.0,6.0,17.0,0.0,3.0,1.0,14.5,2010/10/07,14.678581218783247,3,163,726,889,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,-0.9659258262890681,-0.2588190451025215,-1.0,-1.8369701987210297e-16,11.0,False,3.6818181818181817
