field,2013/11/01,2013/11/02,2013/11/03,2013/11/04,2013/11/05,2013/11/06,2013/11/07,2013/11/08,2013/11/09,2013/11/10,2013/11/11,2013/11/12,2013/11/13,2013/11/14,2013/11/15,2013/11/16,2013/11/17,2013/11/18,2013/11/19,2013/11/20,2013/11/21,2013/11/22,2013/11/23,2013/11/24,2013/11/25,2013/11/26,2013/11/27,2013/11/28,2013/11/29,2013/11/30
Température maximale,22°,18°,12°,9°,15°,19°,16°,10°,11°,15°,13°,7°,6°,11°,13°,15°,19°,17°,8°,8°,10°,13°,8°,1°,3°,10°,9°,3°,7°,5°
Température minimale,19°,11°,6°,0°,4°,9°,12°,3°,1°,5°,3°,3°,-2°,-2°,1°,6°,13°,12°,2°,1°,3°,9°,2°,-2°,-4°,0°,3°,-4°,1°,-3°
Vitesse du vent,27km/h,18km/h,23km/h,11km/h,8km/h,17km/h,23km/h,26km/h,18km/h,29km/h,17km/h,27km/h,22km/h,11km/h,8km/h,6km/h,17km/h,22km/h,26km/h,12km/h,7km/h,14km/h,19km/h,34km/h,14km/h,10km/h,28km/h,21km/h,17km/h,9km/h
Température du vent,19°,10°,4°,-4°,2°,8°,9°,-1°,0°,2°,0°,-2°,-7°,-5°,-2°,6°,12°,10°,-2°,-3°,1°,7°,-3°,-8°,-8°,-4°,-3°,-10°,-3°,-6°
Précipitations,7mm,0mm,,,,0mm,3mm,0mm,,,0mm,3mm,0mm,,0mm,10mm,3mm,3mm,0mm,,0mm,3mm,0mm,,0mm,20mm,36mm,0mm,,
Humidité,96%,88%,86%,69%,92%,98%,98%,80%,79%,73%,88%,79%,77%,63%,58%,98%,98%,82%,73%,72%,93%,97%,80%,41%,55%,71%,93%,78%,71%,76%
Visibilité,7.625km,10km,10km,10km,9km,6.5km,9.75km,10km,10km,10km,10km,8.375km,10km,10km,10km,5.875km,5.125km,10km,10km,10km,9km,7.125km,10km,10km,10km,8km,6.375km,10km,10km,10km
Couverture nuageuse,61%,22%,12%,16%,43%,52%,37%,6%,19%,3%,16%,60%,19%,12%,49%,75%,86%,18%,0%,19%,59%,68%,19%,30%,10%,73%,70%,4%,2%,40%
Indice de chaleur,25,18,12,9,15,19,16,10,11,14,13,7,6,11,13,15,19,17,8,8,10,13,8,1,3,10,9,3,7,5
Point de rosée,19°C,9°C,5°C,0°C,10°C,14°C,13°C,0°C,2°C,4°C,3°C,1°C,0°C,1°C,2°C,12°C,16°C,15°C,0°C,0°C,7°C,12°C,6°C,0°C,0°C,10°C,9°C,0°C,,0°C
Pression,1007hPa,1011hPa,1030hPa,1037hPa,1037hPa,1032hPa,1019hPa,1027hPa,1028hPa,1024hPa,1026hPa,1028hPa,1032hPa,1029hPa,1026hPa,1026hPa,1023hPa,1016hPa,1029hPa,1035hPa,1035hPa,1028hPa,1022hPa,1034hPa,1035hPa,1028hPa,1012hPa,1033hPa,1040hPa,1040hPa
Heure du lever du soleil,06:35:00,06:37:00,06:38:00,06:39:00,06:40:00,06:41:00,06:42:00,06:43:00,06:44:00,06:45:00,06:47:00,06:48:00,06:49:00,06:50:00,06:51:00,06:52:00,06:53:00,06:54:00,06:55:00,06:57:00,06:58:00,06:59:00,07:00:00,07:01:00,07:02:00,07:03:00,07:04:00,07:05:00,07:06:00,07:07:00
Heure du coucher du soleil,17:07:00,17:06:00,17:05:00,17:04:00,17:03:00,17:02:00,17:01:00,17:00:00,16:59:00,16:58:00,16:57:00,16:56:00,16:56:00,16:55:00,16:54:00,16:53:00,16:53:00,16:52:00,16:51:00,16:51:00,16:50:00,16:50:00,16:49:00,16:49:00,16:48:00,16:48:00,16:47:00,16:47:00,16:47:00,16:47:00
Durée du jour,10:32:0,10:29:0,10:27:0,10:25:0,10:23:0,10:21:0,10:19:0,10:17:0,10:15:0,10:13:0,10:10:0,10:8:0,10:7:0,10:5:0,10:3:0,10:1:0,10:0:0,9:58:0,9:56:0,9:54:0,9:52:0,9:51:0,9:49:0,9:48:0,9:46:0,9:45:0,9:43:0,9:42:0,9:41:0,9:40:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
