field,2013/05/01,2013/05/02,2013/05/03,2013/05/04,2013/05/05,2013/05/06,2013/05/07,2013/05/08,2013/05/09,2013/05/10,2013/05/11,2013/05/12,2013/05/13,2013/05/14,2013/05/15,2013/05/16,2013/05/17,2013/05/18,2013/05/19,2013/05/20,2013/05/21,2013/05/22,2013/05/23,2013/05/24,2013/05/25,2013/05/26,2013/05/27,2013/05/28,2013/05/29,2013/05/30,2013/05/31
Température maximale,20°,19°,18°,18°,17°,17°,19°,22°,24°,28°,24°,19°,17°,19°,27°,28°,26°,18°,25°,26°,28°,29°,25°,20°,21°,23°,23°,26°,31°,32°,31°
Température minimale,11°,11°,12°,11°,9°,11°,14°,14°,14°,17°,19°,16°,8°,7°,12°,17°,18°,17°,17°,18°,20°,21°,21°,16°,8°,9°,11°,16°,19°,21°,21°
Vitesse du vent,18km/h,13km/h,24km/h,21km/h,18km/h,18km/h,28km/h,15km/h,15km/h,21km/h,24km/h,33km/h,22km/h,17km/h,24km/h,18km/h,17km/h,13km/h,22km/h,17km/h,15km/h,21km/h,21km/h,41km/h,41km/h,26km/h,11km/h,21km/h,21km/h,17km/h,24km/h
Température du vent,11°,7°,10°,7°,6°,5°,12°,15°,13°,19°,18°,9°,6°,4°,12°,18°,17°,16°,18°,18°,19°,19°,20°,12°,2°,5°,12°,16°,18°,20°,21°
Précipitations,1mm,0mm,,,,0mm,7mm,3mm,1mm,3mm,14mm,0mm,1mm,0mm,1mm,0mm,0mm,4mm,14mm,1mm,1mm,9mm,5mm,1mm,0mm,,0mm,5mm,5mm,0mm,
Humidité,73%,93%,69%,83%,74%,88%,93%,88%,88%,68%,88%,89%,85%,87%,69%,82%,80%,89%,98%,98%,100%,100%,93%,93%,73%,79%,78%,87%,90%,93%,73%
Visibilité,10km,7.5km,8.75km,10km,10km,9.5km,7km,7.75km,8km,9.25km,8.5km,10km,10km,10km,10km,10km,10km,10.25km,7.75km,7.25km,8.375km,7.25km,8.875km,9km,10km,10km,10km,9.5km,9.25km,9.125km,10km
Couverture nuageuse,33%,37%,17%,39%,32%,75%,88%,55%,38%,22%,59%,26%,11%,25%,36%,21%,24%,93%,73%,62%,48%,52%,55%,88%,5%,1%,1%,40%,29%,16%,6%
Indice de chaleur,21,24,19,16,15,20,20,21,25,30,25,18,15,18,31,28,27,20,26,29,34,33,26,20,19,24,27,28,32,37,35
Point de rosée,7°C,7°C,7°C,7°C,6°C,12°C,14°C,13°C,14°C,17°C,17°C,13°C,0°C,3°C,16°C,16°C,14°C,13°C,18°C,20°C,21°C,21°C,19°C,16°C,1°C,3°C,9°C,18°C,19°C,18°C,19°C
Pression,1030hPa,1031hPa,1029hPa,1027hPa,1024hPa,1023hPa,1019hPa,1017hPa,1017hPa,1017hPa,1011hPa,1017hPa,1022hPa,1024hPa,1017hPa,1015hPa,1021hPa,1024hPa,1021hPa,1020hPa,1017hPa,1014hPa,1013hPa,1019hPa,1023hPa,1024hPa,1026hPa,1022hPa,1021hPa,1023hPa,1022hPa
Heure du lever du soleil,05:10:00,05:09:00,05:08:00,05:07:00,05:05:00,05:04:00,05:03:00,05:02:00,05:01:00,05:00:00,04:59:00,04:58:00,04:57:00,04:56:00,04:55:00,04:55:00,04:54:00,04:53:00,04:52:00,04:51:00,04:51:00,04:50:00,04:49:00,04:49:00,04:48:00,04:47:00,04:47:00,04:46:00,04:46:00,04:45:00,04:45:00
Heure du coucher du soleil,19:01:00,19:02:00,19:03:00,19:04:00,19:05:00,19:06:00,19:07:00,19:08:00,19:09:00,19:10:00,19:11:00,19:12:00,19:12:00,19:13:00,19:14:00,19:15:00,19:16:00,19:17:00,19:18:00,19:19:00,19:20:00,19:20:00,19:21:00,19:22:00,19:23:00,19:24:00,19:25:00,19:25:00,19:26:00,19:27:00,19:27:00
Durée du jour,13:51:0,13:53:0,13:55:0,13:57:0,14:0:0,14:2:0,14:4:0,14:6:0,14:8:0,14:10:0,14:12:0,14:14:0,14:15:0,14:17:0,14:19:0,14:20:0,14:22:0,14:24:0,14:26:0,14:28:0,14:29:0,14:30:0,14:32:0,14:33:0,14:35:0,14:37:0,14:38:0,14:39:0,14:40:0,14:42:0,14:42:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
