field,2016/09/01,2016/09/02,2016/09/03,2016/09/04,2016/09/05,2016/09/06,2016/09/07,2016/09/08,2016/09/09,2016/09/10,2016/09/11,2016/09/12,2016/09/13,2016/09/14,2016/09/15,2016/09/16,2016/09/17,2016/09/18,2016/09/19,2016/09/20,2016/09/21,2016/09/22,2016/09/23,2016/09/24,2016/09/25,2016/09/26,2016/09/27,2016/09/28,2016/09/29,2016/09/30
Température maximale,28°,29°,28°,24°,33°,34°,31°,33°,33°,34°,30°,26°,31°,35°,25°,27°,27°,32°,27°,27°,31°,28°,30°,27°,22°,23°,23°,23°,23°,19°
Température minimale,25°,22°,18°,18°,21°,24°,26°,24°,28°,25°,24°,18°,22°,21°,21°,21°,20°,24°,22°,24°,23°,21°,23°,22°,16°,17°,19°,19°,21°,17°
Vitesse du vent,19km/h,18km/h,19km/h,18km/h,18km/h,20km/h,17km/h,18km/h,13km/h,12km/h,20km/h,8km/h,15km/h,13km/h,16km/h,15km/h,15km/h,13km/h,8km/h,14km/h,15km/h,13km/h,9km/h,16km/h,9km/h,18km/h,11km/h,20km/h,26km/h,19km/h
Température du vent,24°,21°,18°,18°,20°,23°,24°,25°,26°,26°,25°,19°,21°,22°,20°,20°,19°,23°,23°,23°,22°,20°,21°,20°,14°,16°,18°,19°,21°,17°
Précipitations,5mm,1mm,1mm,12mm,0mm,0mm,2mm,3mm,4mm,0mm,1mm,0mm,1mm,0mm,1mm,0mm,0mm,8mm,27mm,2mm,0mm,,,,0mm,1mm,15mm,5mm,29mm,4mm
Humidité,82%,66%,67%,85%,71%,69%,89%,74%,76%,73%,69%,59%,81%,78%,64%,82%,90%,95%,96%,96%,95%,91%,95%,81%,74%,78%,89%,87%,94%,96%
Visibilité,9.375km,10km,10km,9.125km,10km,10km,9.625km,10km,10km,10km,9.875km,10km,9km,10km,10km,10km,10km,7.625km,7km,5.75km,7km,10km,8km,10km,8km,10km,8.75km,7.875km,6.625km,8km
Couverture nuageuse,71%,6%,8%,100%,50%,24%,29%,29%,37%,49%,46%,9%,52%,18%,32%,42%,36%,76%,92%,100%,53%,34%,13%,17%,20%,75%,94%,71%,100%,100%
Indice de chaleur,30,28,27,25,33,35,36,37,37,37,30,27,31,34,26,26,29,34,31,30,32,29,31,27,23,25,25,24,25,20
Point de rosée,21°C,15°C,15°C,16°C,16°C,20°C,23°C,22°C,23°C,24°C,22°C,16°C,20°C,18°C,16°C,17°C,22°C,23°C,25°C,23°C,22°C,19°C,23°C,19°C,17°C,18°C,18°C,20°C,20°C,18°C
Pression,1012hPa,1019hPa,1025hPa,1021hPa,1021hPa,1020hPa,1017hPa,1013hPa,1015hPa,1016hPa,1019hPa,1023hPa,1024hPa,1019hPa,1023hPa,1025hPa,1023hPa,1017hPa,1019hPa,1020hPa,1021hPa,1022hPa,1017hPa,1020hPa,1023hPa,1020hPa,1015hPa,1016hPa,1020hPa,1021hPa
Heure du lever du soleil,06:37:00,06:38:00,06:39:00,06:40:00,06:41:00,06:42:00,06:43:00,06:44:00,06:44:00,06:45:00,06:46:00,06:47:00,06:48:00,06:49:00,06:50:00,06:51:00,06:52:00,06:53:00,06:54:00,06:54:00,06:55:00,06:56:00,06:57:00,06:58:00,06:59:00,07:00:00,07:01:00,07:02:00,07:03:00,07:04:00
Heure du coucher du soleil,19:38:00,19:36:00,19:35:00,19:33:00,19:32:00,19:30:00,19:29:00,19:27:00,19:25:00,19:24:00,19:22:00,19:21:00,19:19:00,19:17:00,19:16:00,19:14:00,19:13:00,19:11:00,19:09:00,19:08:00,19:06:00,19:04:00,19:03:00,19:01:00,19:00:00,18:58:00,18:56:00,18:55:00,18:53:00,18:52:00
Durée du jour,13:1:0,12:58:0,12:56:0,12:53:0,12:51:0,12:48:0,12:46:0,12:43:0,12:41:0,12:39:0,12:36:0,12:34:0,12:31:0,12:28:0,12:26:0,12:23:0,12:21:0,12:18:0,12:15:0,12:14:0,12:11:0,12:8:0,12:6:0,12:3:0,12:1:0,11:58:0,11:55:0,11:53:0,11:50:0,11:48:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
