field,2011/10/01,2011/10/02,2011/10/03,2011/10/04,2011/10/05,2011/10/06,2011/10/07,2011/10/08,2011/10/09,2011/10/10,2011/10/11,2011/10/12,2011/10/13,2011/10/14,2011/10/15,2011/10/16,2011/10/17,2011/10/18,2011/10/19,2011/10/20,2011/10/21,2011/10/22,2011/10/23,2011/10/24,2011/10/25,2011/10/26,2011/10/27,2011/10/28,2011/10/29,2011/10/30,2011/10/31
Température maximale,14°,12°,11°,19°,23°,20°,20°,22°,24°,25°,22°,20°,21°,19°,19°,20°,21°,23°,19°,20°,16°,16°,17°,20°,18°,21°,18°,11°,6°,9°,13°
Température minimale,10°,8°,8°,9°,12°,11°,12°,14°,14°,16°,18°,17°,17°,17°,10°,9°,14°,13°,16°,11°,6°,7°,10°,9°,7°,9°,11°,2°,1°,0°,3°
Vitesse du vent,23km/h,21km/h,9km/h,20km/h,21km/h,8km/h,8km/h,5km/h,4km/h,7km/h,12km/h,21km/h,12km/h,19km/h,30km/h,25km/h,13km/h,11km/h,25km/h,32km/h,18km/h,12km/h,9km/h,18km/h,17km/h,19km/h,24km/h,11km/h,36km/h,16km/h,15km/h
Température du vent,8°,6°,7°,7°,10°,11°,13°,14°,15°,16°,18°,17°,17°,17°,8°,6°,14°,13°,16°,8°,3°,6°,10°,8°,5°,6°,9°,-1°,-5°,-4°,3°
Précipitations,9mm,0mm,3mm,0mm,,,,,,0mm,1mm,14mm,4mm,6mm,0mm,,,0mm,3mm,1mm,0mm,,,,,0mm,5mm,0mm,49mm,0mm,0mm
Humidité,87%,80%,83%,87%,86%,77%,76%,93%,69%,74%,87%,97%,98%,91%,71%,65%,73%,64%,100%,82%,90%,89%,89%,87%,93%,85%,94%,88%,97%,89%,76%
Visibilité,9.25km,10km,7.5km,10km,10km,10km,10km,10km,10km,10km,10km,8.875km,6.125km,9.5km,10km,10km,10km,10km,8.75km,9km,10km,10km,10km,10km,10km,10km,8.625km,10km,7.25km,9km,10km
Couverture nuageuse,84%,82%,91%,34%,5%,2%,2%,4%,3%,14%,43%,100%,93%,52%,5%,9%,15%,27%,90%,41%,20%,37%,27%,17%,3%,27%,64%,20%,93%,7%,20%
Indice de chaleur,14,12,11,19,25,20,20,25,25,26,25,20,21,19,19,20,21,25,19,20,16,16,17,20,18,24,18,11,6,9,13
Point de rosée,10°C,7°C,9°C,11°C,13°C,11°C,14°C,15°C,14°C,15°C,17°C,18°C,20°C,18°C,7°C,9°C,14°C,16°C,18°C,19°C,8°C,8°C,9°C,12°C,9°C,13°C,15°C,3°C,4°C,2°C,6°C
Pression,1006hPa,1013hPa,1018hPa,1021hPa,1025hPa,1030hPa,1032hPa,1033hPa,1032hPa,1026hPa,1021hPa,1018hPa,1009hPa,1005hPa,1014hPa,1017hPa,1013hPa,1013hPa,1008hPa,1006hPa,1019hPa,1021hPa,1022hPa,1020hPa,1023hPa,1018hPa,1018hPa,1024hPa,1021hPa,1029hPa,1030hPa
Heure du lever du soleil,06:04:00,06:05:00,06:06:00,06:07:00,06:07:00,06:08:00,06:09:00,06:10:00,06:11:00,06:12:00,06:13:00,06:14:00,06:15:00,06:16:00,06:17:00,06:18:00,06:19:00,06:20:00,06:21:00,06:22:00,06:23:00,06:24:00,06:25:00,06:26:00,06:27:00,06:28:00,06:29:00,06:31:00,06:32:00,06:33:00,06:34:00
Heure du coucher du soleil,17:51:00,17:50:00,17:48:00,17:47:00,17:45:00,17:44:00,17:42:00,17:41:00,17:39:00,17:38:00,17:36:00,17:35:00,17:33:00,17:32:00,17:30:00,17:29:00,17:27:00,17:26:00,17:25:00,17:23:00,17:22:00,17:21:00,17:19:00,17:18:00,17:17:00,17:15:00,17:14:00,17:13:00,17:12:00,17:10:00,17:09:00
Durée du jour,11:47:0,11:45:0,11:42:0,11:40:0,11:38:0,11:36:0,11:33:0,11:31:0,11:28:0,11:26:0,11:23:0,11:21:0,11:18:0,11:16:0,11:13:0,11:11:0,11:8:0,11:6:0,11:4:0,11:1:0,10:59:0,10:57:0,10:54:0,10:52:0,10:50:0,10:47:0,10:45:0,10:42:0,10:40:0,10:37:0,10:35:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
