field,2014/05/01,2014/05/02,2014/05/03,2014/05/04,2014/05/05,2014/05/06,2014/05/07,2014/05/08,2014/05/09,2014/05/10,2014/05/11,2014/05/12,2014/05/13,2014/05/14,2014/05/15,2014/05/16,2014/05/17,2014/05/18,2014/05/19,2014/05/20,2014/05/21,2014/05/22,2014/05/23,2014/05/24,2014/05/25,2014/05/26,2014/05/27,2014/05/28,2014/05/29,2014/05/30,2014/05/31
Température maximale,25°,20°,22°,22°,20°,25°,21°,32°,30°,26°,31°,32°,32°,24°,27°,24°,23°,21°,24°,26°,28°,30°,24°,25°,29°,33°,33°,29°,16°,24°,26°
Température minimale,20°,12°,14°,13°,7°,12°,11°,18°,20°,20°,14°,15°,18°,15°,18°,17°,9°,7°,7°,11°,14°,17°,11°,10°,13°,14°,18°,19°,13°,13°,13°
Vitesse du vent,13km/h,17km/h,15km/h,24km/h,17km/h,10km/h,14km/h,6km/h,10km/h,18km/h,11km/h,13km/h,11km/h,10km/h,24km/h,24km/h,17km/h,15km/h,10km/h,9km/h,12km/h,11km/h,16km/h,16km/h,9km/h,9km/h,10km/h,18km/h,13km/h,5km/h,16km/h
Température du vent,20°,11°,15°,12°,4°,12°,10°,18°,20°,20°,14°,15°,18°,14°,18°,17°,7°,5°,5°,10°,14°,17°,10°,8°,12°,14°,18°,19°,13°,14°,12°
Précipitations,6mm,0mm,1mm,0mm,1mm,1mm,1mm,2mm,7mm,13mm,1mm,4mm,6mm,3mm,2mm,38mm,0mm,,0mm,1mm,9mm,4mm,0mm,1mm,0mm,0mm,8mm,13mm,12mm,1mm,0mm
Humidité,94%,73%,69%,77%,71%,88%,70%,97%,95%,96%,97%,95%,95%,99%,98%,99%,77%,82%,72%,70%,98%,97%,93%,87%,90%,91%,82%,96%,98%,99%,85%
Visibilité,9.25km,10km,9.875km,10km,9.375km,8km,10km,7.5km,5.875km,9.25km,7.5km,8.875km,7.625km,7.375km,9.125km,7.125km,10km,10km,10km,10km,6.625km,7.375km,10km,9.875km,10km,10km,9.125km,8km,4.125km,5.5km,10km
Couverture nuageuse,50%,22%,30%,22%,27%,29%,54%,58%,51%,63%,30%,19%,28%,78%,49%,61%,19%,11%,8%,31%,58%,27%,18%,15%,12%,8%,25%,47%,100%,63%,15%
Indice de chaleur,26,20,25,25,20,26,21,37,36,28,34,40,39,26,29,25,25,24,25,26,32,34,26,27,29,36,41,33,16,29,27
Point de rosée,20°C,10°C,14°C,13°C,9°C,14°C,14°C,23°C,25°C,21°C,20°C,26°C,27°C,22°C,22°C,19°C,10°C,9°C,12°C,16°C,25°C,24°C,15°C,16°C,16°C,22°C,26°C,25°C,15°C,20°C,15°C
Pression,1010hPa,1012hPa,1011hPa,1015hPa,1018hPa,1019hPa,1024hPa,1021hPa,1020hPa,1016hPa,1020hPa,1022hPa,1021hPa,1023hPa,1020hPa,1013hPa,1021hPa,1024hPa,1026hPa,1023hPa,1015hPa,1013hPa,1016hPa,1019hPa,1021hPa,1020hPa,1015hPa,1017hPa,1022hPa,1021hPa,1025hPa
Heure du lever du soleil,05:10:00,05:09:00,05:08:00,05:07:00,05:06:00,05:05:00,05:04:00,05:02:00,05:01:00,05:00:00,04:59:00,04:58:00,04:57:00,04:57:00,04:56:00,04:55:00,04:54:00,04:53:00,04:52:00,04:51:00,04:51:00,04:50:00,04:49:00,04:49:00,04:48:00,04:47:00,04:47:00,04:46:00,04:46:00,04:45:00,04:45:00
Heure du coucher du soleil,19:01:00,19:02:00,19:03:00,19:04:00,19:05:00,19:06:00,19:07:00,19:08:00,19:09:00,19:09:00,19:10:00,19:11:00,19:12:00,19:13:00,19:14:00,19:15:00,19:16:00,19:17:00,19:18:00,19:19:00,19:19:00,19:20:00,19:21:00,19:22:00,19:23:00,19:24:00,19:24:00,19:25:00,19:26:00,19:27:00,19:27:00
Durée du jour,13:51:0,13:53:0,13:55:0,13:57:0,13:59:0,14:1:0,14:3:0,14:6:0,14:8:0,14:9:0,14:11:0,14:13:0,14:15:0,14:16:0,14:18:0,14:20:0,14:22:0,14:24:0,14:26:0,14:28:0,14:28:0,14:30:0,14:32:0,14:33:0,14:35:0,14:37:0,14:37:0,14:39:0,14:40:0,14:42:0,14:42:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
