field,2016/12/01,2016/12/02,2016/12/03,2016/12/04,2016/12/05,2016/12/06,2016/12/07,2016/12/08,2016/12/09,2016/12/10,2016/12/11,2016/12/12,2016/12/13,2016/12/14,2016/12/15,2016/12/16,2016/12/17,2016/12/18,2016/12/19,2016/12/20,2016/12/21,2016/12/22,2016/12/23,2016/12/24,2016/12/25,2016/12/26,2016/12/27,2016/12/28,2016/12/29,2016/12/30,2016/12/31
Température maximale,18°,10°,9°,9°,13°,8°,11°,7°,3°,2°,4°,12°,7°,6°,2°,-3°,7°,14°,2°,7°,8°,11°,9°,9°,5°,9°,19°,10°,9°,5°,7°
Température minimale,13°,6°,4°,2°,6°,6°,7°,4°,-3°,-2°,-1°,4°,2°,3°,-5°,-9°,0°,12°,0°,1°,0°,5°,2°,5°,3°,4°,12°,3°,5°,2°,1°
Vitesse du vent,22km/h,20km/h,22km/h,7km/h,15km/h,17km/h,15km/h,19km/h,22km/h,17km/h,15km/h,13km/h,6km/h,16km/h,32km/h,11km/h,18km/h,27km/h,13km/h,4km/h,9km/h,20km/h,7km/h,14km/h,11km/h,7km/h,22km/h,14km/h,20km/h,27km/h,23km/h
Température du vent,10°,2°,-1°,0°,4°,4°,3°,2°,-9°,-7°,-3°,0°,0°,-1°,-14°,-14°,-5°,8°,-5°,-1°,-4°,2°,-1°,2°,-1°,2°,9°,-1°,1°,-3°,-4°
Précipitations,4mm,0mm,,0mm,9mm,29mm,4mm,0mm,,,0mm,8mm,0mm,,,0mm,8mm,2mm,0mm,,,,0mm,14mm,1mm,1mm,1mm,0mm,9mm,0mm,
Humidité,65%,70%,76%,85%,91%,93%,89%,79%,68%,77%,77%,95%,79%,82%,47%,65%,88%,97%,72%,84%,79%,68%,86%,95%,94%,94%,89%,83%,95%,69%,62%
Visibilité,10km,10km,10km,10km,8.5km,7.5km,7.75km,8km,10km,10km,10km,8.625km,10km,9km,10km,10km,8.5km,8.75km,10km,9km,10km,10km,9km,7.5km,5km,7km,9.875km,10km,9.25km,10km,10km
Couverture nuageuse,31%,0%,14%,79%,64%,100%,63%,71%,0%,0%,80%,75%,88%,59%,22%,53%,93%,99%,82%,24%,40%,40%,35%,88%,96%,89%,56%,21%,51%,1%,40%
Indice de chaleur,18,9,8,8,12,8,10,7,2,2,4,12,6,5,4,0,6,14,1,6,7,10,8,10,5,9,18,10,8,6,6
Point de rosée,16°C,3°C,0°C,1°C,5°C,6°C,5°C,4°C,0°C,,0°C,9°C,3°C,2°C,0°C,0°C,5°C,13°C,0°C,,,0°C,1°C,9°C,4°C,7°C,11°C,5°C,4°C,0°C,0°C
Pression,1013hPa,1020hPa,1025hPa,1026hPa,1019hPa,1020hPa,1019hPa,1021hPa,1029hPa,1034hPa,1035hPa,1022hPa,1023hPa,1020hPa,1028hPa,1033hPa,1027hPa,1030hPa,1041hPa,1039hPa,1025hPa,1025hPa,1033hPa,1029hPa,1037hPa,1037hPa,1024hPa,1024hPa,1018hPa,1018hPa,1022hPa
Heure du lever du soleil,07:08:00,07:09:00,07:10:00,07:11:00,07:12:00,07:13:00,07:14:00,07:15:00,07:16:00,07:16:00,07:17:00,07:18:00,07:19:00,07:19:00,07:20:00,07:21:00,07:21:00,07:22:00,07:23:00,07:23:00,07:24:00,07:24:00,07:25:00,07:25:00,07:25:00,07:26:00,07:26:00,07:26:00,07:27:00,07:27:00,07:27:00
Heure du coucher du soleil,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:47:00,16:47:00,16:47:00,16:47:00,16:48:00,16:48:00,16:49:00,16:49:00,16:50:00,16:50:00,16:51:00,16:51:00,16:52:00,16:53:00,16:53:00,16:54:00,16:55:00,16:55:00,16:56:00
Durée du jour,9:38:0,9:37:0,9:36:0,9:35:0,9:34:0,9:33:0,9:32:0,9:31:0,9:30:0,9:30:0,9:29:0,9:28:0,9:28:0,9:28:0,9:27:0,9:26:0,9:27:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:27:0,9:27:0,9:27:0,9:28:0,9:28:0,9:28:0,9:29:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
