field,2013/10/01,2013/10/02,2013/10/03,2013/10/04,2013/10/05,2013/10/06,2013/10/07,2013/10/08,2013/10/09,2013/10/10,2013/10/11,2013/10/12,2013/10/13,2013/10/14,2013/10/15,2013/10/16,2013/10/17,2013/10/18,2013/10/19,2013/10/20,2013/10/21,2013/10/22,2013/10/23,2013/10/24,2013/10/25,2013/10/26,2013/10/27,2013/10/28,2013/10/29,2013/10/30,2013/10/31
Température maximale,28°,32°,30°,32°,33°,30°,23°,20°,17°,13°,16°,18°,18°,23°,22°,23°,24°,21°,18°,21°,19°,18°,13°,11°,12°,13°,18°,18°,18°,19°,22°
Température minimale,15°,19°,20°,20°,22°,21°,17°,12°,13°,12°,14°,17°,16°,13°,12°,15°,17°,11°,12°,7°,9°,10°,8°,4°,2°,3°,4°,5°,6°,10°,13°
Vitesse du vent,8km/h,10km/h,7km/h,6km/h,7km/h,17km/h,25km/h,15km/h,18km/h,23km/h,21km/h,20km/h,20km/h,12km/h,10km/h,9km/h,13km/h,17km/h,14km/h,14km/h,15km/h,16km/h,15km/h,24km/h,20km/h,24km/h,15km/h,5km/h,10km/h,8km/h,23km/h
Température du vent,15°,19°,20°,20°,22°,21°,17°,10°,12°,10°,13°,17°,16°,12°,11°,15°,17°,10°,11°,4°,8°,8°,7°,0°,-2°,1°,1°,5°,4°,10°,12°
Humidité,79%,82%,86%,87%,83%,85%,96%,79%,80%,96%,97%,98%,97%,97%,96%,97%,90%,83%,88%,90%,72%,78%,93%,79%,79%,74%,87%,85%,89%,96%,98%
Visibilité,10km,10km,10km,10km,10km,10km,8.625km,10km,8.75km,3.875km,4.625km,3km,4.875km,5.75km,6km,5km,7.375km,10km,9.875km,10km,10km,10km,9.25km,10km,10km,10km,10km,10km,9km,5.75km,5.125km
Couverture nuageuse,32%,3%,27%,21%,11%,7%,59%,19%,62%,100%,100%,99%,92%,25%,15%,63%,39%,4%,50%,0%,0%,36%,44%,11%,5%,13%,11%,31%,11%,59%,79%
Indice de chaleur,29,36,34,35,36,32,26,20,17,13,16,18,18,25,25,25,26,21,18,21,19,18,13,11,12,13,18,18,18,19,25
Point de rosée,19°C,21°C,22°C,21°C,22°C,20°C,22°C,10°C,13°C,13°C,15°C,17°C,17°C,17°C,16°C,19°C,18°C,12°C,16°C,11°C,11°C,10°C,8°C,1°C,2°C,3°C,9°C,11°C,12°C,15°C,16°C
Pression,1018hPa,1019hPa,1020hPa,1018hPa,1019hPa,1017hPa,1018hPa,1026hPa,1026hPa,1022hPa,1016hPa,1020hPa,1025hPa,1027hPa,1023hPa,1018hPa,1013hPa,1017hPa,1016hPa,1020hPa,1021hPa,1015hPa,1012hPa,1021hPa,1026hPa,1027hPa,1020hPa,1025hPa,1030hPa,1027hPa,1021hPa
Heure du lever du soleil,06:04:00,06:05:00,06:06:00,06:07:00,06:08:00,06:09:00,06:10:00,06:11:00,06:12:00,06:13:00,06:14:00,06:15:00,06:16:00,06:17:00,06:18:00,06:19:00,06:20:00,06:21:00,06:22:00,06:23:00,06:24:00,06:25:00,06:26:00,06:27:00,06:28:00,06:29:00,06:30:00,06:31:00,06:32:00,06:33:00,06:34:00
Heure du coucher du soleil,17:51:00,17:49:00,17:48:00,17:46:00,17:44:00,17:43:00,17:41:00,17:40:00,17:38:00,17:37:00,17:35:00,17:34:00,17:32:00,17:31:00,17:30:00,17:28:00,17:27:00,17:25:00,17:24:00,17:23:00,17:21:00,17:20:00,17:19:00,17:17:00,17:16:00,17:15:00,17:13:00,17:12:00,17:11:00,17:10:00,17:09:00
Durée du jour,11:47:0,11:44:0,11:42:0,11:39:0,11:36:0,11:34:0,11:31:0,11:29:0,11:26:0,11:24:0,11:21:0,11:19:0,11:16:0,11:14:0,11:12:0,11:9:0,11:7:0,11:4:0,11:2:0,11:0:0,10:57:0,10:55:0,10:53:0,10:50:0,10:48:0,10:46:0,10:43:0,10:41:0,10:39:0,10:37:0,10:35:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,,,,,0mm,18mm,0mm,7mm,25mm,6mm,5mm,3mm,0mm,0mm,1mm,1mm,0mm,1mm,1mm,0mm,1mm,11mm,0mm,,,,,0mm,1mm,2mm
