field,2014/03/01,2014/03/02,2014/03/03,2014/03/04,2014/03/05,2014/03/06,2014/03/07,2014/03/08,2014/03/09,2014/03/10,2014/03/11,2014/03/12,2014/03/13,2014/03/14,2014/03/15,2014/03/16,2014/03/17,2014/03/18,2014/03/19,2014/03/20,2014/03/21,2014/03/22,2014/03/23,2014/03/24,2014/03/25,2014/03/26,2014/03/27,2014/03/28,2014/03/29,2014/03/30,2014/03/31
Température maximale,7°,13°,0°,0°,8°,0°,4°,14°,7°,12°,20°,20°,1°,13°,15°,5°,0°,3°,7°,10°,16°,18°,7°,7°,3°,1°,9°,16°,13°,14°,13°
Température minimale,-4°,1°,-9°,-14°,-3°,-6°,-3°,0°,1°,2°,8°,10°,-6°,-2°,4°,1°,-4°,-3°,2°,3°,3°,8°,4°,-4°,-1°,-5°,-4°,5°,9°,5°,1°
Vitesse du vent,12km/h,17km/h,25km/h,9km/h,11km/h,18km/h,18km/h,17km/h,24km/h,17km/h,10km/h,34km/h,36km/h,25km/h,26km/h,15km/h,21km/h,14km/h,15km/h,25km/h,12km/h,26km/h,17km/h,18km/h,9km/h,31km/h,22km/h,25km/h,18km/h,24km/h,32km/h
Température du vent,-7°,-3°,-17°,-20°,-4°,-12°,-8°,-3°,-4°,-1°,6°,8°,-14°,-7°,0°,-3°,-10°,-7°,0°,0°,1°,5°,1°,-10°,-2°,-12°,-5°,2°,7°,1°,-5°
Précipitations,0mm,7mm,26mm,0mm,,0mm,2mm,1mm,2mm,1mm,0mm,7mm,0mm,0mm,1mm,9mm,9mm,1mm,1mm,0mm,,0mm,3mm,0mm,14mm,0mm,0mm,9mm,14mm,8mm,1mm
Humidité,49%,92%,96%,92%,83%,82%,95%,93%,89%,90%,87%,96%,42%,44%,86%,75%,95%,100%,99%,94%,83%,86%,71%,48%,100%,89%,53%,97%,98%,94%,89%
Visibilité,10km,8.5km,6.125km,7.5km,10km,10km,7.875km,9km,8.375km,10km,10km,9km,10km,10km,9.875km,8km,6.5km,3.25km,2.5km,10km,10km,10km,9.75km,10km,5.125km,10km,10km,7.375km,7.5km,8.25km,9.875km
Couverture nuageuse,19%,60%,73%,21%,7%,39%,81%,17%,26%,39%,27%,49%,11%,27%,18%,60%,100%,87%,84%,12%,30%,49%,50%,8%,81%,13%,25%,62%,95%,57%,14%
Indice de chaleur,7,13,0,0,8,0,4,14,7,12,20,20,1,12,15,5,0,3,7,10,16,18,7,7,3,1,9,16,13,14,13
Point de rosée,0°C,7°C,0°C,0°C,2°C,0°C,3°C,11°C,3°C,5°C,12°C,16°C,0°C,1°C,4°C,2°C,0°C,3°C,7°C,4°C,8°C,9°C,1°C,0°C,2°C,0°C,0°C,14°C,12°C,11°C,8°C
Pression,1030hPa,1022hPa,1029hPa,1030hPa,1029hPa,1035hPa,1028hPa,1015hPa,1020hPa,1016hPa,1007hPa,1004hPa,1021hPa,1024hPa,1020hPa,1024hPa,1019hPa,1025hPa,1025hPa,1018hPa,1019hPa,1019hPa,1022hPa,1027hPa,1021hPa,1028hPa,1031hPa,1023hPa,1020hPa,1018hPa,1021hPa
Heure du lever du soleil,06:40:00,06:39:00,06:37:00,06:36:00,06:35:00,06:33:00,06:32:00,06:30:00,06:28:00,06:27:00,06:25:00,06:24:00,06:22:00,06:21:00,06:19:00,06:18:00,06:16:00,06:15:00,06:13:00,06:12:00,06:10:00,06:08:00,06:07:00,06:05:00,06:04:00,06:02:00,06:01:00,05:59:00,05:58:00,05:56:00,05:55:00
Heure du coucher du soleil,18:01:00,18:02:00,18:03:00,18:04:00,18:05:00,18:06:00,18:07:00,18:08:00,18:09:00,18:10:00,18:11:00,18:12:00,18:13:00,18:14:00,18:15:00,18:16:00,18:17:00,18:18:00,18:19:00,18:20:00,18:21:00,18:22:00,18:23:00,18:24:00,18:25:00,18:26:00,18:27:00,18:28:00,18:29:00,18:30:00,18:31:00
Durée du jour,11:21:0,11:23:0,11:26:0,11:28:0,11:30:0,11:33:0,11:35:0,11:38:0,11:41:0,11:43:0,11:46:0,11:48:0,11:51:0,11:53:0,11:56:0,11:58:0,12:1:0,12:3:0,12:6:0,12:8:0,12:11:0,12:14:0,12:16:0,12:19:0,12:21:0,12:24:0,12:26:0,12:29:0,12:31:0,12:34:0,12:36:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
