field,2013/04/01,2013/04/02,2013/04/03,2013/04/04,2013/04/05,2013/04/06,2013/04/07,2013/04/08,2013/04/09,2013/04/10,2013/04/11,2013/04/12,2013/04/13,2013/04/14,2013/04/15,2013/04/16,2013/04/17,2013/04/18,2013/04/19,2013/04/20,2013/04/21,2013/04/22,2013/04/23,2013/04/24,2013/04/25,2013/04/26,2013/04/27,2013/04/28,2013/04/29,2013/04/30
Température maximale,16°,12°,12°,14°,16°,13°,18°,23°,25°,28°,21°,23°,19°,20°,17°,22°,22°,22°,24°,17°,15°,14°,16°,24°,18°,20°,22°,18°,16°,17°
Température minimale,8°,4°,3°,3°,5°,4°,6°,12°,17°,19°,18°,18°,11°,9°,12°,13°,16°,14°,17°,11°,7°,6°,8°,10°,9°,10°,11°,12°,14°,13°
Vitesse du vent,33km/h,33km/h,33km/h,17km/h,35km/h,18km/h,30km/h,22km/h,18km/h,24km/h,21km/h,30km/h,26km/h,13km/h,21km/h,26km/h,15km/h,24km/h,39km/h,31km/h,22km/h,22km/h,21km/h,31km/h,24km/h,15km/h,13km/h,21km/h,24km/h,17km/h
Température du vent,3°,1°,-1°,3°,3°,0°,3°,11°,15°,18°,21°,19°,10°,9°,12°,13°,18°,13°,18°,7°,2°,4°,6°,9°,6°,7°,15°,11°,11°,14°
Précipitations,2mm,0mm,,0mm,18mm,0mm,0mm,2mm,0mm,3mm,1mm,12mm,0mm,0mm,2mm,1mm,0mm,0mm,1mm,4mm,0mm,1mm,1mm,0mm,1mm,0mm,,0mm,25mm,1mm
Humidité,96%,76%,70%,73%,89%,72%,79%,86%,85%,79%,79%,89%,74%,68%,93%,92%,85%,83%,93%,66%,64%,71%,83%,81%,63%,68%,58%,56%,96%,95%
Visibilité,6.625km,10km,10km,10km,9.375km,10km,10km,8.75km,9.875km,9.875km,8.875km,8.5km,10km,10km,9.875km,9km,8.375km,10km,8.875km,9.625km,10km,8.375km,9km,9km,9.875km,10km,10km,10km,6km,8km
Couverture nuageuse,24%,12%,5%,13%,42%,9%,33%,34%,22%,19%,32%,73%,13%,6%,82%,67%,81%,71%,75%,17%,4%,35%,59%,14%,5%,8%,14%,53%,100%,94%
Indice de chaleur,18,8,9,12,17,13,19,26,27,31,30,25,18,21,20,26,25,25,26,14,14,14,19,26,21,19,25,20,18,19
Point de rosée,4°C,0°C,0°C,1°C,2°C,0°C,8°C,13°C,15°C,17°C,16°C,17°C,7°C,6°C,8°C,13°C,14°C,15°C,16°C,8°C,0°C,2°C,6°C,10°C,6°C,3°C,6°C,8°C,12°C,10°C
Pression,1017hPa,1024hPa,1030hPa,1030hPa,1019hPa,1028hPa,1026hPa,1018hPa,1019hPa,1016hPa,1013hPa,1009hPa,1015hPa,1022hPa,1024hPa,1026hPa,1025hPa,1025hPa,1016hPa,1030hPa,1037hPa,1036hPa,1028hPa,1019hPa,1026hPa,1031hPa,1031hPa,1026hPa,1021hPa,1024hPa
Heure du lever du soleil,05:53:00,05:51:00,05:50:00,05:48:00,05:47:00,05:45:00,05:43:00,05:42:00,05:40:00,05:39:00,05:37:00,05:36:00,05:35:00,05:33:00,05:32:00,05:30:00,05:29:00,05:27:00,05:26:00,05:25:00,05:23:00,05:22:00,05:20:00,05:19:00,05:18:00,05:16:00,05:15:00,05:14:00,05:13:00,05:11:00
Heure du coucher du soleil,18:32:00,18:33:00,18:34:00,18:35:00,18:36:00,18:37:00,18:38:00,18:39:00,18:40:00,18:41:00,18:41:00,18:42:00,18:43:00,18:44:00,18:45:00,18:46:00,18:47:00,18:48:00,18:49:00,18:50:00,18:51:00,18:52:00,18:53:00,18:54:00,18:55:00,18:56:00,18:57:00,18:58:00,18:59:00,19:00:00
Durée du jour,12:39:0,12:42:0,12:44:0,12:47:0,12:49:0,12:52:0,12:55:0,12:57:0,13:0:0,13:2:0,13:4:0,13:6:0,13:8:0,13:11:0,13:13:0,13:16:0,13:18:0,13:21:0,13:23:0,13:25:0,13:28:0,13:30:0,13:33:0,13:35:0,13:37:0,13:40:0,13:42:0,13:44:0,13:46:0,13:49:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
