field,2010/12/01,2010/12/02,2010/12/03,2010/12/04,2010/12/05,2010/12/06,2010/12/07,2010/12/08,2010/12/09,2010/12/10,2010/12/11,2010/12/12,2010/12/13,2010/12/14,2010/12/15,2010/12/16,2010/12/17,2010/12/18,2010/12/19,2010/12/20,2010/12/21,2010/12/22,2010/12/23,2010/12/24,2010/12/25,2010/12/26,2010/12/27,2010/12/28,2010/12/29,2010/12/30,2010/12/31
Température maximale,16°,5°,4°,5°,3°,2°,1°,1°,2°,2°,6°,7°,3°,0°,,0°,1°,2°,1°,0°,1°,3°,3°,3°,3°,0°,0°,4°,5°,6°,9°
Température minimale,3°,0°,-2°,-2°,-2°,-3°,-5°,-5°,-4°,-3°,-3°,5°,-4°,-5°,-8°,-5°,-7°,-6°,-4°,-7°,-6°,-3°,-3°,-3°,-1°,-4°,-6°,-6°,-3°,-2°,-1°
Vitesse du vent,37km/h,15km/h,16km/h,16km/h,30km/h,35km/h,29km/h,25km/h,16km/h,14km/h,8km/h,18km/h,32km/h,38km/h,29km/h,10km/h,13km/h,7km/h,16km/h,27km/h,23km/h,15km/h,36km/h,30km/h,7km/h,26km/h,42km/h,27km/h,15km/h,10km/h,11km/h
Température du vent,-2°,-4°,-5°,-7°,-7°,-9°,-11°,-11°,-9°,-7°,-3°,2°,-10°,-13°,-15°,-8°,-13°,-10°,-9°,-14°,-13°,-6°,-10°,-10°,-3°,-9°,-15°,-13°,-8°,-4°,-5°
Précipitations,45mm,0mm,,0mm,1mm,0mm,,,0mm,1mm,0mm,36mm,4mm,1mm,0mm,5mm,0mm,,,,,,,0mm,1mm,6mm,2mm,0mm,,,0mm
Humidité,99%,84%,84%,78%,79%,72%,60%,70%,80%,72%,69%,100%,85%,52%,65%,88%,90%,91%,94%,94%,95%,90%,81%,79%,75%,84%,74%,77%,76%,89%,98%
Visibilité,6.375km,10km,10km,10km,10km,10km,10km,10km,10km,10km,9km,6.125km,8.625km,10km,10km,8.125km,7.75km,9km,6.5km,10km,10km,10km,10km,10km,10km,7.375km,10km,10km,10km,9km,4.25km
Couverture nuageuse,73%,23%,54%,26%,59%,40%,35%,8%,4%,47%,48%,100%,64%,77%,10%,64%,32%,43%,36%,16%,15%,26%,7%,8%,59%,82%,49%,7%,9%,27%,19%
Indice de chaleur,16,5,4,5,3,2,1,1,2,2,6,7,3,0,,0,1,2,1,0,1,3,3,3,3,0,0,4,5,6,9
Point de rosée,16°C,0°C,,,,,,,,,0°C,7°C,2°C,0°C,,,,,,,,,,,,,,,0°C,2°C,5°C
Pression,1017hPa,1022hPa,1021hPa,1019hPa,1013hPa,1013hPa,1013hPa,1021hPa,1029hPa,1029hPa,1025hPa,1018hPa,1000hPa,1012hPa,1016hPa,1016hPa,1021hPa,1022hPa,1019hPa,1020hPa,1019hPa,1016hPa,1019hPa,1023hPa,1020hPa,1015hPa,1012hPa,1019hPa,1020hPa,1025hPa,1023hPa
Heure du lever du soleil,07:08:00,07:09:00,07:10:00,07:11:00,07:12:00,07:13:00,07:13:00,07:14:00,07:15:00,07:16:00,07:17:00,07:18:00,07:18:00,07:19:00,07:20:00,07:20:00,07:21:00,07:22:00,07:22:00,07:23:00,07:23:00,07:24:00,07:24:00,07:25:00,07:25:00,07:26:00,07:26:00,07:26:00,07:27:00,07:27:00,07:27:00
Heure du coucher du soleil,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:47:00,16:47:00,16:47:00,16:48:00,16:48:00,16:48:00,16:49:00,16:49:00,16:50:00,16:50:00,16:51:00,16:52:00,16:52:00,16:53:00,16:54:00,16:54:00,16:55:00,16:56:00
Durée du jour,9:38:0,9:37:0,9:36:0,9:35:0,9:34:0,9:33:0,9:33:0,9:32:0,9:31:0,9:30:0,9:29:0,9:28:0,9:28:0,9:28:0,9:27:0,9:27:0,9:27:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:27:0,9:26:0,9:27:0,9:28:0,9:27:0,9:28:0,9:29:0
