field,2013/07/01,2013/07/02,2013/07/03,2013/07/04,2013/07/05,2013/07/06,2013/07/07,2013/07/08,2013/07/09,2013/07/10,2013/07/11,2013/07/12,2013/07/13,2013/07/14,2013/07/15,2013/07/16,2013/07/17,2013/07/18,2013/07/19,2013/07/20,2013/07/21,2013/07/22,2013/07/23,2013/07/24,2013/07/25,2013/07/26,2013/07/27,2013/07/28,2013/07/29,2013/07/30,2013/07/31
Température maximale,29°,27°,29°,30°,31°,35°,33°,31°,32°,31°,31°,27°,29°,33°,38°,37°,38°,38°,38°,35°,34°,33°,32°,31°,29°,30°,31°,32°,31°,31°,30°
Température minimale,23°,23°,23°,24°,23°,22°,24°,25°,24°,24°,24°,20°,20°,21°,21°,25°,24°,24°,26°,25°,29°,29°,28°,27°,20°,18°,23°,25°,20°,22°,25°
Vitesse du vent,24km/h,26km/h,21km/h,21km/h,26km/h,19km/h,26km/h,18km/h,15km/h,21km/h,17km/h,15km/h,22km/h,14km/h,10km/h,12km/h,11km/h,13km/h,13km/h,19km/h,10km/h,9km/h,18km/h,23km/h,16km/h,12km/h,19km/h,10km/h,14km/h,9km/h,21km/h
Température du vent,20°,21°,20°,22°,22°,22°,20°,20°,22°,20°,20°,20°,20°,21°,21°,25°,24°,24°,26°,25°,27°,27°,25°,25°,18°,16°,21°,23°,19°,21°,23°
Précipitations,13mm,4mm,2mm,1mm,0mm,,0mm,16mm,1mm,7mm,11mm,5mm,12mm,1mm,0mm,4mm,0mm,4mm,6mm,2mm,14mm,6mm,3mm,1mm,3mm,0mm,4mm,6mm,0mm,,0mm
Humidité,98%,96%,99%,95%,91%,91%,92%,99%,93%,99%,98%,87%,98%,96%,98%,82%,80%,88%,84%,88%,79%,86%,86%,70%,70%,89%,81%,87%,83%,72%,73%
Visibilité,8km,8.75km,8km,8km,9.875km,10km,10km,8.875km,9.875km,8.25km,7.375km,9.625km,7.625km,7.875km,8.5km,9.25km,9.875km,9.5km,9.125km,9.5km,9.125km,6.75km,8.625km,9.875km,9.875km,7.5km,9.625km,8.25km,10km,10km,10km
Couverture nuageuse,78%,66%,45%,51%,20%,6%,18%,53%,22%,63%,59%,52%,87%,31%,34%,43%,42%,26%,41%,24%,34%,57%,60%,41%,58%,43%,35%,36%,25%,13%,42%
Indice de chaleur,28,29,31,37,37,39,39,32,37,32,30,28,30,35,43,40,41,43,44,38,37,34,32,31,29,29,32,32,30,30,30
Point de rosée,23°C,22°C,22°C,23°C,22°C,24°C,22°C,23°C,21°C,23°C,23°C,22°C,23°C,24°C,24°C,24°C,26°C,27°C,25°C,24°C,25°C,26°C,23°C,20°C,19°C,23°C,23°C,23°C,20°C,21°C,20°C
Pression,1017hPa,1023hPa,1025hPa,1025hPa,1026hPa,1024hPa,1020hPa,1020hPa,1020hPa,1016hPa,1013hPa,1019hPa,1024hPa,1026hPa,1026hPa,1024hPa,1022hPa,1019hPa,1016hPa,1012hPa,1014hPa,1013hPa,1007hPa,1014hPa,1018hPa,1018hPa,1017hPa,1015hPa,1021hPa,1023hPa,1021hPa
Heure du lever du soleil,04:46:00,04:47:00,04:47:00,04:48:00,04:49:00,04:49:00,04:50:00,04:50:00,04:51:00,04:52:00,04:52:00,04:53:00,04:54:00,04:55:00,04:55:00,04:56:00,04:57:00,04:58:00,04:58:00,04:59:00,05:00:00,05:01:00,05:02:00,05:02:00,05:03:00,05:04:00,05:05:00,05:06:00,05:07:00,05:08:00,05:09:00
Heure du coucher du soleil,19:38:00,19:38:00,19:37:00,19:37:00,19:37:00,19:37:00,19:36:00,19:36:00,19:36:00,19:35:00,19:35:00,19:35:00,19:34:00,19:34:00,19:33:00,19:32:00,19:32:00,19:31:00,19:31:00,19:30:00,19:29:00,19:28:00,19:28:00,19:27:00,19:26:00,19:25:00,19:24:00,19:23:00,19:22:00,19:21:00,19:20:00
Durée du jour,14:52:0,14:51:0,14:50:0,14:49:0,14:48:0,14:48:0,14:46:0,14:46:0,14:45:0,14:43:0,14:43:0,14:42:0,14:40:0,14:39:0,14:38:0,14:36:0,14:35:0,14:33:0,14:33:0,14:31:0,14:29:0,14:27:0,14:26:0,14:25:0,14:23:0,14:21:0,14:19:0,14:17:0,14:15:0,14:13:0,14:11:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
