field,2012/12/01,2012/12/02,2012/12/03,2012/12/04,2012/12/05,2012/12/06,2012/12/07,2012/12/08,2012/12/09,2012/12/10,2012/12/11,2012/12/12,2012/12/13,2012/12/14,2012/12/15,2012/12/16,2012/12/17,2012/12/18,2012/12/19,2012/12/20,2012/12/21,2012/12/22,2012/12/23,2012/12/24,2012/12/25,2012/12/26,2012/12/27,2012/12/28,2012/12/29,2012/12/30,2012/12/31
Température maximale,16°,16°,22°,19°,18°,11°,10°,21°,13°,17°,15°,10°,12°,16°,13°,15°,15°,15°,12°,9°,12°,4°,9°,7°,8°,6°,6°,6°,8°,3°,8°
Température minimale,3°,3°,10°,12°,13°,1°,4°,10°,10°,12°,7°,2°,2°,4°,4°,6°,12°,10°,5°,4°,5°,1°,0°,1°,2°,0°,3°,-1°,4°,-1°,0°
Vitesse du vent,8km/h,13km/h,5km/h,15km/h,23km/h,11km/h,15km/h,8km/h,15km/h,17km/h,19km/h,10km/h,14km/h,11km/h,13km/h,14km/h,12km/h,22km/h,22km/h,17km/h,29km/h,38km/h,14km/h,12km/h,16km/h,28km/h,41km/h,14km/h,13km/h,32km/h,13km/h
Température du vent,0°,1°,9°,10°,10°,-2°,1°,10°,8°,13°,4°,-1°,-2°,2°,2°,3°,11°,7°,1°,2°,-1°,-7°,-3°,-2°,-2°,-5°,-5°,-6°,0°,-7°,-3°
Précipitations,0mm,3mm,0mm,,,0mm,2mm,2mm,1mm,1mm,6mm,0mm,,,0mm,1mm,7mm,2mm,0mm,1mm,12mm,0mm,0mm,6mm,1mm,35mm,1mm,0mm,5mm,0mm,0mm
Humidité,100%,100%,99%,96%,75%,98%,95%,100%,93%,97%,79%,95%,80%,92%,90%,99%,100%,98%,88%,86%,64%,68%,95%,92%,99%,89%,80%,90%,93%,81%,83%
Visibilité,5.25km,5.5km,7.75km,9.125km,10km,8.75km,8.375km,8.25km,4.125km,6.625km,9.625km,9km,10km,9km,10km,8.125km,5.625km,7.5km,10km,8.875km,8.875km,10km,9km,9.625km,5.5km,7.375km,9.625km,9km,8.5km,10km,10km
Couverture nuageuse,42%,58%,38%,32%,27%,5%,90%,56%,100%,80%,35%,9%,4%,0%,11%,86%,100%,44%,20%,33%,68%,7%,3%,54%,57%,83%,55%,9%,81%,6%,21%
Indice de chaleur,15,15,24,25,15,7,10,20,12,24,10,9,12,15,12,15,15,14,13,9,12,3,9,6,9,12,3,5,7,3,8
Point de rosée,9°C,10°C,14°C,12°C,12°C,1°C,8°C,14°C,11°C,13°C,13°C,2°C,0°C,5°C,4°C,11°C,13°C,12°C,1°C,5°C,11°C,0°C,0°C,2°C,3°C,5°C,3°C,0°C,5°C,0°C,0°C
Pression,1030hPa,1029hPa,1025hPa,1024hPa,1027hPa,1030hPa,1024hPa,1015hPa,1022hPa,1014hPa,1025hPa,1031hPa,1031hPa,1028hPa,1026hPa,1020hPa,1011hPa,1011hPa,1019hPa,1023hPa,999hPa,1017hPa,1019hPa,1019hPa,1023hPa,1025hPa,1013hPa,1022hPa,1017hPa,1028hPa,1028hPa
Heure du lever du soleil,07:08:00,07:09:00,07:10:00,07:11:00,07:12:00,07:13:00,07:14:00,07:15:00,07:16:00,07:16:00,07:17:00,07:18:00,07:19:00,07:19:00,07:20:00,07:21:00,07:21:00,07:22:00,07:23:00,07:23:00,07:24:00,07:24:00,07:25:00,07:25:00,07:25:00,07:26:00,07:26:00,07:26:00,07:27:00,07:27:00,07:27:00
Heure du coucher du soleil,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:47:00,16:47:00,16:47:00,16:47:00,16:48:00,16:48:00,16:49:00,16:49:00,16:50:00,16:50:00,16:51:00,16:51:00,16:52:00,16:53:00,16:53:00,16:54:00,16:55:00,16:55:00,16:56:00
Durée du jour,9:38:0,9:37:0,9:36:0,9:35:0,9:34:0,9:33:0,9:32:0,9:31:0,9:30:0,9:30:0,9:29:0,9:28:0,9:28:0,9:28:0,9:27:0,9:26:0,9:27:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:27:0,9:27:0,9:27:0,9:28:0,9:28:0,9:28:0,9:29:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
