field,2013/09/01,2013/09/02,2013/09/03,2013/09/04,2013/09/05,2013/09/06,2013/09/07,2013/09/08,2013/09/09,2013/09/10,2013/09/11,2013/09/12,2013/09/13,2013/09/14,2013/09/15,2013/09/16,2013/09/17,2013/09/18,2013/09/19,2013/09/20,2013/09/21,2013/09/22,2013/09/23,2013/09/24,2013/09/25,2013/09/26,2013/09/27,2013/09/28,2013/09/29,2013/09/30
Température maximale,35°,36°,31°,34°,28°,28°,30°,32°,27°,34°,35°,33°,26°,26°,27°,24°,24°,24°,28°,28°,21°,23°,24°,28°,25°,25°,27°,24°,25°,27°
Température minimale,24°,26°,22°,19°,20°,15°,17°,20°,15°,22°,24°,24°,19°,12°,15°,17°,10°,14°,14°,18°,18°,13°,10°,12°,12°,16°,15°,13°,13°,15°
Vitesse du vent,9km/h,8km/h,15km/h,9km/h,18km/h,10km/h,9km/h,12km/h,12km/h,13km/h,14km/h,10km/h,19km/h,15km/h,12km/h,15km/h,13km/h,9km/h,9km/h,14km/h,19km/h,20km/h,13km/h,8km/h,9km/h,8km/h,10km/h,12km/h,8km/h,5km/h
Température du vent,24°,26°,22°,19°,20°,15°,17°,20°,15°,22°,24°,24°,19°,11°,15°,17°,9°,15°,14°,18°,18°,12°,8°,11°,11°,16°,14°,12°,12°,15°
Précipitations,5mm,9mm,0mm,,,,0mm,1mm,0mm,,0mm,11mm,1mm,0mm,0mm,1mm,0mm,,,0mm,37mm,1mm,0mm,,,,0mm,1mm,0mm,
Humidité,94%,92%,88%,82%,70%,69%,85%,71%,64%,94%,83%,84%,92%,78%,74%,83%,74%,89%,91%,89%,98%,95%,83%,78%,78%,76%,96%,93%,94%,92%
Visibilité,9.375km,9.125km,10km,10km,10km,10km,9km,9.875km,9km,6.5km,10km,8.75km,9.375km,10km,10km,9.375km,10km,8km,8km,8km,7km,10km,10km,10km,10km,10km,6.75km,7km,7km,9km
Couverture nuageuse,25%,25%,8%,1%,13%,1%,6%,40%,45%,40%,6%,23%,19%,2%,7%,34%,1%,12%,6%,2%,78%,13%,0%,0%,28%,29%,24%,19%,16%,10%
Indice de chaleur,43,42,33,36,29,28,32,34,28,40,41,39,26,27,27,25,25,25,29,30,21,25,25,28,25,26,27,26,26,28
Point de rosée,27°C,24°C,20°C,19°C,18°C,15°C,19°C,22°C,19°C,23°C,24°C,24°C,20°C,14°C,15°C,16°C,11°C,13°C,17°C,19°C,19°C,16°C,13°C,16°C,12°C,15°C,17°C,16°C,17°C,16°C
Pression,1010hPa,1008hPa,1015hPa,1018hPa,1021hPa,1024hPa,1020hPa,1018hPa,1023hPa,1021hPa,1020hPa,1015hPa,1014hPa,1020hPa,1022hPa,1023hPa,1029hPa,1027hPa,1023hPa,1019hPa,1013hPa,1015hPa,1018hPa,1020hPa,1015hPa,1019hPa,1024hPa,1025hPa,1022hPa,1019hPa
Heure du lever du soleil,05:38:00,05:38:00,05:39:00,05:40:00,05:41:00,05:42:00,05:43:00,05:44:00,05:45:00,05:46:00,05:46:00,05:47:00,05:48:00,05:49:00,05:50:00,05:51:00,05:52:00,05:53:00,05:53:00,05:54:00,05:55:00,05:56:00,05:57:00,05:58:00,05:59:00,06:00:00,06:01:00,06:02:00,06:02:00,06:03:00
Heure du coucher du soleil,18:38:00,18:36:00,18:35:00,18:33:00,18:32:00,18:30:00,18:29:00,18:27:00,18:25:00,18:24:00,18:22:00,18:21:00,18:19:00,18:17:00,18:16:00,18:14:00,18:13:00,18:11:00,18:09:00,18:08:00,18:06:00,18:05:00,18:03:00,18:02:00,18:00:00,17:58:00,17:57:00,17:55:00,17:54:00,17:52:00
Durée du jour,13:0:0,12:58:0,12:56:0,12:53:0,12:51:0,12:48:0,12:46:0,12:43:0,12:40:0,12:38:0,12:36:0,12:34:0,12:31:0,12:28:0,12:26:0,12:23:0,12:21:0,12:18:0,12:16:0,12:14:0,12:11:0,12:9:0,12:6:0,12:4:0,12:1:0,11:58:0,11:56:0,11:53:0,11:52:0,11:49:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
