field,2014/07/01,2014/07/02,2014/07/03,2014/07/04,2014/07/05,2014/07/06,2014/07/07,2014/07/08,2014/07/09,2014/07/10,2014/07/11,2014/07/12,2014/07/13,2014/07/14,2014/07/15,2014/07/16,2014/07/17,2014/07/18,2014/07/19,2014/07/20,2014/07/21,2014/07/22,2014/07/23,2014/07/24,2014/07/25,2014/07/26,2014/07/27,2014/07/28,2014/07/29,2014/07/30,2014/07/31
Température maximale,34°,36°,34°,32°,31°,32°,34°,35°,34°,32°,32°,32°,35°,35°,33°,29°,31°,32°,28°,30°,31°,33°,36°,29°,32°,33°,30°,29°,29°,31°,32°
Température minimale,20°,22°,22°,20°,19°,15°,20°,21°,21°,20°,19°,19°,21°,21°,22°,19°,16°,16°,18°,18°,23°,24°,25°,23°,20°,22°,24°,22°,19°,19°,21°
Vitesse du vent,21km/h,13km/h,13km/h,14km/h,15km/h,17km/h,17km/h,21km/h,12km/h,10km/h,10km/h,14km/h,16km/h,13km/h,11km/h,16km/h,11km/h,10km/h,13km/h,9km/h,14km/h,14km/h,10km/h,14km/h,8km/h,10km/h,19km/h,24km/h,14km/h,7km/h,9km/h
Température du vent,20°,22°,22°,19°,19°,14°,20°,21°,21°,20°,19°,19°,21°,21°,22°,19°,16°,16°,18°,18°,23°,24°,25°,23°,20°,22°,24°,22°,19°,19°,21°
Précipitations,2mm,6mm,10mm,6mm,4mm,0mm,0mm,3mm,4mm,3mm,1mm,2mm,1mm,24mm,17mm,3mm,0mm,0mm,1mm,1mm,3mm,1mm,3mm,2mm,0mm,2mm,12mm,1mm,0mm,0mm,1mm
Humidité,88%,97%,93%,89%,87%,78%,86%,77%,91%,89%,97%,98%,87%,95%,95%,95%,77%,71%,87%,98%,92%,93%,86%,83%,62%,82%,83%,86%,75%,69%,79%
Visibilité,9.875km,8.625km,9.5km,9.375km,9.75km,10km,10km,10km,9.5km,9.75km,8km,7.25km,10km,8.125km,7.375km,9.875km,10km,10km,9km,6.25km,5.875km,7.5km,8.5km,9.75km,10km,9.75km,8.125km,9.875km,10km,10km,10km
Couverture nuageuse,17%,27%,24%,21%,17%,13%,9%,14%,28%,23%,14%,44%,31%,45%,38%,29%,18%,15%,47%,69%,65%,60%,32%,51%,6%,32%,33%,21%,16%,15%,15%
Indice de chaleur,41,46,42,37,34,29,37,39,38,37,36,37,39,43,42,33,32,33,29,34,36,38,42,32,35,38,34,30,29,31,33
Point de rosée,24°C,27°C,27°C,24°C,22°C,18°C,20°C,20°C,23°C,24°C,23°C,24°C,22°C,27°C,28°C,20°C,17°C,17°C,19°C,22°C,24°C,24°C,24°C,21°C,18°C,22°C,22°C,20°C,14°C,16°C,19°C
Pression,1014hPa,1013hPa,1015hPa,1015hPa,1016hPa,1022hPa,1015hPa,1012hPa,1014hPa,1019hPa,1022hPa,1023hPa,1019hPa,1013hPa,1010hPa,1012hPa,1018hPa,1023hPa,1023hPa,1021hPa,1021hPa,1021hPa,1017hPa,1014hPa,1018hPa,1017hPa,1011hPa,1010hPa,1015hPa,1017hPa,1020hPa
Heure du lever du soleil,04:46:00,04:47:00,04:47:00,04:48:00,04:48:00,04:49:00,04:50:00,04:50:00,04:51:00,04:52:00,04:52:00,04:53:00,04:54:00,04:54:00,04:55:00,04:56:00,04:57:00,04:57:00,04:58:00,04:59:00,05:00:00,05:01:00,05:01:00,05:02:00,05:03:00,05:04:00,05:05:00,05:06:00,05:07:00,05:07:00,05:08:00
Heure du coucher du soleil,19:38:00,19:38:00,19:37:00,19:37:00,19:37:00,19:37:00,19:37:00,19:36:00,19:36:00,19:35:00,19:35:00,19:35:00,19:34:00,19:34:00,19:33:00,19:33:00,19:32:00,19:31:00,19:31:00,19:30:00,19:29:00,19:29:00,19:28:00,19:27:00,19:26:00,19:25:00,19:24:00,19:23:00,19:23:00,19:22:00,19:21:00
Durée du jour,14:52:0,14:51:0,14:50:0,14:49:0,14:49:0,14:48:0,14:47:0,14:46:0,14:45:0,14:43:0,14:43:0,14:42:0,14:40:0,14:40:0,14:38:0,14:37:0,14:35:0,14:34:0,14:33:0,14:31:0,14:29:0,14:28:0,14:27:0,14:25:0,14:23:0,14:21:0,14:19:0,14:17:0,14:16:0,14:15:0,14:13:0
