field,2016/03/01,2016/03/02,2016/03/03,2016/03/04,2016/03/05,2016/03/06,2016/03/07,2016/03/08,2016/03/09,2016/03/10,2016/03/11,2016/03/12,2016/03/13,2016/03/14,2016/03/15,2016/03/16,2016/03/17,2016/03/18,2016/03/19,2016/03/20,2016/03/21,2016/03/22,2016/03/23,2016/03/24,2016/03/25,2016/03/26,2016/03/27,2016/03/28,2016/03/29,2016/03/30,2016/03/31
Température maximale,15°,11°,5°,4°,9°,9°,17°,20°,25°,25°,20°,15°,14°,10°,18°,22°,20°,18°,10°,6°,9°,16°,21°,24°,21°,15°,13°,20°,14°,17°,24°
Température minimale,7°,5°,-2°,1°,1°,4°,5°,13°,12°,17°,18°,9°,11°,9°,8°,11°,9°,7°,5°,4°,4°,4°,10°,11°,18°,6°,10°,12°,7°,3°,10°
Vitesse du vent,24km/h,35km/h,9km/h,26km/h,8km/h,9km/h,21km/h,11km/h,13km/h,21km/h,22km/h,9km/h,21km/h,15km/h,10km/h,18km/h,21km/h,26km/h,14km/h,13km/h,29km/h,21km/h,18km/h,27km/h,22km/h,12km/h,14km/h,37km/h,29km/h,19km/h,26km/h
Température du vent,6°,-2°,-4°,-3°,-1°,3°,1°,12°,13°,16°,16°,7°,11°,6°,6°,9°,10°,6°,1°,1°,0°,2°,7°,12°,18°,3°,8°,13°,3°,4°,7°
Précipitations,0mm,3mm,1mm,3mm,0mm,1mm,0mm,,,0mm,1mm,2mm,7mm,16mm,1mm,7mm,1mm,0mm,18mm,3mm,1mm,0mm,,0mm,5mm,1mm,2mm,4mm,0mm,0mm,3mm
Humidité,96%,67%,95%,94%,84%,92%,84%,77%,72%,73%,84%,88%,92%,96%,94%,90%,62%,59%,90%,85%,89%,68%,62%,53%,90%,80%,88%,93%,67%,76%,84%
Visibilité,9km,9.75km,9km,9.375km,10km,10km,10km,10km,10km,10km,9km,8.875km,8.5km,8.125km,7km,7.75km,10km,10km,8.75km,8.375km,9.875km,10km,10km,10km,8.625km,10km,6.875km,9.25km,10km,10km,10km
Couverture nuageuse,44%,32%,57%,51%,81%,46%,45%,36%,38%,44%,49%,100%,100%,100%,69%,37%,8%,13%,67%,100%,38%,47%,49%,7%,49%,26%,87%,63%,0%,3%,68%
Indice de chaleur,14,12,5,5,9,10,17,21,25,26,20,15,13,10,16,24,19,17,10,5,8,15,20,25,21,16,12,19,13,16,25
Point de rosée,7°C,9°C,0°C,0°C,2°C,5°C,6°C,8°C,10°C,15°C,16°C,12°C,11°C,8°C,11°C,17°C,7°C,3°C,3°C,2°C,2°C,3°C,6°C,11°C,16°C,7°C,10°C,11°C,3°C,3°C,17°C
Pression,1020hPa,1022hPa,1026hPa,1021hPa,1024hPa,1027hPa,1026hPa,1023hPa,1022hPa,1020hPa,1029hPa,1028hPa,1017hPa,1015hPa,1011hPa,1011hPa,1013hPa,1017hPa,1020hPa,1019hPa,1022hPa,1023hPa,1018hPa,1017hPa,1020hPa,1026hPa,1027hPa,1015hPa,1025hPa,1029hPa,1020hPa
Heure du lever du soleil,07:40:00,07:39:00,07:37:00,07:36:00,07:34:00,07:33:00,07:31:00,07:30:00,07:28:00,07:27:00,07:25:00,07:24:00,07:22:00,07:20:00,07:19:00,07:17:00,07:16:00,07:14:00,07:13:00,07:11:00,07:09:00,07:08:00,07:06:00,07:05:00,07:03:00,07:01:00,07:00:00,06:58:00,06:57:00,06:55:00,06:54:00
Heure du coucher du soleil,19:01:00,19:03:00,19:04:00,19:05:00,19:06:00,19:07:00,19:08:00,19:09:00,19:10:00,19:11:00,19:12:00,19:13:00,19:14:00,19:15:00,19:16:00,19:17:00,19:18:00,19:19:00,19:20:00,19:21:00,19:22:00,19:23:00,19:24:00,19:25:00,19:26:00,19:27:00,19:28:00,19:29:00,19:30:00,19:31:00,19:32:00
Durée du jour,11:21:0,11:24:0,11:27:0,11:29:0,11:32:0,11:34:0,11:37:0,11:39:0,11:42:0,11:44:0,11:47:0,11:49:0,11:52:0,11:55:0,11:57:0,12:0:0,12:2:0,12:5:0,12:7:0,12:10:0,12:13:0,12:15:0,12:18:0,12:20:0,12:23:0,12:26:0,12:28:0,12:31:0,12:33:0,12:36:0,12:38:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
