field,2010/10/01,2010/10/02,2010/10/03,2010/10/04,2010/10/05,2010/10/06,2010/10/07,2010/10/08,2010/10/09,2010/10/10,2010/10/11,2010/10/12,2010/10/13,2010/10/14,2010/10/15,2010/10/16,2010/10/17,2010/10/18,2010/10/19,2010/10/20,2010/10/21,2010/10/22,2010/10/23,2010/10/24,2010/10/25,2010/10/26,2010/10/27,2010/10/28,2010/10/29,2010/10/30,2010/10/31
Température maximale,19°,22°,17°,11°,16°,15°,20°,25°,25°,24°,30°,26°,22°,15°,16°,17°,21°,20°,18°,15°,18°,15°,19°,22°,23°,22°,26°,23°,13°,14°,16°
Température minimale,15°,11°,11°,10°,6°,6°,9°,11°,13°,11°,17°,15°,9°,13°,7°,7°,9°,9°,10°,11°,8°,7°,7°,10°,14°,18°,21°,15°,7°,4°,8°
Vitesse du vent,29km/h,10km/h,18km/h,22km/h,19km/h,12km/h,21km/h,12km/h,12km/h,10km/h,8km/h,16km/h,12km/h,10km/h,22km/h,24km/h,18km/h,10km/h,7km/h,6km/h,21km/h,22km/h,15km/h,12km/h,24km/h,18km/h,27km/h,18km/h,26km/h,17km/h,23km/h
Température du vent,15°,10°,9°,7°,3°,5°,7°,10°,11°,11°,17°,15°,7°,12°,4°,4°,7°,8°,9°,10°,6°,4°,5°,9°,12°,18°,21°,14°,4°,2°,5°
Précipitations,1mm,0mm,6mm,24mm,0mm,1mm,0mm,,,,,,0mm,28mm,1mm,0mm,0mm,1mm,1mm,2mm,1mm,0mm,,0mm,6mm,1mm,8mm,0mm,,,
Humidité,91%,90%,92%,98%,90%,91%,81%,81%,72%,71%,68%,72%,89%,98%,92%,85%,76%,86%,93%,91%,93%,82%,74%,80%,99%,97%,99%,90%,79%,80%,73%
Visibilité,9km,9km,9.125km,8.375km,10km,8km,10km,10km,10km,10km,10km,10km,10km,5.375km,9.875km,10km,10km,10km,10km,2.5km,8.75km,10km,10km,10km,10km,9km,7.375km,7.5km,10km,10km,10km
Couverture nuageuse,39%,0%,35%,66%,33%,46%,9%,0%,6%,6%,9%,7%,6%,71%,27%,1%,5%,25%,40%,76%,30%,7%,8%,20%,48%,68%,64%,27%,7%,21%,8%
Indice de chaleur,19,25,17,11,16,15,20,26,26,26,32,27,24,15,16,17,24,20,18,15,18,15,19,25,25,25,28,25,13,14,16
Point de rosée,14°C,15°C,11°C,11°C,9°C,11°C,12°C,16°C,16°C,18°C,21°C,16°C,13°C,14°C,9°C,10°C,14°C,11°C,12°C,12°C,9°C,6°C,12°C,15°C,19°C,20°C,22°C,18°C,4°C,6°C,7°C
Pression,1014hPa,1016hPa,1016hPa,1019hPa,1018hPa,1016hPa,1017hPa,1018hPa,1016hPa,1017hPa,1011hPa,1014hPa,1018hPa,1015hPa,1010hPa,1018hPa,1017hPa,1016hPa,1014hPa,1014hPa,1012hPa,1023hPa,1025hPa,1023hPa,1016hPa,1012hPa,1014hPa,1017hPa,1023hPa,1023hPa,1022hPa
Heure du lever du soleil,06:04:00,06:05:00,06:06:00,06:07:00,06:08:00,06:09:00,06:10:00,06:11:00,06:11:00,06:12:00,06:13:00,06:14:00,06:15:00,06:16:00,06:17:00,06:18:00,06:19:00,06:20:00,06:21:00,06:22:00,06:23:00,06:24:00,06:25:00,06:27:00,06:28:00,06:29:00,06:30:00,06:31:00,06:32:00,06:33:00,06:34:00
Heure du coucher du soleil,17:51:00,17:50:00,17:48:00,17:46:00,17:45:00,17:43:00,17:42:00,17:40:00,17:39:00,17:37:00,17:36:00,17:34:00,17:33:00,17:31:00,17:30:00,17:29:00,17:27:00,17:26:00,17:24:00,17:23:00,17:22:00,17:20:00,17:19:00,17:18:00,17:16:00,17:15:00,17:14:00,17:12:00,17:11:00,17:10:00,17:09:00
Durée du jour,11:47:0,11:45:0,11:42:0,11:39:0,11:37:0,11:34:0,11:32:0,11:29:0,11:28:0,11:25:0,11:23:0,11:20:0,11:18:0,11:15:0,11:13:0,11:11:0,11:8:0,11:6:0,11:3:0,11:1:0,10:59:0,10:56:0,10:54:0,10:51:0,10:48:0,10:46:0,10:44:0,10:41:0,10:39:0,10:37:0,10:35:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
