field,2013/02/01,2013/02/02,2013/02/03,2013/02/04,2013/02/05,2013/02/06,2013/02/07,2013/02/08,2013/02/09,2013/02/10,2013/02/11,2013/02/12,2013/02/13,2013/02/14,2013/02/15,2013/02/16,2013/02/17,2013/02/18,2013/02/19,2013/02/20,2013/02/21,2013/02/22,2013/02/23,2013/02/24,2013/02/25,2013/02/26,2013/02/27,2013/02/28
Température maximale,3°,2°,4°,2°,8°,5°,5°,7°,4°,8°,17°,11°,11°,12°,14°,4°,2°,5°,11°,5°,2°,2°,10°,9°,9°,10°,14°,10°
Température minimale,0°,-7°,-3°,-6°,1°,-1°,-1°,2°,-4°,2°,5°,2°,4°,1°,5°,2°,-3°,-5°,-2°,-2°,-4°,-2°,2°,3°,1°,4°,5°,6°
Vitesse du vent,39km/h,17km/h,18km/h,15km/h,9km/h,15km/h,15km/h,23km/h,33km/h,13km/h,23km/h,20km/h,12km/h,15km/h,14km/h,22km/h,31km/h,15km/h,29km/h,28km/h,26km/h,9km/h,12km/h,27km/h,17km/h,19km/h,18km/h,21km/h
Température du vent,-9°,-12°,-1°,-11°,-1°,-5°,-5°,-1°,-13°,-1°,1°,-2°,1°,-4°,3°,-2°,-10°,-11°,-8°,-9°,-11°,-6°,0°,-1°,-4°,0°,2°,3°
Précipitations,2mm,0mm,1mm,0mm,0mm,2mm,0mm,7mm,0mm,0mm,15mm,0mm,13mm,0mm,7mm,3mm,1mm,0mm,4mm,0mm,0mm,10mm,2mm,0mm,0mm,1mm,2mm,1mm
Humidité,77%,65%,95%,63%,92%,84%,84%,98%,69%,87%,96%,94%,91%,92%,86%,94%,70%,70%,92%,71%,71%,93%,95%,97%,88%,89%,95%,77%
Visibilité,9.625km,10km,8km,10km,10km,9.25km,8km,8.625km,10km,10km,7.875km,9km,7.875km,8km,9.125km,8.5km,10km,10km,9.75km,10km,10km,6.75km,4km,6.5km,10km,8.625km,8.75km,9km
Couverture nuageuse,18%,27%,61%,36%,37%,50%,26%,100%,14%,6%,62%,4%,73%,19%,42%,52%,35%,5%,40%,16%,2%,70%,84%,38%,2%,43%,78%,55%
Indice de chaleur,0,0,3,1,10,5,4,6,3,7,16,10,10,11,13,5,0,4,10,1,2,1,9,8,11,10,13,9
Point de rosée,0°C,,,,,0°C,3°C,4°C,0°C,1°C,11°C,7°C,5°C,1°C,3°C,0°C,,0°C,7°C,1°C,0°C,0°C,6°C,4°C,0°C,2°C,10°C,2°C
Pression,1028hPa,1029hPa,1016hPa,1020hPa,1013hPa,1020hPa,1031hPa,1021hPa,1029hPa,1033hPa,1024hPa,1017hPa,1014hPa,1016hPa,1018hPa,1016hPa,1022hPa,1029hPa,1021hPa,1021hPa,1027hPa,1029hPa,1023hPa,1020hPa,1024hPa,1013hPa,1003hPa,1006hPa
Heure du lever du soleil,07:14:00,07:13:00,07:12:00,07:11:00,07:10:00,07:09:00,07:08:00,07:07:00,07:06:00,07:05:00,07:04:00,07:03:00,07:02:00,07:00:00,06:59:00,06:58:00,06:57:00,06:55:00,06:54:00,06:53:00,06:51:00,06:50:00,06:49:00,06:47:00,06:46:00,06:44:00,06:43:00,06:42:00
Heure du coucher du soleil,17:30:00,17:31:00,17:32:00,17:34:00,17:35:00,17:36:00,17:37:00,17:38:00,17:39:00,17:41:00,17:42:00,17:43:00,17:44:00,17:45:00,17:46:00,17:47:00,17:48:00,17:49:00,17:51:00,17:52:00,17:53:00,17:54:00,17:55:00,17:56:00,17:57:00,17:58:00,17:59:00,18:00:00
Durée du jour,10:16:0,10:18:0,10:20:0,10:23:0,10:25:0,10:27:0,10:29:0,10:31:0,10:33:0,10:36:0,10:38:0,10:40:0,10:42:0,10:45:0,10:47:0,10:49:0,10:51:0,10:54:0,10:57:0,10:59:0,11:2:0,11:4:0,11:6:0,11:9:0,11:11:0,11:14:0,11:16:0,11:18:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
