field,2012/03/01,2012/03/02,2012/03/03,2012/03/04,2012/03/05,2012/03/06,2012/03/07,2012/03/08,2012/03/09,2012/03/10,2012/03/11,2012/03/12,2012/03/13,2012/03/14,2012/03/15,2012/03/16,2012/03/17,2012/03/18,2012/03/19,2012/03/20,2012/03/21,2012/03/22,2012/03/23,2012/03/24,2012/03/25,2012/03/26,2012/03/27,2012/03/28,2012/03/29,2012/03/30,2012/03/31
Température maximale,16°,14°,13°,7°,6°,8°,16°,21°,16°,7°,16°,19°,25°,22°,24°,19°,19°,14°,23°,23°,23°,27°,27°,20°,21°,15°,11°,25°,16°,17°,22°
Température minimale,14°,4°,7°,4°,-1°,-2°,-1°,10°,7°,-1°,1°,6°,14°,12°,11°,15°,15°,12°,12°,13°,12°,13°,15°,15°,15°,10°,0°,6°,10°,5°,11°
Vitesse du vent,30km/h,21km/h,21km/h,24km/h,20km/h,17km/h,27km/h,35km/h,28km/h,21km/h,18km/h,19km/h,19km/h,15km/h,14km/h,16km/h,9km/h,16km/h,15km/h,12km/h,12km/h,10km/h,14km/h,15km/h,10km/h,33km/h,17km/h,27km/h,27km/h,17km/h,24km/h
Température du vent,13°,3°,3°,2°,-3°,-4°,-5°,7°,4°,-6°,-3°,4°,13°,11°,11°,14°,15°,10°,11°,13°,12°,13°,15°,15°,15°,7°,-5°,2°,7°,5°,9°
Précipitations,3mm,3mm,7mm,0mm,,,,0mm,6mm,0mm,,0mm,3mm,0mm,0mm,7mm,7mm,3mm,2mm,3mm,2mm,1mm,1mm,14mm,3mm,0mm,0mm,1mm,0mm,0mm,2mm
Humidité,88%,96%,93%,79%,92%,90%,93%,96%,71%,66%,73%,63%,89%,96%,79%,98%,95%,95%,97%,98%,99%,98%,98%,94%,97%,75%,56%,66%,66%,80%,95%
Visibilité,9.875km,8.5km,8.125km,10km,10km,10km,10km,10km,8.625km,10km,10km,10km,8.75km,9km,10km,7km,6.25km,4.875km,6.125km,8.75km,4.875km,5.125km,6.5km,9.375km,7.25km,10km,10km,10km,10km,10km,8.875km
Couverture nuageuse,61%,32%,56%,33%,17%,4%,5%,44%,38%,4%,1%,25%,41%,2%,22%,78%,83%,96%,60%,49%,59%,72%,42%,74%,71%,13%,4%,15%,28%,23%,84%
Indice de chaleur,16,14,13,7,6,8,16,21,16,7,16,19,26,24,25,19,19,14,25,25,25,27,28,20,21,15,11,26,16,17,25
Point de rosée,14°C,11°C,12°C,1°C,0°C,0°C,8°C,12°C,12°C,0°C,4°C,10°C,14°C,12°C,15°C,16°C,16°C,12°C,16°C,16°C,16°C,18°C,18°C,17°C,16°C,12°C,0°C,14°C,9°C,8°C,15°C
Pression,1014hPa,1017hPa,1009hPa,1011hPa,1030hPa,1038hPa,1036hPa,1029hPa,1029hPa,1036hPa,1035hPa,1029hPa,1022hPa,1025hPa,1026hPa,1024hPa,1021hPa,1028hPa,1024hPa,1025hPa,1027hPa,1025hPa,1019hPa,1015hPa,1009hPa,1024hPa,1029hPa,1022hPa,1018hPa,1021hPa,1013hPa
Heure du lever du soleil,06:40:00,06:38:00,06:37:00,06:35:00,06:34:00,06:32:00,06:31:00,06:29:00,06:28:00,06:26:00,06:25:00,06:23:00,06:22:00,06:20:00,06:19:00,06:17:00,06:15:00,06:14:00,06:12:00,06:11:00,06:09:00,06:08:00,06:06:00,06:05:00,06:03:00,06:01:00,06:00:00,05:58:00,05:57:00,05:55:00,05:54:00
Heure du coucher du soleil,18:01:00,18:02:00,18:03:00,18:04:00,18:05:00,18:07:00,18:08:00,18:09:00,18:10:00,18:11:00,18:12:00,18:13:00,18:14:00,18:15:00,18:15:00,18:16:00,18:17:00,18:18:00,18:19:00,18:20:00,18:21:00,18:22:00,18:23:00,18:24:00,18:25:00,18:26:00,18:27:00,18:28:00,18:29:00,18:30:00,18:31:00
Durée du jour,11:21:0,11:24:0,11:26:0,11:29:0,11:31:0,11:35:0,11:37:0,11:40:0,11:42:0,11:45:0,11:47:0,11:50:0,11:52:0,11:55:0,11:56:0,11:59:0,12:2:0,12:4:0,12:7:0,12:9:0,12:12:0,12:14:0,12:17:0,12:19:0,12:22:0,12:25:0,12:27:0,12:30:0,12:32:0,12:35:0,12:37:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
