field,2013/01/01,2013/01/02,2013/01/03,2013/01/04,2013/01/05,2013/01/06,2013/01/07,2013/01/08,2013/01/09,2013/01/10,2013/01/11,2013/01/12,2013/01/13,2013/01/14,2013/01/15,2013/01/16,2013/01/17,2013/01/18,2013/01/19,2013/01/20,2013/01/21,2013/01/22,2013/01/23,2013/01/24,2013/01/25,2013/01/26,2013/01/27,2013/01/28,2013/01/29,2013/01/30,2013/01/31
Température maximale,7°,6°,6°,6°,4°,7°,10°,13°,17°,12°,10°,16°,19°,16°,9°,6°,6°,3°,8°,8°,8°,0°,,,,0°,1°,4°,13°,19°,14°
Température minimale,2°,0°,0°,-1°,-1°,2°,-1°,2°,2°,2°,4°,7°,6°,10°,5°,3°,4°,1°,-1°,3°,0°,-5°,-9°,-6°,-9°,-7°,-5°,-2°,5°,12°,8°
Vitesse du vent,11km/h,18km/h,10km/h,23km/h,11km/h,11km/h,19km/h,14km/h,13km/h,16km/h,9km/h,5km/h,13km/h,22km/h,13km/h,11km/h,15km/h,30km/h,18km/h,30km/h,15km/h,31km/h,21km/h,31km/h,15km/h,21km/h,8km/h,13km/h,9km/h,22km/h,39km/h
Température du vent,-1°,-4°,-1°,-6°,-8°,1°,-5°,-2°,0°,-2°,1°,6°,4°,8°,2°,0°,2°,-9°,-7°,-5°,-3°,-15°,-16°,-11°,-9°,-10°,-7°,-6°,1°,9°,-2°
Précipitations,1mm,0mm,,,,,,,,0mm,2mm,1mm,0mm,5mm,15mm,20mm,15mm,0mm,,,,,0mm,2mm,4mm,1mm,0mm,2mm,1mm,1mm,17mm
Humidité,79%,91%,96%,85%,82%,86%,96%,82%,100%,97%,93%,100%,100%,93%,94%,96%,95%,72%,86%,90%,72%,52%,69%,81%,93%,93%,92%,97%,99%,94%,59%
Visibilité,10km,10km,8km,10km,10km,10km,10km,10km,6.5km,6.5km,8.5km,6.25km,5.5km,7.5km,6.5km,6.125km,6.75km,9km,10km,10km,10km,10km,10km,9.625km,9km,9km,10km,7.25km,5.375km,4.375km,8.875km
Couverture nuageuse,53%,11%,7%,1%,5%,43%,7%,4%,29%,34%,68%,62%,70%,69%,100%,81%,100%,5%,3%,6%,42%,10%,11%,23%,40%,35%,16%,77%,94%,86%,41%
Indice de chaleur,6,4,6,6,6,10,9,12,16,11,9,17,18,16,7,8,6,3,8,10,5,0,,,,0,2,5,14,24,18
Point de rosée,1°C,0°C,,,,0°C,1°C,2°C,7°C,4°C,6°C,10°C,14°C,14°C,5°C,3°C,2°C,0°C,,,,,,,,,0°C,2°C,9°C,13°C,8°C
Pression,1018hPa,1024hPa,1024hPa,1024hPa,1029hPa,1023hPa,1031hPa,1031hPa,1029hPa,1037hPa,1034hPa,1021hPa,1020hPa,1027hPa,1026hPa,1021hPa,1021hPa,1033hPa,1031hPa,1020hPa,1022hPa,1026hPa,1028hPa,1033hPa,1034hPa,1030hPa,1036hPa,1033hPa,1022hPa,1016hPa,1016hPa
Heure du lever du soleil,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:26:00,07:26:00,07:26:00,07:25:00,07:25:00,07:25:00,07:24:00,07:24:00,07:23:00,07:23:00,07:22:00,07:21:00,07:21:00,07:20:00,07:19:00,07:19:00,07:18:00,07:17:00,07:16:00,07:15:00
Heure du coucher du soleil,16:57:00,16:58:00,16:59:00,17:00:00,17:01:00,17:02:00,17:02:00,17:03:00,17:04:00,17:05:00,17:06:00,17:08:00,17:09:00,17:10:00,17:11:00,17:12:00,17:13:00,17:14:00,17:15:00,17:16:00,17:17:00,17:19:00,17:20:00,17:21:00,17:22:00,17:23:00,17:24:00,17:25:00,17:27:00,17:28:00,17:29:00
Durée du jour,9:30:0,9:31:0,9:32:0,9:33:0,9:34:0,9:35:0,9:35:0,9:36:0,9:37:0,9:38:0,9:39:0,9:42:0,9:43:0,9:44:0,9:46:0,9:47:0,9:48:0,9:50:0,9:51:0,9:53:0,9:54:0,9:57:0,9:59:0,10:0:0,10:2:0,10:4:0,10:5:0,10:7:0,10:10:0,10:12:0,10:14:0
