field,2011/11/01,2011/11/02,2011/11/03,2011/11/04,2011/11/05,2011/11/06,2011/11/07,2011/11/08,2011/11/09,2011/11/10,2011/11/11,2011/11/12,2011/11/13,2011/11/14,2011/11/15,2011/11/16,2011/11/17,2011/11/18,2011/11/19,2011/11/20,2011/11/21,2011/11/22,2011/11/23,2011/11/24,2011/11/25,2011/11/26,2011/11/27,2011/11/28,2011/11/29,2011/11/30
Température maximale,14°,15°,17°,14°,10°,12°,16°,19°,18°,12°,9°,14°,17°,19°,17°,17°,11°,6°,10°,19°,15°,14°,20°,14°,17°,17°,19°,18°,18°,10°
Température minimale,6°,1°,5°,8°,-1°,4°,2°,6°,5°,9°,1°,1°,2°,10°,14°,13°,4°,-2°,0°,6°,11°,9°,13°,1°,4°,5°,8°,13°,15°,4°
Vitesse du vent,13km/h,8km/h,13km/h,26km/h,18km/h,11km/h,7km/h,6km/h,11km/h,24km/h,28km/h,23km/h,27km/h,23km/h,20km/h,9km/h,22km/h,15km/h,18km/h,19km/h,19km/h,12km/h,21km/h,17km/h,8km/h,10km/h,24km/h,16km/h,26km/h,21km/h
Température du vent,5°,-1°,3°,5°,-5°,3°,2°,5°,5°,6°,-4°,-3°,-1°,7°,13°,13°,-1°,-6°,-5°,2°,9°,8°,12°,-3°,3°,3°,6°,12°,13°,0°
Précipitations,3mm,0mm,0mm,1mm,0mm,,,,0mm,1mm,0mm,,,0mm,3mm,21mm,5mm,0mm,0mm,3mm,10mm,5mm,17mm,0mm,,,,0mm,14mm,0mm
Humidité,100%,100%,95%,93%,91%,93%,100%,100%,100%,97%,78%,75%,91%,95%,96%,99%,87%,88%,74%,95%,95%,96%,98%,98%,98%,84%,89%,98%,99%,95%
Visibilité,7.375km,6.25km,9km,9.875km,10km,6.75km,7.5km,7.5km,5.5km,5.625km,10km,10km,9km,10km,8.75km,7.5km,8.875km,10km,10km,9.625km,7.25km,3.75km,7.625km,8.75km,8.75km,10km,10km,10km,7km,10km
Couverture nuageuse,39%,38%,6%,30%,0%,64%,28%,25%,31%,79%,6%,8%,15%,13%,58%,93%,51%,2%,15%,38%,100%,100%,91%,14%,13%,12%,10%,76%,92%,27%
Indice de chaleur,14,15,17,14,10,12,16,19,18,12,9,14,17,19,17,17,11,6,10,19,15,14,20,14,17,17,19,18,18,10
Point de rosée,8°C,7°C,11°C,7°C,3°C,8°C,10°C,10°C,11°C,11°C,1°C,3°C,6°C,14°C,15°C,15°C,10°C,0°C,4°C,13°C,14°C,14°C,15°C,4°C,6°C,7°C,12°C,14°C,16°C,4°C
Pression,1030hPa,1030hPa,1024hPa,1024hPa,1032hPa,1033hPa,1030hPa,1027hPa,1023hPa,1015hPa,1020hPa,1022hPa,1022hPa,1017hPa,1017hPa,1014hPa,1023hPa,1032hPa,1031hPa,1025hPa,1028hPa,1025hPa,1015hPa,1027hPa,1027hPa,1024hPa,1022hPa,1022hPa,1017hPa,1018hPa
Heure du lever du soleil,06:35:00,06:36:00,06:37:00,06:38:00,06:39:00,06:40:00,06:42:00,06:43:00,06:44:00,06:45:00,06:46:00,06:47:00,06:48:00,06:49:00,06:50:00,06:52:00,06:53:00,06:54:00,06:55:00,06:56:00,06:57:00,06:58:00,06:59:00,07:00:00,07:01:00,07:03:00,07:04:00,07:05:00,07:06:00,07:07:00
Heure du coucher du soleil,17:08:00,17:07:00,17:06:00,17:05:00,17:04:00,17:03:00,17:02:00,17:01:00,17:00:00,16:59:00,16:58:00,16:57:00,16:56:00,16:55:00,16:54:00,16:54:00,16:53:00,16:52:00,16:52:00,16:51:00,16:50:00,16:50:00,16:49:00,16:49:00,16:48:00,16:48:00,16:48:00,16:47:00,16:47:00,16:47:00
Durée du jour,10:33:0,10:31:0,10:29:0,10:27:0,10:25:0,10:23:0,10:20:0,10:18:0,10:16:0,10:14:0,10:12:0,10:10:0,10:8:0,10:6:0,10:4:0,10:2:0,10:0:0,9:58:0,9:57:0,9:55:0,9:53:0,9:52:0,9:50:0,9:49:0,9:47:0,9:45:0,9:44:0,9:42:0,9:41:0,9:40:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
