field,2014/02/01,2014/02/02,2014/02/03,2014/02/04,2014/02/05,2014/02/06,2014/02/07,2014/02/08,2014/02/09,2014/02/10,2014/02/11,2014/02/12,2014/02/13,2014/02/14,2014/02/15,2014/02/16,2014/02/17,2014/02/18,2014/02/19,2014/02/20,2014/02/21,2014/02/22,2014/02/23,2014/02/24,2014/02/25,2014/02/26,2014/02/27,2014/02/28
Température maximale,8°,12°,4°,3°,10°,0°,5°,2°,3°,0°,,0°,2°,2°,4°,2°,0°,11°,14°,10°,16°,15°,14°,5°,4°,0°,2°,0°
Température minimale,-1°,2°,1°,-3°,3°,-5°,-2°,-2°,-1°,-4°,-7°,-8°,-2°,-5°,1°,-6°,-6°,0°,2°,-2°,11°,3°,5°,-2°,-1°,-2°,-5°,-10°
Vitesse du vent,13km/h,9km/h,21km/h,10km/h,15km/h,20km/h,6km/h,7km/h,16km/h,22km/h,15km/h,12km/h,30km/h,15km/h,32km/h,10km/h,12km/h,21km/h,23km/h,19km/h,29km/h,22km/h,10km/h,29km/h,14km/h,25km/h,30km/h,12km/h
Température du vent,-4°,-1°,-3°,-7°,2°,-11°,-3°,-5°,-3°,-11°,-12°,-13°,-9°,-11°,-5°,-11°,-11°,-5°,-2°,-2°,8°,-1°,2°,-8°,-4°,-8°,-10°,-16°
Précipitations,0mm,1mm,22mm,1mm,16mm,0mm,0mm,1mm,2mm,0mm,0mm,2mm,19mm,1mm,6mm,1mm,0mm,4mm,2mm,1mm,12mm,0mm,1mm,3mm,2mm,3mm,0mm,
Humidité,79%,93%,97%,79%,99%,74%,69%,69%,84%,63%,70%,69%,97%,100%,99%,86%,85%,97%,98%,91%,97%,80%,86%,78%,72%,92%,84%,40%
Visibilité,10km,8km,7.625km,8.875km,8.25km,10km,10km,10km,8.875km,10km,10km,9.375km,6.75km,5km,7.625km,10km,10km,7.75km,9.875km,9km,8.125km,10km,10km,9.75km,10km,8.75km,10km,10km
Couverture nuageuse,11%,38%,79%,31%,60%,25%,48%,82%,80%,45%,22%,50%,98%,51%,75%,48%,22%,52%,38%,55%,58%,17%,59%,12%,68%,42%,5%,6%
Indice de chaleur,8,12,4,3,10,0,5,2,3,0,,0,2,2,4,2,0,11,14,10,16,15,14,5,4,0,2,0
Point de rosée,3°C,9°C,3°C,0°C,8°C,0°C,,0°C,1°C,0°C,,0°C,1°C,2°C,4°C,0°C,0°C,8°C,12°C,6°C,15°C,5°C,7°C,4°C,0°C,,,
Pression,1027hPa,1020hPa,1026hPa,1031hPa,1020hPa,1027hPa,1029hPa,1029hPa,1023hPa,1026hPa,1033hPa,1033hPa,1021hPa,1009hPa,1012hPa,1022hPa,1031hPa,1023hPa,1020hPa,1025hPa,1017hPa,1021hPa,1018hPa,1022hPa,1022hPa,1017hPa,1021hPa,1032hPa
Heure du lever du soleil,07:15:00,07:14:00,07:13:00,07:12:00,07:11:00,07:10:00,07:09:00,07:08:00,07:06:00,07:05:00,07:04:00,07:03:00,07:02:00,07:01:00,06:59:00,06:58:00,06:57:00,06:56:00,06:54:00,06:53:00,06:52:00,06:50:00,06:49:00,06:48:00,06:46:00,06:45:00,06:43:00,06:42:00
Heure du coucher du soleil,17:30:00,17:31:00,17:32:00,17:33:00,17:34:00,17:36:00,17:37:00,17:38:00,17:39:00,17:40:00,17:41:00,17:43:00,17:44:00,17:45:00,17:46:00,17:47:00,17:48:00,17:49:00,17:50:00,17:51:00,17:52:00,17:54:00,17:55:00,17:56:00,17:57:00,17:58:00,17:59:00,18:00:00
Durée du jour,10:15:0,10:17:0,10:19:0,10:21:0,10:23:0,10:26:0,10:28:0,10:30:0,10:33:0,10:35:0,10:37:0,10:40:0,10:42:0,10:44:0,10:47:0,10:49:0,10:51:0,10:53:0,10:56:0,10:58:0,11:0:0,11:4:0,11:6:0,11:8:0,11:11:0,11:13:0,11:16:0,11:18:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
