field,2015/01/01,2015/01/02,2015/01/03,2015/01/04,2015/01/05,2015/01/06,2015/01/07,2015/01/08,2015/01/09,2015/01/10,2015/01/11,2015/01/12,2015/01/13,2015/01/14,2015/01/15,2015/01/16,2015/01/17,2015/01/18,2015/01/19,2015/01/20,2015/01/21,2015/01/22,2015/01/23,2015/01/24,2015/01/25,2015/01/26,2015/01/27,2015/01/28,2015/01/29,2015/01/30,2015/01/31
Température maximale,5°,9°,8°,21°,4°,1°,-5°,-5°,1°,-1°,4°,5°,1°,1°,5°,4°,5°,7°,5°,11°,3°,8°,6°,4°,9°,3°,2°,1°,5°,2°,0°
Température minimale,-2°,1°,2°,12°,1°,-5°,-6°,-12°,-5°,-12°,-6°,1°,-4°,-4°,-3°,-1°,-2°,3°,-1°,1°,1°,-2°,-1°,3°,0°,2°,-2°,-7°,-5°,-1°,-7°
Vitesse du vent,22km/h,13km/h,15km/h,23km/h,31km/h,16km/h,35km/h,21km/h,27km/h,19km/h,14km/h,8km/h,23km/h,11km/h,7km/h,27km/h,21km/h,13km/h,24km/h,7km/h,14km/h,18km/h,9km/h,30km/h,14km/h,28km/h,27km/h,29km/h,19km/h,37km/h,27km/h
Température du vent,-6°,-2°,-2°,10°,-5°,-8°,-15°,-20°,-11°,-20°,-11°,-1°,-11°,-9°,-4°,-5°,-5°,0°,-6°,0°,-3°,-6°,-1°,-1°,-4°,-2°,-7°,-14°,-7°,-9°,-15°
Humidité,38%,60%,94%,98%,76%,83%,70%,75%,57%,64%,63%,98%,88%,81%,86%,69%,71%,99%,92%,81%,91%,95%,86%,96%,90%,95%,89%,71%,60%,87%,59%
Visibilité,10km,10km,5.75km,7.5km,10km,8.75km,10km,10km,10km,10km,10km,5km,10km,10km,9km,10km,10km,8.625km,10km,10km,6.875km,5.5km,8.625km,6.75km,8.875km,7.125km,10km,10km,9km,10km,10km
Couverture nuageuse,20%,16%,74%,79%,5%,60%,35%,19%,22%,1%,31%,88%,25%,67%,32%,5%,4%,65%,34%,52%,84%,34%,45%,66%,54%,99%,87%,6%,59%,66%,9%
Indice de chaleur,5,6,8,17,4,1,0,0,1,0,4,5,0,1,5,4,5,7,5,9,3,5,6,4,9,5,2,1,5,2,0
Pression,1026hPa,1031hPa,1032hPa,1018hPa,1032hPa,1031hPa,1028hPa,1035hPa,1027hPa,1038hPa,1038hPa,1032hPa,1035hPa,1034hPa,1024hPa,1026hPa,1027hPa,1021hPa,1016hPa,1016hPa,1021hPa,1029hPa,1030hPa,1011hPa,1013hPa,1011hPa,1015hPa,1028hPa,1028hPa,1022hPa,1028hPa
Heure du lever du soleil,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:26:00,07:26:00,07:26:00,07:25:00,07:25:00,07:24:00,07:24:00,07:23:00,07:23:00,07:22:00,07:22:00,07:21:00,07:20:00,07:20:00,07:19:00,07:18:00,07:17:00,07:17:00,07:16:00
Heure du coucher du soleil,16:57:00,16:58:00,16:58:00,16:59:00,17:00:00,17:01:00,17:02:00,17:03:00,17:04:00,17:05:00,17:06:00,17:07:00,17:08:00,17:09:00,17:10:00,17:11:00,17:12:00,17:13:00,17:15:00,17:16:00,17:17:00,17:18:00,17:19:00,17:20:00,17:21:00,17:23:00,17:24:00,17:25:00,17:26:00,17:27:00,17:28:00
Durée du jour,9:30:0,9:31:0,9:31:0,9:32:0,9:33:0,9:34:0,9:35:0,9:36:0,9:37:0,9:38:0,9:39:0,9:40:0,9:42:0,9:43:0,9:44:0,9:46:0,9:47:0,9:49:0,9:51:0,9:53:0,9:54:0,9:56:0,9:57:0,9:59:0,10:1:0,10:3:0,10:5:0,10:7:0,10:9:0,10:10:0,10:12:0
Précipitations,,0mm,4mm,20mm,0mm,4mm,0mm,,,0mm,1mm,15mm,0mm,1mm,0mm,,0mm,16mm,0mm,0mm,3mm,0mm,4mm,17mm,2mm,13mm,2mm,0mm,1mm,1mm,0mm
Point de rosée,,0°C,8°C,17°C,0°C,,,,,,0°C,5°C,0°C,0°C,2°C,0°C,0°C,6°C,1°C,4°C,2°C,3°C,0°C,3°C,6°C,4°C,0°C,,,,
