field,2011/01/01,2011/01/02,2011/01/03,2011/01/04,2011/01/05,2011/01/06,2011/01/07,2011/01/08,2011/01/09,2011/01/10,2011/01/11,2011/01/12,2011/01/13,2011/01/14,2011/01/15,2011/01/16,2011/01/17,2011/01/18,2011/01/19,2011/01/20,2011/01/21,2011/01/22,2011/01/23,2011/01/24,2011/01/25,2011/01/26,2011/01/27,2011/01/28,2011/01/29,2011/01/30,2011/01/31
Température maximale,11°,11°,6°,7°,4°,4°,2°,0°,,,,,0°,1°,5°,1°,1°,1°,8°,3°,1°,0°,,0°,5°,1°,3°,1°,4°,3°,3°
Température minimale,2°,6°,-2°,-1°,-1°,0°,-1°,-2°,-7°,-6°,-3°,-3°,-5°,-5°,-2°,-1°,-3°,0°,1°,-3°,-6°,-4°,-7°,-5°,-3°,1°,-4°,0°,-2°,-2°,-2°
Vitesse du vent,22km/h,18km/h,18km/h,15km/h,14km/h,9km/h,18km/h,25km/h,28km/h,16km/h,8km/h,32km/h,24km/h,15km/h,18km/h,20km/h,16km/h,18km/h,14km/h,13km/h,37km/h,19km/h,24km/h,13km/h,8km/h,23km/h,21km/h,11km/h,21km/h,18km/h,9km/h
Température du vent,-1°,3°,-6°,-4°,-5°,-3°,-5°,-8°,-15°,-11°,-6°,-9°,-12°,-9°,-5°,-5°,-7°,-5°,-1°,-8°,-14°,-9°,-12°,-6°,-6°,-5°,-10°,-3°,-3°,-7°,-4°
Précipitations,2mm,12mm,0mm,,,,0mm,2mm,0mm,0mm,7mm,5mm,0mm,,,0mm,1mm,22mm,1mm,1mm,4mm,1mm,0mm,,0mm,29mm,1mm,3mm,0mm,0mm,1mm
Humidité,99%,94%,65%,79%,66%,67%,82%,91%,63%,68%,94%,82%,75%,83%,79%,79%,70%,96%,100%,91%,94%,81%,66%,71%,88%,98%,81%,99%,95%,95%,82%
Visibilité,6.125km,6.375km,10km,10km,10km,10km,10km,10km,10km,10km,7.75km,8.625km,10km,10km,10km,10km,8.875km,5.625km,6.125km,9.875km,9.25km,9.875km,10km,10km,10km,5.625km,10km,7.75km,8km,8km,9km
Couverture nuageuse,90%,87%,3%,7%,8%,29%,33%,65%,3%,11%,75%,36%,37%,26%,21%,15%,76%,85%,53%,58%,34%,30%,9%,17%,23%,92%,19%,63%,34%,26%,65%
Indice de chaleur,11,11,6,7,4,4,2,0,,,,,0,1,5,1,1,1,8,3,1,0,,0,5,1,3,1,4,3,3
Point de rosée,11°C,11°C,0°C,,,,,,,,,,,,,,0°C,1°C,4°C,0°C,1°C,0°C,,,0°C,1°C,1°C,1°C,3°C,0°C,0°C
Pression,1022hPa,1019hPa,1026hPa,1023hPa,1016hPa,1010hPa,1000hPa,1004hPa,1026hPa,1030hPa,1027hPa,1018hPa,1029hPa,1031hPa,1027hPa,1026hPa,1026hPa,1019hPa,1017hPa,1022hPa,1017hPa,1021hPa,1029hPa,1032hPa,1026hPa,1017hPa,1015hPa,1013hPa,1015hPa,1028hPa,1030hPa
Heure du lever du soleil,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:26:00,07:26:00,07:26:00,07:25:00,07:25:00,07:24:00,07:24:00,07:23:00,07:23:00,07:22:00,07:22:00,07:21:00,07:20:00,07:20:00,07:19:00,07:18:00,07:17:00,07:17:00,07:16:00
Heure du coucher du soleil,16:57:00,16:58:00,16:58:00,16:59:00,17:00:00,17:01:00,17:02:00,17:03:00,17:04:00,17:05:00,17:06:00,17:07:00,17:08:00,17:09:00,17:10:00,17:11:00,17:12:00,17:13:00,17:15:00,17:16:00,17:17:00,17:18:00,17:19:00,17:20:00,17:21:00,17:23:00,17:24:00,17:25:00,17:26:00,17:27:00,17:28:00
Durée du jour,9:30:0,9:31:0,9:31:0,9:32:0,9:33:0,9:34:0,9:35:0,9:36:0,9:37:0,9:38:0,9:39:0,9:40:0,9:42:0,9:43:0,9:44:0,9:46:0,9:47:0,9:49:0,9:51:0,9:53:0,9:54:0,9:56:0,9:57:0,9:59:0,10:1:0,10:3:0,10:5:0,10:7:0,10:9:0,10:10:0,10:12:0
