field,2017/01/01,2017/01/02,2017/01/03,2017/01/04,2017/01/05,2017/01/06,2017/01/07,2017/01/08,2017/01/09,2017/01/10,2017/01/11,2017/01/12,2017/01/13,2017/01/14,2017/01/15,2017/01/16,2017/01/17,2017/01/18,2017/01/19,2017/01/20,2017/01/21,2017/01/22,2017/01/23,2017/01/24,2017/01/25,2017/01/26,2017/01/27,2017/01/28,2017/01/29,2017/01/30,2017/01/31
Température maximale,10°,7°,8°,10°,1°,2°,-3°,-6°,-4°,1°,10°,14°,15°,5°,8°,7°,13°,12°,9°,9°,12°,12°,10°,9°,15°,13°,6°,7°,7°,3°,10°
Température minimale,6°,6°,6°,9°,-1°,-1°,-6°,-8°,-7°,-5°,3°,11°,6°,2°,4°,5°,7°,11°,4°,5°,10°,9°,6°,4°,5°,10°,2°,1°,3°,1°,1°
Vitesse du vent,9km/h,14km/h,11km/h,26km/h,9km/h,15km/h,18km/h,27km/h,13km/h,15km/h,10km/h,24km/h,22km/h,8km/h,12km/h,8km/h,12km/h,24km/h,11km/h,9km/h,8km/h,9km/h,37km/h,22km/h,9km/h,32km/h,23km/h,17km/h,13km/h,21km/h,19km/h
Température du vent,4°,3°,3°,5°,-5°,-6°,-13°,-17°,-10°,-11°,0°,7°,2°,0°,0°,3°,4°,8°,2°,2°,9°,8°,1°,-2°,2°,8°,-3°,-4°,-1°,-4°,-4°
Précipitations,0mm,5mm,19mm,1mm,1mm,2mm,7mm,0mm,,0mm,3mm,1mm,0mm,9mm,2mm,1mm,5mm,0mm,0mm,2mm,1mm,2mm,30mm,4mm,0mm,2mm,0mm,0mm,1mm,5mm,0mm
Humidité,59%,96%,96%,94%,79%,76%,87%,65%,75%,80%,91%,95%,79%,87%,92%,84%,93%,84%,84%,91%,95%,95%,93%,90%,88%,75%,72%,66%,70%,71%,60%
Visibilité,10km,5.5km,3.625km,8.25km,10km,9.375km,7.75km,10km,10km,10km,7.375km,9.375km,10km,6.375km,8km,10km,8.5km,9km,7.625km,3.75km,4.125km,5.375km,6.5km,8.375km,9km,8.75km,10km,10km,10km,8.125km,10km
Couverture nuageuse,50%,100%,100%,61%,67%,78%,76%,0%,49%,86%,83%,92%,75%,100%,72%,93%,92%,68%,55%,92%,100%,100%,100%,88%,5%,38%,1%,19%,72%,71%,52%
Indice de chaleur,9,7,7,9,1,1,0,,0,1,9,14,15,4,8,6,12,12,9,9,12,11,10,8,14,13,5,7,6,3,10
Point de rosée,2°C,6°C,6°C,8°C,0°C,,,,,0°C,7°C,11°C,11°C,3°C,3°C,3°C,11°C,11°C,7°C,8°C,10°C,9°C,9°C,4°C,8°C,6°C,0°C,1°C,0°C,0°C,1°C
Pression,1028hPa,1029hPa,1023hPa,1011hPa,1018hPa,1024hPa,1027hPa,1039hPa,1042hPa,1037hPa,1028hPa,1024hPa,1038hPa,1039hPa,1030hPa,1031hPa,1026hPa,1018hPa,1020hPa,1017hPa,1013hPa,1008hPa,1002hPa,1004hPa,1010hPa,1007hPa,1011hPa,1011hPa,1010hPa,1017hPa,1017hPa
Heure du lever du soleil,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:26:00,07:26:00,07:26:00,07:25:00,07:25:00,07:25:00,07:24:00,07:24:00,07:23:00,07:23:00,07:22:00,07:21:00,07:21:00,07:20:00,07:19:00,07:19:00,07:18:00,07:17:00,07:16:00,07:15:00
Heure du coucher du soleil,16:57:00,16:58:00,16:59:00,17:00:00,17:01:00,17:02:00,17:03:00,17:03:00,17:04:00,17:05:00,17:06:00,17:08:00,17:09:00,17:10:00,17:11:00,17:12:00,17:13:00,17:14:00,17:15:00,17:16:00,17:17:00,17:19:00,17:20:00,17:21:00,17:22:00,17:23:00,17:24:00,17:25:00,17:27:00,17:28:00,17:29:00
Durée du jour,9:30:0,9:31:0,9:32:0,9:33:0,9:34:0,9:35:0,9:36:0,9:36:0,9:37:0,9:38:0,9:39:0,9:42:0,9:43:0,9:44:0,9:46:0,9:47:0,9:48:0,9:50:0,9:51:0,9:53:0,9:54:0,9:57:0,9:59:0,10:0:0,10:2:0,10:4:0,10:5:0,10:7:0,10:10:0,10:12:0,10:14:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
