field,2011/03/01,2011/03/02,2011/03/03,2011/03/04,2011/03/05,2011/03/06,2011/03/07,2011/03/08,2011/03/09,2011/03/10,2011/03/11,2011/03/12,2011/03/13,2011/03/14,2011/03/15,2011/03/16,2011/03/17,2011/03/18,2011/03/19,2011/03/20,2011/03/21,2011/03/22,2011/03/23,2011/03/24,2011/03/25,2011/03/26,2011/03/27,2011/03/28,2011/03/29,2011/03/30,2011/03/31
Température maximale,13°,14°,5°,9°,17°,15°,7°,9°,10°,14°,11°,14°,13°,11°,12°,16°,18°,22°,15°,11°,21°,17°,11°,7°,9°,8°,9°,8°,12°,8°,6°
Température minimale,1°,1°,-2°,1°,4°,12°,0°,1°,2°,10°,6°,2°,8°,4°,6°,8°,6°,9°,10°,5°,7°,10°,8°,3°,1°,1°,-1°,0°,0°,5°,3°
Vitesse du vent,20km/h,24km/h,18km/h,19km/h,24km/h,24km/h,30km/h,13km/h,22km/h,32km/h,18km/h,27km/h,21km/h,15km/h,22km/h,17km/h,14km/h,25km/h,23km/h,10km/h,27km/h,18km/h,23km/h,18km/h,13km/h,15km/h,10km/h,17km/h,17km/h,14km/h,12km/h
Température du vent,-4°,-3°,-7°,-2°,1°,10°,-6°,-2°,-2°,7°,3°,-3°,6°,1°,4°,6°,5°,7°,7°,2°,3°,8°,6°,-1°,-2°,-3°,-5°,-5°,-4°,1°,0°
Précipitations,0mm,,,,0mm,35mm,3mm,0mm,1mm,25mm,1mm,0mm,,0mm,1mm,22mm,0mm,,,0mm,2mm,0mm,2mm,7mm,0mm,0mm,6mm,0mm,0mm,11mm,6mm
Humidité,61%,83%,49%,76%,98%,97%,69%,75%,93%,98%,80%,78%,82%,82%,83%,96%,90%,81%,68%,71%,82%,80%,84%,91%,70%,65%,88%,56%,63%,87%,92%
Visibilité,10km,10km,10km,10km,8.75km,6.5km,8.875km,10km,9km,7.5km,10km,10km,10km,10km,9km,8.375km,10km,10km,10km,10km,9km,10km,8.875km,9.375km,10km,10km,8.625km,10km,10km,8.875km,5.5km
Couverture nuageuse,1%,2%,3%,15%,50%,91%,25%,9%,68%,100%,52%,11%,5%,11%,26%,59%,11%,4%,26%,14%,44%,43%,95%,80%,17%,11%,38%,9%,4%,72%,100%
Indice de chaleur,13,14,5,9,17,15,7,9,10,14,11,14,13,11,12,16,18,25,15,11,21,17,11,7,9,8,9,8,12,8,6
Point de rosée,1°C,1°C,0°C,2°C,11°C,14°C,0°C,1°C,6°C,13°C,6°C,6°C,5°C,1°C,5°C,9°C,8°C,13°C,10°C,3°C,15°C,12°C,9°C,5°C,0°C,0°C,2°C,0°C,0°C,3°C,4°C
Pression,1028hPa,1030hPa,1039hPa,1037hPa,1031hPa,1019hPa,1028hPa,1035hPa,1034hPa,1023hPa,1014hPa,1017hPa,1025hPa,1031hPa,1031hPa,1022hPa,1026hPa,1020hPa,1032hPa,1037hPa,1030hPa,1017hPa,1014hPa,1015hPa,1018hPa,1019hPa,1018hPa,1022hPa,1025hPa,1024hPa,1012hPa
Heure du lever du soleil,06:41:00,06:39:00,06:38:00,06:36:00,06:35:00,06:33:00,06:32:00,06:30:00,06:29:00,06:27:00,06:26:00,06:24:00,06:23:00,06:21:00,06:20:00,06:18:00,06:17:00,06:15:00,06:13:00,06:12:00,06:10:00,06:09:00,06:07:00,06:06:00,06:04:00,06:03:00,06:01:00,06:00:00,05:58:00,05:56:00,05:55:00
Heure du coucher du soleil,18:01:00,18:02:00,18:03:00,18:04:00,18:05:00,18:06:00,18:07:00,18:08:00,18:09:00,18:10:00,18:11:00,18:12:00,18:13:00,18:14:00,18:15:00,18:16:00,18:17:00,18:18:00,18:19:00,18:20:00,18:21:00,18:22:00,18:23:00,18:24:00,18:25:00,18:25:00,18:26:00,18:27:00,18:28:00,18:29:00,18:30:00
Durée du jour,11:20:0,11:23:0,11:25:0,11:28:0,11:30:0,11:33:0,11:35:0,11:38:0,11:40:0,11:43:0,11:45:0,11:48:0,11:50:0,11:53:0,11:55:0,11:58:0,12:0:0,12:3:0,12:6:0,12:8:0,12:11:0,12:13:0,12:16:0,12:18:0,12:21:0,12:22:0,12:25:0,12:27:0,12:30:0,12:33:0,12:35:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
