field,2016/06/01,2016/06/02,2016/06/03,2016/06/04,2016/06/05,2016/06/06,2016/06/07,2016/06/08,2016/06/09,2016/06/10,2016/06/11,2016/06/12,2016/06/13,2016/06/14,2016/06/15,2016/06/16,2016/06/17,2016/06/18,2016/06/19,2016/06/20,2016/06/21,2016/06/22,2016/06/23,2016/06/24,2016/06/25,2016/06/26,2016/06/27,2016/06/28,2016/06/29,2016/06/30
Température maximale,27°,29°,30°,29°,31°,31°,30°,23°,27°,29°,34°,34°,28°,29°,29°,26°,22°,26°,34°,32°,30°,32°,28°,26°,27°,28°,31°,31°,27°,27°
Température minimale,22°,19°,22°,22°,24°,22°,22°,19°,15°,19°,21°,28°,17°,22°,21°,22°,17°,19°,22°,22°,25°,25°,23°,24°,21°,21°,22°,25°,23°,21°
Vitesse du vent,17km/h,12km/h,12km/h,10km/h,26km/h,17km/h,27km/h,35km/h,23km/h,15km/h,19km/h,33km/h,20km/h,14km/h,16km/h,24km/h,19km/h,12km/h,14km/h,14km/h,16km/h,25km/h,22km/h,19km/h,13km/h,15km/h,16km/h,21km/h,17km/h,13km/h
Température du vent,22°,18°,21°,21°,23°,23°,23°,19°,16°,18°,22°,27°,16°,20°,21°,23°,16°,19°,20°,23°,24°,24°,22°,24°,20°,22°,21°,24°,23°,22°
Précipitations,0mm,3mm,25mm,5mm,11mm,0mm,,,,,,,,0mm,1mm,7mm,75mm,0mm,,0mm,4mm,1mm,15mm,5mm,1mm,0mm,10mm,11mm,0mm,0mm
Humidité,86%,93%,97%,96%,92%,84%,81%,66%,61%,55%,61%,61%,61%,50%,68%,84%,92%,76%,53%,59%,77%,73%,92%,84%,91%,74%,84%,85%,80%,72%
Visibilité,10km,6.875km,6.5km,6.125km,8.25km,9km,10km,10km,10km,10km,10km,10km,10km,10km,10km,9.875km,7.375km,10km,10km,10km,9.625km,10km,8.625km,9.75km,8km,10km,9.25km,9.875km,10km,10km
Couverture nuageuse,29%,80%,74%,93%,84%,52%,38%,14%,10%,31%,42%,11%,27%,29%,95%,47%,63%,37%,29%,23%,79%,37%,97%,55%,50%,1%,51%,56%,8%,6%
Indice de chaleur,29,31,31,30,33,32,29,24,26,29,36,33,27,26,28,27,23,27,31,32,34,31,32,28,28,28,34,34,28,28
Point de rosée,22°C,22°C,22°C,22°C,22°C,20°C,19°C,13°C,11°C,18°C,20°C,19°C,15°C,13°C,18°C,21°C,18°C,15°C,14°C,17°C,22°C,23°C,22°C,22°C,19°C,19°C,23°C,24°C,22°C,19°C
Pression,1018hPa,1019hPa,1016hPa,1015hPa,1011hPa,1007hPa,1005hPa,1013hPa,1016hPa,1020hPa,1017hPa,1012hPa,1015hPa,1016hPa,1016hPa,1008hPa,1017hPa,1027hPa,1028hPa,1023hPa,1013hPa,1015hPa,1014hPa,1016hPa,1022hPa,1024hPa,1020hPa,1014hPa,1014hPa,1017hPa
Heure du lever du soleil,05:45:00,05:44:00,05:44:00,05:44:00,05:43:00,05:43:00,05:43:00,05:43:00,05:43:00,05:43:00,05:42:00,05:42:00,05:42:00,05:42:00,05:42:00,05:43:00,05:43:00,05:43:00,05:43:00,05:43:00,05:43:00,05:44:00,05:44:00,05:44:00,05:44:00,05:45:00,05:45:00,05:46:00,05:46:00,05:46:00
Heure du coucher du soleil,20:28:00,20:29:00,20:29:00,20:30:00,20:30:00,20:31:00,20:32:00,20:32:00,20:33:00,20:33:00,20:34:00,20:34:00,20:34:00,20:35:00,20:35:00,20:36:00,20:36:00,20:36:00,20:36:00,20:37:00,20:37:00,20:37:00,20:37:00,20:37:00,20:37:00,20:37:00,20:37:00,20:37:00,20:37:00,20:37:00
Durée du jour,14:43:0,14:45:0,14:45:0,14:46:0,14:47:0,14:48:0,14:49:0,14:49:0,14:50:0,14:50:0,14:52:0,14:52:0,14:52:0,14:53:0,14:53:0,14:53:0,14:53:0,14:53:0,14:53:0,14:54:0,14:54:0,14:53:0,14:53:0,14:53:0,14:53:0,14:52:0,14:52:0,14:51:0,14:51:0,14:51:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
