field,2011/04/01,2011/04/02,2011/04/03,2011/04/04,2011/04/05,2011/04/06,2011/04/07,2011/04/08,2011/04/09,2011/04/10,2011/04/11,2011/04/12,2011/04/13,2011/04/14,2011/04/15,2011/04/16,2011/04/17,2011/04/18,2011/04/19,2011/04/20,2011/04/21,2011/04/22,2011/04/23,2011/04/24,2011/04/25,2011/04/26,2011/04/27,2011/04/28,2011/04/29,2011/04/30
Température maximale,9°,10°,13°,26°,20°,16°,20°,9°,11°,20°,27°,21°,14°,24°,17°,17°,18°,23°,25°,27°,15°,12°,21°,29°,31°,28°,29°,23°,21°,20°
Température minimale,4°,3°,3°,10°,6°,6°,10°,6°,6°,12°,16°,12°,10°,9°,11°,10°,9°,12°,14°,16°,9°,8°,9°,18°,19°,20°,21°,20°,15°,9°
Vitesse du vent,26km/h,17km/h,19km/h,35km/h,34km/h,28km/h,13km/h,18km/h,13km/h,13km/h,27km/h,32km/h,21km/h,13km/h,27km/h,41km/h,28km/h,16km/h,15km/h,31km/h,27km/h,21km/h,22km/h,12km/h,22km/h,26km/h,27km/h,33km/h,22km/h,17km/h
Température du vent,0°,1°,0°,7°,2°,3°,10°,3°,3°,11°,16°,10°,8°,7°,8°,7°,6°,13°,15°,16°,6°,6°,7°,18°,19°,20°,21°,20°,14°,7°
Précipitations,4mm,2mm,0mm,0mm,13mm,0mm,0mm,22mm,2mm,1mm,0mm,4mm,8mm,0mm,0mm,13mm,0mm,,0mm,2mm,0mm,5mm,11mm,9mm,1mm,4mm,2mm,10mm,2mm,0mm
Humidité,89%,80%,83%,66%,84%,75%,70%,90%,92%,98%,94%,94%,91%,77%,75%,98%,67%,74%,72%,86%,60%,76%,96%,87%,92%,86%,93%,94%,57%,67%
Visibilité,8.5km,9.25km,10km,10km,9.125km,10km,10km,7.75km,7.875km,7.75km,9.875km,8.25km,8.125km,10km,10km,7.75km,10km,10km,10km,9.75km,10km,8km,8.875km,9.25km,8.75km,9.625km,8.75km,9.25km,9.875km,10km
Couverture nuageuse,71%,25%,26%,13%,48%,9%,27%,81%,100%,85%,27%,92%,83%,7%,22%,92%,11%,19%,22%,20%,12%,56%,64%,26%,29%,43%,62%,62%,24%,12%
Indice de chaleur,9,10,13,26,20,16,20,9,11,20,28,24,14,25,17,17,18,25,26,28,15,12,24,30,32,30,31,25,21,20
Point de rosée,4°C,3°C,4°C,14°C,16°C,4°C,9°C,7°C,10°C,17°C,19°C,15°C,12°C,11°C,10°C,15°C,7°C,12°C,16°C,18°C,6°C,7°C,18°C,18°C,21°C,19°C,21°C,20°C,9°C,7°C
Pression,1005hPa,1011hPa,1019hPa,1012hPa,1015hPa,1020hPa,1021hPa,1023hPa,1024hPa,1019hPa,1013hPa,1009hPa,1014hPa,1022hPa,1027hPa,1024hPa,1014hPa,1017hPa,1016hPa,1016hPa,1029hPa,1030hPa,1026hPa,1018hPa,1017hPa,1016hPa,1014hPa,1010hPa,1017hPa,1024hPa
Heure du lever du soleil,05:53:00,05:52:00,05:50:00,05:49:00,05:47:00,05:46:00,05:44:00,05:43:00,05:41:00,05:40:00,05:38:00,05:37:00,05:35:00,05:34:00,05:32:00,05:31:00,05:29:00,05:28:00,05:27:00,05:25:00,05:24:00,05:22:00,05:21:00,05:20:00,05:18:00,05:17:00,05:16:00,05:15:00,05:13:00,05:12:00
Heure du coucher du soleil,18:31:00,18:32:00,18:33:00,18:34:00,18:35:00,18:36:00,18:37:00,18:38:00,18:39:00,18:40:00,18:41:00,18:42:00,18:43:00,18:44:00,18:45:00,18:46:00,18:47:00,18:48:00,18:49:00,18:50:00,18:51:00,18:52:00,18:53:00,18:54:00,18:55:00,18:56:00,18:57:00,18:58:00,18:59:00,19:00:00
Durée du jour,12:38:0,12:40:0,12:43:0,12:45:0,12:48:0,12:50:0,12:53:0,12:55:0,12:58:0,13:0:0,13:3:0,13:5:0,13:8:0,13:10:0,13:13:0,13:15:0,13:18:0,13:20:0,13:22:0,13:25:0,13:27:0,13:30:0,13:32:0,13:34:0,13:37:0,13:39:0,13:41:0,13:43:0,13:46:0,13:48:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
