field,2012/08/01,2012/08/02,2012/08/03,2012/08/04,2012/08/05,2012/08/06,2012/08/07,2012/08/08,2012/08/09,2012/08/10,2012/08/11,2012/08/12,2012/08/13,2012/08/14,2012/08/15,2012/08/16,2012/08/17,2012/08/18,2012/08/19,2012/08/20,2012/08/21,2012/08/22,2012/08/23,2012/08/24,2012/08/25,2012/08/26,2012/08/27,2012/08/28,2012/08/29,2012/08/30,2012/08/31
Température maximale,33°,36°,38°,37°,35°,31°,35°,37°,37°,33°,30°,34°,35°,32°,32°,35°,36°,31°,32°,20°,33°,34°,33°,34°,29°,29°,30°,34°,31°,34°,38°
Température minimale,27°,29°,31°,30°,27°,28°,28°,27°,29°,28°,26°,26°,26°,26°,26°,25°,26°,23°,23°,19°,23°,25°,27°,26°,25°,26°,25°,25°,23°,23°,28°
Vitesse du vent,12km/h,9km/h,16km/h,18km/h,29km/h,11km/h,17km/h,5km/h,17km/h,25km/h,23km/h,11km/h,8km/h,21km/h,13km/h,12km/h,20km/h,20km/h,8km/h,19km/h,6km/h,10km/h,15km/h,13km/h,20km/h,19km/h,21km/h,18km/h,15km/h,9km/h,18km/h
Température du vent,24°,26°,28°,28°,26°,26°,26°,26°,27°,26°,24°,24°,24°,24°,24°,23°,24°,22°,21°,18°,20°,23°,25°,24°,22°,24°,23°,24°,22°,21°,26°
Précipitations,1mm,0mm,0mm,3mm,4mm,10mm,0mm,,0mm,2mm,1mm,0mm,0mm,4mm,9mm,0mm,2mm,0mm,0mm,11mm,2mm,1mm,0mm,0mm,7mm,7mm,1mm,0mm,,,
Humidité,76%,78%,70%,73%,80%,81%,82%,85%,72%,73%,87%,73%,66%,83%,82%,72%,61%,83%,72%,91%,84%,73%,77%,71%,84%,86%,87%,83%,76%,80%,80%
Visibilité,9.875km,8.75km,9.625km,8.75km,9.875km,9.375km,9.625km,7.375km,9.875km,9.75km,8.625km,9km,10km,9.5km,9.625km,10km,10km,10km,10km,8km,9km,9.875km,10km,10km,9km,9.75km,7.875km,10km,10km,10km,10km
Couverture nuageuse,20%,44%,49%,36%,41%,58%,54%,49%,16%,49%,39%,21%,23%,34%,48%,11%,23%,32%,20%,92%,31%,14%,6%,16%,63%,45%,41%,25%,31%,39%,16%
Indice de chaleur,33,36,40,39,37,34,37,39,39,34,31,33,34,32,33,32,35,31,30,20,31,31,32,34,29,29,31,33,29,34,39
Point de rosée,22°C,22°C,23°C,23°C,23°C,24°C,23°C,23°C,22°C,22°C,22°C,19°C,19°C,21°C,22°C,18°C,21°C,19°C,16°C,19°C,19°C,18°C,20°C,19°C,21°C,23°C,22°C,21°C,18°C,21°C,23°C
Pression,1013hPa,1012hPa,1017hPa,1020hPa,1021hPa,1019hPa,1016hPa,1015hPa,1014hPa,1010hPa,1014hPa,1015hPa,1017hPa,1014hPa,1012hPa,1015hPa,1013hPa,1012hPa,1015hPa,1016hPa,1019hPa,1021hPa,1021hPa,1020hPa,1022hPa,1024hPa,1022hPa,1014hPa,1017hPa,1020hPa,1019hPa
Heure du lever du soleil,05:10:00,05:11:00,05:11:00,05:12:00,05:13:00,05:14:00,05:15:00,05:16:00,05:17:00,05:18:00,05:19:00,05:20:00,05:21:00,05:21:00,05:22:00,05:23:00,05:24:00,05:25:00,05:26:00,05:27:00,05:28:00,05:29:00,05:30:00,05:31:00,05:31:00,05:32:00,05:33:00,05:34:00,05:35:00,05:36:00,05:37:00
Heure du coucher du soleil,19:19:00,19:18:00,19:17:00,19:16:00,19:15:00,19:14:00,19:12:00,19:11:00,19:10:00,19:09:00,19:07:00,19:06:00,19:05:00,19:04:00,19:02:00,19:01:00,19:00:00,18:58:00,18:57:00,18:55:00,18:54:00,18:53:00,18:51:00,18:50:00,18:48:00,18:47:00,18:45:00,18:44:00,18:42:00,18:41:00,18:39:00
Durée du jour,14:9:0,14:7:0,14:6:0,14:4:0,14:2:0,14:0:0,13:57:0,13:55:0,13:53:0,13:51:0,13:48:0,13:46:0,13:44:0,13:43:0,13:40:0,13:38:0,13:36:0,13:33:0,13:31:0,13:28:0,13:26:0,13:24:0,13:21:0,13:19:0,13:17:0,13:15:0,13:12:0,13:10:0,13:7:0,13:5:0,13:2:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
