field,2016/11/01,2016/11/02,2016/11/03,2016/11/04,2016/11/05,2016/11/06,2016/11/07,2016/11/08,2016/11/09,2016/11/10,2016/11/11,2016/11/12,2016/11/13,2016/11/14,2016/11/15,2016/11/16,2016/11/17,2016/11/18,2016/11/19,2016/11/20,2016/11/21,2016/11/22,2016/11/23,2016/11/24,2016/11/25,2016/11/26,2016/11/27,2016/11/28,2016/11/29,2016/11/30
Température maximale,17°,22°,26°,18°,20°,20°,18°,21°,17°,16°,16°,13°,18°,16°,16°,19°,18°,22°,18°,7°,5°,7°,12°,13°,14°,11°,11°,13°,17°,21°
Température minimale,9°,13°,17°,14°,10°,12°,10°,11°,13°,8°,10°,6°,7°,8°,10°,9°,10°,11°,13°,4°,2°,2°,3°,6°,9°,8°,5°,4°,13°,17°
Vitesse du vent,14km/h,6km/h,20km/h,21km/h,13km/h,17km/h,8km/h,8km/h,19km/h,18km/h,23km/h,13km/h,9km/h,6km/h,12km/h,13km/h,12km/h,6km/h,23km/h,37km/h,28km/h,22km/h,5km/h,8km/h,5km/h,23km/h,18km/h,16km/h,25km/h,22km/h
Température du vent,8°,14°,17°,11°,8°,9°,9°,10°,12°,5°,7°,2°,5°,7°,9°,7°,7°,9°,12°,-2°,-4°,-4°,1°,4°,9°,4°,2°,2°,10°,16°
Humidité,85%,80%,82%,76%,77%,67%,64%,73%,88%,72%,66%,61%,72%,67%,55%,63%,83%,81%,85%,52%,56%,62%,72%,73%,80%,65%,75%,72%,90%,90%
Visibilité,10km,10km,6.625km,10km,10km,10km,10km,10km,9.75km,10km,10km,10km,10km,9km,10km,10km,10km,10km,10km,10km,10km,10km,10km,8.75km,10km,10km,10km,10km,7.625km,6.5km
Couverture nuageuse,68%,9%,75%,16%,0%,18%,0%,20%,99%,34%,23%,4%,0%,53%,61%,24%,0%,0%,15%,12%,0%,0%,24%,68%,89%,52%,12%,60%,100%,100%
Indice de chaleur,16,23,26,18,19,19,18,20,17,15,15,12,17,15,15,18,17,23,17,6,4,6,11,12,13,10,11,12,17,23
Point de rosée,9°C,16°C,17°C,13°C,8°C,9°C,7°C,7°C,11°C,6°C,5°C,2°C,5°C,5°C,7°C,9°C,9°C,13°C,12°C,0°C,,,0°C,8°C,10°C,6°C,1°C,2°C,16°C,18°C
Pression,1027hPa,1025hPa,1020hPa,1025hPa,1027hPa,1026hPa,1032hPa,1027hPa,1015hPa,1020hPa,1019hPa,1030hPa,1025hPa,1020hPa,1014hPa,1014hPa,1021hPa,1022hPa,1018hPa,1012hPa,1018hPa,1026hPa,1028hPa,1024hPa,1024hPa,1023hPa,1024hPa,1023hPa,1018hPa,1012hPa
Heure du lever du soleil,06:36:00,06:37:00,06:38:00,06:39:00,06:40:00,06:41:00,06:42:00,06:44:00,06:45:00,06:46:00,06:47:00,06:48:00,06:49:00,06:50:00,06:51:00,06:52:00,06:54:00,06:55:00,06:56:00,06:57:00,06:58:00,06:59:00,07:00:00,07:01:00,07:02:00,07:03:00,07:04:00,07:05:00,07:06:00,07:07:00
Heure du coucher du soleil,17:07:00,17:06:00,17:05:00,17:04:00,17:03:00,17:02:00,17:01:00,17:00:00,16:59:00,16:58:00,16:57:00,16:56:00,16:55:00,16:55:00,16:54:00,16:53:00,16:52:00,16:52:00,16:51:00,16:51:00,16:50:00,16:49:00,16:49:00,16:48:00,16:48:00,16:48:00,16:47:00,16:47:00,16:47:00,16:46:00
Durée du jour,10:31:0,10:29:0,10:27:0,10:25:0,10:23:0,10:21:0,10:19:0,10:16:0,10:14:0,10:12:0,10:10:0,10:8:0,10:6:0,10:5:0,10:3:0,10:1:0,9:58:0,9:57:0,9:55:0,9:54:0,9:52:0,9:50:0,9:49:0,9:47:0,9:46:0,9:45:0,9:43:0,9:42:0,9:41:0,9:39:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,0mm,2mm,0mm,,,,0mm,4mm,0mm,,,0mm,1mm,1mm,0mm,,0mm,1mm,0mm,,,0mm,2mm,1mm,1mm,0mm,0mm,12mm,7mm
