field,2012/09/01,2012/09/02,2012/09/03,2012/09/04,2012/09/05,2012/09/06,2012/09/07,2012/09/08,2012/09/09,2012/09/10,2012/09/11,2012/09/12,2012/09/13,2012/09/14,2012/09/15,2012/09/16,2012/09/17,2012/09/18,2012/09/19,2012/09/20,2012/09/21,2012/09/22,2012/09/23,2012/09/24,2012/09/25,2012/09/26,2012/09/27,2012/09/28,2012/09/29,2012/09/30
Température maximale,31°,32°,28°,34°,29°,32°,31°,30°,26°,24°,25°,27°,26°,27°,25°,26°,26°,26°,22°,24°,27°,28°,22°,21°,24°,28°,27°,26°,22°,23°
Température minimale,25°,27°,24°,25°,24°,23°,22°,22°,18°,17°,16°,17°,16°,18°,18°,17°,17°,21°,16°,14°,16°,18°,15°,13°,13°,17°,19°,19°,15°,14°
Vitesse du vent,13km/h,14km/h,15km/h,15km/h,18km/h,11km/h,13km/h,26km/h,18km/h,24km/h,9km/h,11km/h,11km/h,13km/h,21km/h,11km/h,17km/h,39km/h,21km/h,13km/h,17km/h,26km/h,18km/h,17km/h,18km/h,21km/h,11km/h,15km/h,18km/h,15km/h
Température du vent,25°,24°,23°,24°,24°,22°,21°,22°,19°,14°,17°,18°,19°,17°,17°,18°,17°,21°,14°,16°,16°,17°,12°,10°,13°,14°,21°,21°,15°,15°
Précipitations,0mm,8mm,19mm,3mm,6mm,8mm,0mm,15mm,0mm,,,,,,,0mm,1mm,22mm,1mm,0mm,0mm,2mm,0mm,,,0mm,9mm,1mm,1mm,3mm
Humidité,74%,87%,91%,93%,86%,98%,97%,95%,86%,79%,81%,76%,85%,97%,73%,71%,81%,93%,85%,86%,84%,91%,84%,73%,73%,79%,87%,91%,89%,87%
Visibilité,10km,9.625km,5.25km,7.375km,9.125km,7.75km,8.5km,8.75km,9km,10km,10km,10km,10km,7.75km,10km,10km,10km,7.625km,9.375km,10km,10km,8.625km,10km,10km,10km,9.875km,9.5km,9.875km,9.875km,9.625km
Couverture nuageuse,38%,61%,82%,70%,57%,53%,29%,49%,11%,14%,2%,0%,0%,30%,18%,11%,34%,86%,14%,0%,5%,16%,3%,9%,9%,25%,34%,36%,29%,25%
Indice de chaleur,39,32,29,35,33,38,38,32,27,25,29,29,30,33,25,26,28,30,25,28,29,31,24,24,25,31,33,29,25,25
Point de rosée,22°C,22°C,24°C,23°C,23°C,22°C,21°C,20°C,15°C,11°C,10°C,13°C,16°C,17°C,15°C,12°C,18°C,21°C,15°C,13°C,15°C,16°C,11°C,6°C,10°C,16°C,17°C,17°C,12°C,10°C
Pression,1017hPa,1019hPa,1018hPa,1017hPa,1011hPa,1012hPa,1013hPa,1010hPa,1015hPa,1021hPa,1027hPa,1028hPa,1028hPa,1025hPa,1023hPa,1021hPa,1020hPa,1015hPa,1022hPa,1021hPa,1018hPa,1014hPa,1021hPa,1024hPa,1023hPa,1019hPa,1020hPa,1017hPa,1016hPa,1013hPa
Heure du lever du soleil,05:38:00,05:39:00,05:40:00,05:40:00,05:41:00,05:42:00,05:43:00,05:44:00,05:45:00,05:46:00,05:47:00,05:47:00,05:48:00,05:49:00,05:50:00,05:51:00,05:52:00,05:53:00,05:54:00,05:55:00,05:55:00,05:56:00,05:57:00,05:58:00,05:59:00,06:00:00,06:01:00,06:02:00,06:03:00,06:04:00
Heure du coucher du soleil,18:38:00,18:36:00,18:34:00,18:33:00,18:31:00,18:30:00,18:28:00,18:27:00,18:25:00,18:23:00,18:22:00,18:20:00,18:19:00,18:17:00,18:15:00,18:14:00,18:12:00,18:11:00,18:09:00,18:07:00,18:06:00,18:04:00,18:03:00,18:01:00,18:00:00,17:58:00,17:56:00,17:55:00,17:53:00,17:52:00
Durée du jour,13:0:0,12:57:0,12:54:0,12:53:0,12:50:0,12:48:0,12:45:0,12:43:0,12:40:0,12:37:0,12:35:0,12:33:0,12:31:0,12:28:0,12:25:0,12:23:0,12:20:0,12:18:0,12:15:0,12:12:0,12:11:0,12:8:0,12:6:0,12:3:0,12:1:0,11:58:0,11:55:0,11:53:0,11:50:0,11:48:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
