field,2012/04/01,2012/04/02,2012/04/03,2012/04/04,2012/04/05,2012/04/06,2012/04/07,2012/04/08,2012/04/09,2012/04/10,2012/04/11,2012/04/12,2012/04/13,2012/04/14,2012/04/15,2012/04/16,2012/04/17,2012/04/18,2012/04/19,2012/04/20,2012/04/21,2012/04/22,2012/04/23,2012/04/24,2012/04/25,2012/04/26,2012/04/27,2012/04/28,2012/04/29,2012/04/30
Température maximale,19°,15°,19°,22°,15°,15°,16°,20°,19°,12°,10°,13°,18°,24°,29°,30°,22°,15°,21°,23°,27°,13°,8°,16°,19°,26°,14°,15°,21°,18°
Température minimale,8°,9°,3°,14°,6°,3°,3°,6°,7°,8°,4°,3°,7°,10°,15°,19°,16°,13°,12°,13°,18°,7°,6°,6°,10°,14°,7°,5°,11°,10°
Vitesse du vent,21km/h,28km/h,13km/h,18km/h,15km/h,26km/h,24km/h,24km/h,30km/h,28km/h,27km/h,21km/h,12km/h,24km/h,21km/h,28km/h,21km/h,13km/h,8km/h,14km/h,21km/h,38km/h,26km/h,25km/h,19km/h,28km/h,28km/h,16km/h,16km/h,17km/h
Température du vent,8°,6°,1°,13°,4°,-1°,-1°,3°,4°,5°,0°,-1°,5°,9°,15°,19°,16°,12°,12°,12°,18°,4°,3°,3°,8°,11°,3°,2°,11°,8°
Précipitations,1mm,3mm,0mm,,,,,0mm,2mm,1mm,1mm,0mm,,0mm,1mm,0mm,0mm,2mm,3mm,0mm,4mm,61mm,3mm,0mm,0mm,18mm,0mm,1mm,3mm,0mm
Humidité,85%,74%,68%,73%,70%,65%,60%,57%,59%,64%,71%,77%,68%,53%,76%,82%,61%,67%,84%,83%,81%,96%,94%,59%,55%,96%,65%,61%,86%,58%
Visibilité,7.75km,10km,10km,10km,10km,10km,10km,10km,9.875km,10km,10km,10km,10km,10km,8.375km,10km,10km,7km,8.75km,10km,9.625km,6km,6.875km,10km,10km,8.625km,10km,8km,10km,10km
Couverture nuageuse,57%,14%,7%,26%,8%,10%,1%,5%,18%,28%,30%,28%,9%,18%,38%,16%,11%,75%,46%,12%,53%,100%,94%,14%,14%,59%,3%,51%,38%,52%
Indice de chaleur,19,15,19,24,15,15,16,20,19,12,10,13,18,24,29,30,23,15,21,25,27,13,8,16,19,26,14,15,24,18
Point de rosée,12°C,12°C,6°C,11°C,5°C,0°C,0°C,7°C,7°C,6°C,1°C,0°C,4°C,10°C,16°C,17°C,13°C,9°C,11°C,14°C,16°C,11°C,7°C,1°C,4°C,17°C,4°C,6°C,10°C,10°C
Pression,1013hPa,1016hPa,1019hPa,1008hPa,1015hPa,1021hPa,1024hPa,1021hPa,1015hPa,1013hPa,1016hPa,1022hPa,1025hPa,1025hPa,1019hPa,1018hPa,1025hPa,1026hPa,1021hPa,1017hPa,1010hPa,1010hPa,998hPa,1009hPa,1012hPa,1012hPa,1019hPa,1026hPa,1025hPa,1027hPa
Heure du lever du soleil,05:52:00,05:51:00,05:49:00,05:48:00,05:46:00,05:45:00,05:43:00,05:42:00,05:40:00,05:39:00,05:37:00,05:36:00,05:34:00,05:33:00,05:31:00,05:30:00,05:28:00,05:27:00,05:26:00,05:24:00,05:23:00,05:21:00,05:20:00,05:19:00,05:17:00,05:16:00,05:15:00,05:14:00,05:12:00,05:11:00
Heure du coucher du soleil,18:32:00,18:33:00,18:34:00,18:35:00,18:36:00,18:37:00,18:38:00,18:39:00,18:40:00,18:41:00,18:42:00,18:43:00,18:44:00,18:45:00,18:46:00,18:47:00,18:48:00,18:49:00,18:50:00,18:51:00,18:51:00,18:52:00,18:53:00,18:54:00,18:55:00,18:56:00,18:57:00,18:58:00,18:59:00,19:00:00
Durée du jour,12:40:0,12:42:0,12:45:0,12:47:0,12:50:0,12:52:0,12:55:0,12:57:0,13:0:0,13:2:0,13:5:0,13:7:0,13:10:0,13:12:0,13:15:0,13:17:0,13:20:0,13:22:0,13:24:0,13:27:0,13:28:0,13:31:0,13:33:0,13:35:0,13:38:0,13:40:0,13:42:0,13:44:0,13:47:0,13:49:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
