field,2013/08/01,2013/08/02,2013/08/03,2013/08/04,2013/08/05,2013/08/06,2013/08/07,2013/08/08,2013/08/09,2013/08/10,2013/08/11,2013/08/12,2013/08/13,2013/08/14,2013/08/15,2013/08/16,2013/08/17,2013/08/18,2013/08/19,2013/08/20,2013/08/21,2013/08/22,2013/08/23,2013/08/24,2013/08/25,2013/08/26,2013/08/27,2013/08/28,2013/08/29,2013/08/30,2013/08/31
Température maximale,29°,32°,33°,28°,30°,27°,28°,29°,31°,34°,32°,36°,32°,27°,32°,29°,27°,23°,28°,34°,32°,35°,31°,30°,29°,31°,33°,33°,31°,33°,33°
Température minimale,24°,25°,27°,23°,25°,23°,23°,26°,27°,28°,28°,28°,28°,19°,23°,24°,23°,18°,19°,22°,24°,25°,23°,19°,20°,17°,21°,25°,23°,23°,22°
Vitesse du vent,19km/h,19km/h,17km/h,26km/h,10km/h,16km/h,20km/h,20km/h,22km/h,12km/h,14km/h,9km/h,18km/h,23km/h,9km/h,13km/h,19km/h,14km/h,10km/h,7km/h,12km/h,11km/h,13km/h,12km/h,11km/h,11km/h,12km/h,14km/h,17km/h,14km/h,15km/h
Température du vent,23°,23°,24°,22°,23°,22°,22°,24°,26°,26°,25°,25°,26°,18°,21°,22°,21°,18°,19°,22°,24°,25°,23°,19°,20°,17°,21°,25°,23°,23°,22°
Précipitations,12mm,0mm,7mm,0mm,0mm,4mm,11mm,10mm,6mm,0mm,5mm,0mm,15mm,1mm,0mm,,0mm,28mm,1mm,1mm,1mm,3mm,1mm,0mm,,0mm,4mm,1mm,1mm,0mm,5mm
Humidité,86%,76%,64%,61%,57%,77%,89%,87%,84%,72%,68%,85%,77%,62%,59%,62%,67%,97%,89%,92%,89%,93%,88%,78%,92%,78%,84%,92%,92%,95%,87%
Visibilité,9.25km,10km,9.5km,10km,10km,9.875km,9.5km,9.625km,9.875km,10km,9.75km,9km,8.875km,10km,10km,10km,10km,6.5km,7.625km,7.5km,8km,8.625km,10km,9km,8.75km,10km,9.75km,8.875km,7.625km,6.5km,9.5km
Couverture nuageuse,70%,19%,50%,33%,19%,59%,65%,61%,42%,30%,37%,48%,40%,28%,2%,6%,36%,62%,48%,37%,15%,36%,44%,2%,27%,18%,40%,29%,43%,42%,22%
Indice de chaleur,30,31,32,27,27,27,29,30,33,33,32,37,32,25,29,27,26,25,32,40,36,39,33,31,30,34,39,37,35,39,39
Point de rosée,24°C,18°C,20°C,18°C,14°C,20°C,22°C,24°C,24°C,22°C,23°C,23°C,23°C,13°C,14°C,15°C,16°C,19°C,24°C,25°C,24°C,23°C,20°C,19°C,19°C,19°C,25°C,24°C,22°C,24°C,24°C
Pression,1016hPa,1015hPa,1015hPa,1017hPa,1019hPa,1018hPa,1018hPa,1018hPa,1015hPa,1018hPa,1018hPa,1016hPa,1011hPa,1019hPa,1023hPa,1023hPa,1024hPa,1023hPa,1021hPa,1021hPa,1022hPa,1018hPa,1019hPa,1026hPa,1029hPa,1025hPa,1015hPa,1012hPa,1016hPa,1017hPa,1012hPa
Heure du lever du soleil,05:09:00,05:10:00,05:11:00,05:12:00,05:13:00,05:14:00,05:15:00,05:16:00,05:17:00,05:18:00,05:19:00,05:19:00,05:20:00,05:21:00,05:22:00,05:23:00,05:24:00,05:25:00,05:26:00,05:27:00,05:28:00,05:29:00,05:29:00,05:30:00,05:31:00,05:32:00,05:33:00,05:34:00,05:35:00,05:36:00,05:37:00
Heure du coucher du soleil,19:19:00,19:18:00,19:17:00,19:16:00,19:15:00,19:14:00,19:13:00,19:11:00,19:10:00,19:09:00,19:08:00,19:07:00,19:05:00,19:04:00,19:03:00,19:01:00,19:00:00,18:59:00,18:57:00,18:56:00,18:54:00,18:53:00,18:51:00,18:50:00,18:49:00,18:47:00,18:46:00,18:44:00,18:43:00,18:41:00,18:39:00
Durée du jour,14:10:0,14:8:0,14:6:0,14:4:0,14:2:0,14:0:0,13:58:0,13:55:0,13:53:0,13:51:0,13:49:0,13:48:0,13:45:0,13:43:0,13:41:0,13:38:0,13:36:0,13:34:0,13:31:0,13:29:0,13:26:0,13:24:0,13:22:0,13:20:0,13:18:0,13:15:0,13:13:0,13:10:0,13:8:0,13:5:0,13:2:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
