field,2011/05/01,2011/05/02,2011/05/03,2011/05/04,2011/05/05,2011/05/06,2011/05/07,2011/05/08,2011/05/09,2011/05/10,2011/05/11,2011/05/12,2011/05/13,2011/05/14,2011/05/15,2011/05/16,2011/05/17,2011/05/18,2011/05/19,2011/05/20,2011/05/21,2011/05/22,2011/05/23,2011/05/24,2011/05/25,2011/05/26,2011/05/27,2011/05/28,2011/05/29,2011/05/30,2011/05/31
Température maximale,22°,25°,29°,16°,18°,21°,22°,23°,23°,24°,27°,23°,23°,20°,25°,24°,20°,21°,22°,23°,27°,29°,26°,30°,30°,33°,30°,28°,32°,37°,37°
Température minimale,14°,14°,20°,8°,8°,13°,13°,14°,14°,14°,15°,15°,15°,13°,14°,15°,16°,16°,18°,15°,16°,20°,18°,21°,18°,21°,23°,21°,21°,24°,27°
Vitesse du vent,17km/h,18km/h,27km/h,22km/h,27km/h,23km/h,15km/h,12km/h,18km/h,10km/h,12km/h,15km/h,16km/h,23km/h,17km/h,14km/h,19km/h,16km/h,7km/h,18km/h,12km/h,18km/h,23km/h,19km/h,13km/h,26km/h,20km/h,20km/h,18km/h,13km/h,10km/h
Température du vent,13°,13°,20°,5°,5°,12°,13°,13°,13°,13°,14°,15°,15°,12°,13°,15°,16°,16°,18°,15°,16°,20°,18°,21°,18°,21°,23°,21°,21°,24°,27°
Précipitations,1mm,0mm,4mm,14mm,0mm,1mm,1mm,1mm,0mm,,,0mm,1mm,12mm,5mm,2mm,28mm,3mm,8mm,1mm,0mm,2mm,10mm,2mm,0mm,0mm,4mm,1mm,0mm,0mm,3mm
Humidité,62%,73%,75%,95%,68%,56%,63%,84%,67%,60%,74%,83%,89%,96%,97%,88%,95%,95%,95%,91%,78%,78%,93%,89%,81%,95%,76%,90%,90%,89%,74%
Visibilité,9.375km,10km,9.625km,9km,10km,9km,10km,9.375km,10km,10km,9km,9km,8km,6.25km,7.375km,9.875km,8.5km,8.75km,9.5km,9.75km,10km,9.875km,9.125km,9.875km,10km,9.875km,9.875km,9km,10km,10km,8.25km
Couverture nuageuse,30%,28%,24%,53%,8%,13%,21%,22%,8%,12%,18%,16%,89%,100%,69%,43%,76%,35%,45%,17%,11%,30%,49%,12%,14%,18%,18%,27%,26%,7%,25%
Indice de chaleur,24,26,30,16,18,24,24,25,24,25,27,25,25,20,27,26,20,24,25,25,28,29,28,31,30,35,33,29,36,43,43
Point de rosée,10°C,18°C,19°C,10°C,8°C,10°C,11°C,12°C,11°C,10°C,14°C,16°C,16°C,19°C,20°C,17°C,18°C,17°C,17°C,15°C,17°C,19°C,21°C,20°C,19°C,23°C,22°C,21°C,22°C,23°C,26°C
Pression,1026hPa,1024hPa,1018hPa,1022hPa,1023hPa,1018hPa,1014hPa,1014hPa,1017hPa,1018hPa,1020hPa,1020hPa,1015hPa,1012hPa,1009hPa,1006hPa,1008hPa,1012hPa,1017hPa,1018hPa,1016hPa,1018hPa,1016hPa,1013hPa,1015hPa,1013hPa,1014hPa,1017hPa,1020hPa,1021hPa,1023hPa
Heure du lever du soleil,05:11:00,05:10:00,05:08:00,05:07:00,05:06:00,05:05:00,05:04:00,05:03:00,05:02:00,05:01:00,05:00:00,04:59:00,04:58:00,04:57:00,04:56:00,04:55:00,04:54:00,04:53:00,04:52:00,04:52:00,04:51:00,04:50:00,04:50:00,04:49:00,04:48:00,04:48:00,04:47:00,04:46:00,04:46:00,04:45:00,04:45:00
Heure du coucher du soleil,19:01:00,19:01:00,19:02:00,19:03:00,19:04:00,19:05:00,19:06:00,19:07:00,19:08:00,19:09:00,19:10:00,19:11:00,19:12:00,19:13:00,19:14:00,19:15:00,19:16:00,19:17:00,19:17:00,19:18:00,19:19:00,19:20:00,19:21:00,19:22:00,19:23:00,19:23:00,19:24:00,19:25:00,19:26:00,19:26:00,19:27:00
Durée du jour,13:50:0,13:51:0,13:54:0,13:56:0,13:58:0,14:0:0,14:2:0,14:4:0,14:6:0,14:8:0,14:10:0,14:12:0,14:14:0,14:16:0,14:18:0,14:20:0,14:22:0,14:24:0,14:25:0,14:26:0,14:28:0,14:30:0,14:31:0,14:33:0,14:35:0,14:35:0,14:37:0,14:39:0,14:40:0,14:41:0,14:42:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
