field,2015/09/01,2015/09/02,2015/09/03,2015/09/04,2015/09/05,2015/09/06,2015/09/07,2015/09/08,2015/09/09,2015/09/10,2015/09/11,2015/09/12,2015/09/13,2015/09/14,2015/09/15,2015/09/16,2015/09/17,2015/09/18,2015/09/19,2015/09/20,2015/09/21,2015/09/22,2015/09/23,2015/09/24,2015/09/25,2015/09/26,2015/09/27,2015/09/28,2015/09/29,2015/09/30
Température maximale,38°,35°,35°,35°,33°,33°,36°,36°,36°,26°,32°,26°,23°,26°,32°,35°,34°,34°,32°,24°,21°,28°,28°,27°,26°,23°,26°,28°,28°,30°
Température minimale,29°,27°,29°,28°,24°,22°,26°,28°,29°,20°,23°,21°,19°,17°,19°,21°,24°,20°,19°,21°,18°,18°,21°,19°,19°,20°,18°,21°,21°,24°
Vitesse du vent,6km/h,8km/h,10km/h,13km/h,14km/h,10km/h,8km/h,15km/h,14km/h,22km/h,17km/h,15km/h,22km/h,19km/h,8km/h,5km/h,8km/h,7km/h,14km/h,23km/h,15km/h,16km/h,14km/h,18km/h,22km/h,23km/h,21km/h,18km/h,13km/h,14km/h
Température du vent,27°,26°,28°,26°,23°,20°,23°,26°,27°,20°,21°,20°,17°,15°,18°,20°,22°,18°,18°,20°,18°,17°,20°,16°,18°,19°,17°,20°,21°,24°
Humidité,82%,74%,68%,77%,85%,93%,82%,82%,80%,92%,77%,79%,75%,65%,67%,79%,77%,89%,94%,68%,89%,78%,76%,78%,81%,77%,85%,91%,97%,96%
Visibilité,10km,9.75km,9.375km,9.75km,10km,9km,10km,10km,10km,9km,10km,9.25km,10km,10km,10km,10km,10km,10km,7.75km,10km,7.25km,10km,10km,10km,10km,9.875km,10km,10km,6.375km,9.625km
Couverture nuageuse,13%,58%,35%,54%,48%,19%,21%,0%,23%,83%,30%,77%,49%,0%,4%,2%,1%,4%,35%,53%,100%,52%,71%,71%,95%,100%,91%,88%,89%,100%
Indice de chaleur,45,40,44,38,34,33,42,39,41,28,36,27,24,26,31,37,34,34,36,25,20,27,26,26,26,25,27,30,31,33
Point de rosée,24°C,24°C,23°C,23°C,21°C,20°C,25°C,25°C,23°C,23°C,22°C,19°C,15°C,13°C,14°C,19°C,19°C,20°C,24°C,20°C,18°C,17°C,15°C,15°C,17°C,17°C,20°C,22°C,23°C,23°C
Pression,1018hPa,1017hPa,1013hPa,1020hPa,1024hPa,1023hPa,1021hPa,1018hPa,1014hPa,1010hPa,1009hPa,1009hPa,1016hPa,1024hPa,1029hPa,1028hPa,1023hPa,1018hPa,1015hPa,1018hPa,1021hPa,1023hPa,1025hPa,1026hPa,1026hPa,1028hPa,1027hPa,1023hPa,1018hPa,1010hPa
Heure du lever du soleil,05:37:00,05:38:00,05:39:00,05:40:00,05:41:00,05:42:00,05:42:00,05:43:00,05:44:00,05:45:00,05:46:00,05:47:00,05:48:00,05:49:00,05:50:00,05:50:00,05:51:00,05:52:00,05:53:00,05:54:00,05:55:00,05:56:00,05:57:00,05:57:00,05:58:00,05:59:00,06:00:00,06:01:00,06:02:00,06:03:00
Heure du coucher du soleil,18:39:00,18:37:00,18:36:00,18:34:00,18:32:00,18:31:00,18:29:00,18:28:00,18:26:00,18:25:00,18:23:00,18:21:00,18:20:00,18:18:00,18:17:00,18:15:00,18:13:00,18:12:00,18:10:00,18:09:00,18:07:00,18:05:00,18:04:00,18:02:00,18:01:00,17:59:00,17:58:00,17:56:00,17:55:00,17:53:00
Durée du jour,13:2:0,12:59:0,12:57:0,12:54:0,12:51:0,12:49:0,12:47:0,12:45:0,12:42:0,12:40:0,12:37:0,12:34:0,12:32:0,12:29:0,12:27:0,12:25:0,12:22:0,12:20:0,12:17:0,12:15:0,12:12:0,12:9:0,12:7:0,12:5:0,12:3:0,12:0:0,11:58:0,11:55:0,11:53:0,11:50:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,0mm,3mm,1mm,1mm,0mm,,0mm,2mm,17mm,1mm,9mm,0mm,,,,,,,0mm,13mm,1mm,0mm,,0mm,3mm,0mm,3mm,3mm,7mm
