field,2011/09/01,2011/09/02,2011/09/03,2011/09/04,2011/09/05,2011/09/06,2011/09/07,2011/09/08,2011/09/09,2011/09/10,2011/09/11,2011/09/12,2011/09/13,2011/09/14,2011/09/15,2011/09/16,2011/09/17,2011/09/18,2011/09/19,2011/09/20,2011/09/21,2011/09/22,2011/09/23,2011/09/24,2011/09/25,2011/09/26,2011/09/27,2011/09/28,2011/09/29,2011/09/30
Température maximale,28°,27°,30°,32°,24°,19°,26°,25°,26°,28°,25°,28°,28°,31°,27°,18°,21°,16°,22°,23°,24°,25°,22°,25°,24°,25°,24°,23°,23°,26°
Température minimale,20°,20°,20°,22°,23°,16°,22°,23°,20°,19°,21°,20°,20°,21°,18°,10°,14°,14°,15°,18°,19°,21°,21°,17°,21°,20°,21°,20°,20°,17°
Vitesse du vent,14km/h,19km/h,15km/h,20km/h,11km/h,22km/h,19km/h,12km/h,7km/h,12km/h,13km/h,7km/h,14km/h,8km/h,31km/h,12km/h,16km/h,17km/h,14km/h,13km/h,15km/h,10km/h,11km/h,10km/h,11km/h,13km/h,12km/h,15km/h,16km/h,21km/h
Température du vent,20°,20°,20°,22°,23°,16°,22°,23°,20°,19°,21°,20°,20°,21°,18°,8°,13°,12°,15°,18°,19°,21°,21°,17°,21°,20°,21°,20°,20°,17°
Précipitations,1mm,5mm,0mm,3mm,39mm,56mm,17mm,24mm,1mm,1mm,3mm,1mm,0mm,2mm,2mm,0mm,,,0mm,6mm,9mm,36mm,9mm,2mm,2mm,0mm,8mm,12mm,6mm,0mm
Humidité,72%,78%,73%,82%,91%,92%,100%,98%,96%,97%,91%,90%,78%,74%,83%,66%,79%,85%,88%,92%,91%,99%,96%,95%,97%,99%,95%,99%,95%,73%
Visibilité,9.875km,8.625km,10km,10km,7.75km,6.25km,9.125km,7.875km,7km,5.625km,9.75km,10km,10km,10km,10km,10km,8.75km,9km,8.75km,8km,8.5km,8.125km,7.125km,8km,4km,5.25km,6.5km,5.75km,7.625km,10km
Couverture nuageuse,10%,55%,26%,18%,89%,100%,77%,64%,69%,46%,32%,26%,6%,17%,26%,16%,34%,70%,31%,63%,65%,62%,92%,74%,91%,62%,54%,74%,33%,25%
Indice de chaleur,29,27,33,37,26,19,30,28,28,29,27,28,29,32,28,18,21,16,25,25,26,27,24,26,27,28,27,25,25,27
Point de rosée,18°C,19°C,20°C,23°C,22°C,17°C,24°C,23°C,22°C,20°C,21°C,19°C,19°C,20°C,20°C,8°C,13°C,14°C,15°C,20°C,21°C,22°C,21°C,21°C,22°C,22°C,22°C,22°C,19°C,15°C
Pression,1022hPa,1018hPa,1016hPa,1013hPa,1010hPa,1017hPa,1015hPa,1013hPa,1013hPa,1015hPa,1017hPa,1018hPa,1016hPa,1015hPa,1023hPa,1028hPa,1029hPa,1029hPa,1026hPa,1020hPa,1021hPa,1019hPa,1018hPa,1017hPa,1017hPa,1016hPa,1013hPa,1013hPa,1008hPa,1007hPa
Heure du lever du soleil,05:37:00,05:38:00,05:39:00,05:40:00,05:41:00,05:42:00,05:42:00,05:43:00,05:44:00,05:45:00,05:46:00,05:47:00,05:48:00,05:49:00,05:49:00,05:50:00,05:51:00,05:52:00,05:53:00,05:54:00,05:55:00,05:56:00,05:57:00,05:57:00,05:58:00,05:59:00,06:00:00,06:01:00,06:02:00,06:03:00
Heure du coucher du soleil,18:39:00,18:37:00,18:36:00,18:34:00,18:33:00,18:31:00,18:29:00,18:28:00,18:26:00,18:25:00,18:23:00,18:21:00,18:20:00,18:18:00,18:17:00,18:15:00,18:13:00,18:12:00,18:10:00,18:09:00,18:07:00,18:06:00,18:04:00,18:02:00,18:01:00,17:59:00,17:58:00,17:56:00,17:55:00,17:53:00
Durée du jour,13:2:0,12:59:0,12:57:0,12:54:0,12:52:0,12:49:0,12:47:0,12:45:0,12:42:0,12:40:0,12:37:0,12:34:0,12:32:0,12:29:0,12:28:0,12:25:0,12:22:0,12:20:0,12:17:0,12:15:0,12:12:0,12:10:0,12:7:0,12:5:0,12:3:0,12:0:0,11:58:0,11:55:0,11:53:0,11:50:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
