field,2014/06/01,2014/06/02,2014/06/03,2014/06/04,2014/06/05,2014/06/06,2014/06/07,2014/06/08,2014/06/09,2014/06/10,2014/06/11,2014/06/12,2014/06/13,2014/06/14,2014/06/15,2014/06/16,2014/06/17,2014/06/18,2014/06/19,2014/06/20,2014/06/21,2014/06/22,2014/06/23,2014/06/24,2014/06/25,2014/06/26,2014/06/27,2014/06/28,2014/06/29,2014/06/30
Température maximale,27°,28°,31°,32°,29°,28°,30°,29°,30°,34°,30°,29°,31°,28°,33°,35°,36°,35°,33°,31°,26°,29°,28°,30°,32°,32°,30°,29°,29°,32°
Température minimale,10°,10°,15°,18°,18°,13°,14°,15°,18°,18°,20°,21°,20°,16°,15°,17°,21°,22°,22°,17°,18°,16°,15°,16°,20°,20°,19°,17°,16°,17°
Vitesse du vent,14km/h,15km/h,9km/h,12km/h,21km/h,12km/h,6km/h,18km/h,13km/h,4km/h,19km/h,15km/h,8km/h,21km/h,8km/h,10km/h,9km/h,14km/h,15km/h,10km/h,13km/h,11km/h,17km/h,19km/h,17km/h,15km/h,13km/h,16km/h,13km/h,14km/h
Température du vent,9°,8°,15°,18°,18°,12°,14°,15°,18°,18°,20°,21°,20°,16°,14°,17°,21°,22°,22°,17°,18°,16°,15°,16°,20°,20°,19°,17°,16°,17°
Humidité,98%,82%,87%,97%,99%,82%,89%,96%,99%,100%,96%,98%,99%,96%,90%,94%,92%,81%,89%,95%,74%,94%,96%,96%,100%,98%,90%,95%,91%,83%
Visibilité,7.5km,10km,8.625km,9km,9.75km,10km,10km,8.625km,8.125km,9.375km,7.375km,8.375km,7.5km,10km,10km,9.625km,9.875km,10km,7.625km,7.625km,9.875km,8km,8km,9km,6.75km,10km,8.625km,8km,10km,10km
Couverture nuageuse,27%,19%,17%,21%,34%,11%,7%,33%,60%,45%,36%,77%,56%,7%,0%,15%,15%,15%,36%,23%,52%,22%,9%,18%,56%,17%,26%,6%,16%,43%
Indice de chaleur,27,29,38,35,30,35,32,32,36,43,37,35,38,29,37,43,47,44,41,32,28,32,29,34,38,37,34,30,30,37
Point de rosée,18°C,19°C,26°C,21°C,20°C,21°C,20°C,23°C,25°C,26°C,27°C,26°C,26°C,18°C,22°C,25°C,25°C,25°C,27°C,19°C,18°C,21°C,19°C,22°C,24°C,23°C,23°C,19°C,18°C,22°C
Pression,1027hPa,1026hPa,1017hPa,1012hPa,1011hPa,1015hPa,1017hPa,1016hPa,1013hPa,1013hPa,1014hPa,1013hPa,1010hPa,1018hPa,1022hPa,1020hPa,1019hPa,1016hPa,1015hPa,1017hPa,1014hPa,1016hPa,1020hPa,1020hPa,1015hPa,1014hPa,1022hPa,1025hPa,1024hPa,1019hPa
Heure du lever du soleil,04:45:00,04:44:00,04:44:00,04:43:00,04:43:00,04:43:00,04:43:00,04:43:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:43:00,04:43:00,04:43:00,04:43:00,04:44:00,04:44:00,04:44:00,04:45:00,04:45:00,04:45:00,04:46:00
Heure du coucher du soleil,19:28:00,19:29:00,19:29:00,19:30:00,19:31:00,19:31:00,19:32:00,19:32:00,19:33:00,19:33:00,19:34:00,19:34:00,19:35:00,19:35:00,19:36:00,19:36:00,19:36:00,19:37:00,19:37:00,19:37:00,19:37:00,19:37:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00
Durée du jour,14:43:0,14:45:0,14:45:0,14:47:0,14:48:0,14:48:0,14:49:0,14:49:0,14:51:0,14:51:0,14:52:0,14:52:0,14:53:0,14:53:0,14:54:0,14:54:0,14:54:0,14:55:0,14:55:0,14:54:0,14:54:0,14:54:0,14:55:0,14:54:0,14:54:0,14:54:0,14:53:0,14:53:0,14:53:0,14:52:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,0mm,6mm,2mm,2mm,0mm,0mm,4mm,9mm,8mm,7mm,11mm,11mm,0mm,0mm,8mm,1mm,1mm,6mm,1mm,1mm,0mm,,0mm,8mm,0mm,1mm,0mm,0mm,1mm
