field,2016/10/01,2016/10/02,2016/10/03,2016/10/04,2016/10/05,2016/10/06,2016/10/07,2016/10/08,2016/10/09,2016/10/10,2016/10/11,2016/10/12,2016/10/13,2016/10/14,2016/10/15,2016/10/16,2016/10/17,2016/10/18,2016/10/19,2016/10/20,2016/10/21,2016/10/22,2016/10/23,2016/10/24,2016/10/25,2016/10/26,2016/10/27,2016/10/28,2016/10/29,2016/10/30,2016/10/31
Température maximale,23°,24°,22°,21°,20°,25°,20°,21°,19°,17°,19°,21°,23°,18°,18°,21°,25°,27°,27°,25°,22°,15°,19°,19°,15°,14°,19°,15°,23°,27°,19°
Température minimale,20°,19°,17°,16°,17°,16°,17°,19°,13°,9°,11°,13°,15°,10°,12°,14°,18°,19°,21°,21°,12°,12°,11°,14°,9°,7°,13°,10°,12°,18°,13°
Vitesse du vent,12km/h,8km/h,12km/h,13km/h,13km/h,10km/h,11km/h,10km/h,24km/h,21km/h,8km/h,9km/h,15km/h,13km/h,12km/h,11km/h,12km/h,14km/h,10km/h,15km/h,25km/h,33km/h,22km/h,22km/h,22km/h,7km/h,24km/h,23km/h,16km/h,16km/h,17km/h
Température du vent,20°,18°,17°,16°,17°,15°,16°,19°,11°,7°,9°,13°,14°,7°,12°,14°,18°,20°,22°,21°,11°,8°,8°,13°,7°,6°,11°,6°,11°,17°,10°
Précipitations,4mm,1mm,2mm,0mm,,,0mm,6mm,0mm,,,0mm,1mm,0mm,,,,,0mm,1mm,6mm,1mm,0mm,,,0mm,1mm,0mm,0mm,1mm,0mm
Humidité,94%,92%,86%,89%,89%,89%,86%,95%,67%,67%,69%,91%,88%,73%,84%,88%,84%,79%,73%,88%,90%,64%,67%,66%,59%,67%,73%,69%,78%,69%,70%
Visibilité,9km,4.875km,6.625km,7.5km,6.375km,6.375km,9km,7.5km,10km,10km,10km,6km,5.875km,10km,9km,6.625km,9km,10km,10km,9.875km,9.75km,9km,10km,10km,10km,10km,10km,10km,10km,10km,10km
Couverture nuageuse,100%,78%,31%,26%,27%,38%,49%,79%,3%,1%,33%,72%,59%,27%,20%,38%,34%,1%,0%,11%,79%,51%,0%,3%,16%,19%,50%,30%,2%,54%,29%
Indice de chaleur,24,25,23,22,20,26,21,23,18,17,18,19,25,16,19,21,26,29,29,27,23,14,18,18,14,13,18,16,25,27,21
Point de rosée,22°C,20°C,20°C,15°C,18°C,18°C,17°C,20°C,15°C,8°C,9°C,14°C,15°C,10°C,11°C,15°C,18°C,18°C,21°C,21°C,19°C,8°C,7°C,7°C,4°C,4°C,13°C,12°C,15°C,16°C,14°C
Pression,1020hPa,1018hPa,1018hPa,1024hPa,1026hPa,1026hPa,1025hPa,1021hPa,1025hPa,1029hPa,1030hPa,1027hPa,1022hPa,1028hPa,1030hPa,1027hPa,1019hPa,1014hPa,1016hPa,1017hPa,1012hPa,1011hPa,1017hPa,1023hPa,1028hPa,1032hPa,1029hPa,1026hPa,1026hPa,1016hPa,1025hPa
Heure du lever du soleil,07:05:00,07:06:00,07:07:00,07:07:00,07:08:00,07:09:00,07:10:00,07:11:00,07:12:00,07:13:00,07:14:00,07:15:00,07:16:00,07:17:00,07:18:00,07:19:00,07:20:00,07:21:00,07:22:00,07:23:00,07:24:00,07:26:00,07:27:00,07:28:00,07:29:00,07:30:00,07:31:00,07:32:00,07:33:00,07:34:00,07:35:00
Heure du coucher du soleil,18:50:00,18:48:00,18:47:00,18:45:00,18:44:00,18:42:00,18:41:00,18:39:00,18:38:00,18:36:00,18:35:00,18:33:00,18:32:00,18:30:00,18:29:00,18:27:00,18:26:00,18:24:00,18:23:00,18:22:00,18:20:00,18:19:00,18:18:00,18:16:00,18:15:00,18:14:00,18:13:00,18:12:00,18:10:00,18:09:00,18:08:00
Durée du jour,11:45:0,11:42:0,11:40:0,11:38:0,11:36:0,11:33:0,11:31:0,11:28:0,11:26:0,11:23:0,11:21:0,11:18:0,11:16:0,11:13:0,11:11:0,11:8:0,11:6:0,11:3:0,11:1:0,10:59:0,10:56:0,10:53:0,10:51:0,10:48:0,10:46:0,10:44:0,10:42:0,10:40:0,10:37:0,10:35:0,10:33:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
