field,2016/05/01,2016/05/02,2016/05/03,2016/05/04,2016/05/05,2016/05/06,2016/05/07,2016/05/08,2016/05/09,2016/05/10,2016/05/11,2016/05/12,2016/05/13,2016/05/14,2016/05/15,2016/05/16,2016/05/17,2016/05/18,2016/05/19,2016/05/20,2016/05/21,2016/05/22,2016/05/23,2016/05/24,2016/05/25,2016/05/26,2016/05/27,2016/05/28,2016/05/29,2016/05/30,2016/05/31
Température maximale,19°,26°,21°,16°,15°,13°,21°,21°,18°,17°,19°,21°,22°,23°,16°,20°,15°,16°,18°,24°,17°,15°,19°,28°,27°,28°,28°,28°,25°,25°,28°
Température minimale,12°,16°,17°,14°,13°,10°,13°,16°,14°,14°,12°,17°,17°,15°,9°,10°,12°,13°,15°,14°,12°,10°,15°,18°,19°,20°,21°,22°,20°,21°,20°
Vitesse du vent,15km/h,14km/h,11km/h,12km/h,12km/h,14km/h,13km/h,29km/h,12km/h,15km/h,13km/h,13km/h,19km/h,24km/h,30km/h,26km/h,14km/h,13km/h,7km/h,13km/h,25km/h,10km/h,12km/h,17km/h,12km/h,15km/h,11km/h,19km/h,19km/h,8km/h,8km/h
Température du vent,10°,15°,17°,13°,10°,10°,10°,16°,14°,12°,11°,17°,16°,16°,5°,7°,13°,12°,15°,15°,10°,10°,15°,16°,20°,21°,22°,23°,19°,22°,20°
Précipitations,8mm,10mm,7mm,6mm,1mm,17mm,2mm,0mm,8mm,15mm,24mm,3mm,5mm,3mm,0mm,0mm,9mm,6mm,1mm,0mm,45mm,7mm,3mm,1mm,0mm,5mm,1mm,0mm,9mm,16mm,1mm
Humidité,93%,95%,94%,96%,92%,95%,90%,78%,88%,96%,98%,91%,94%,80%,68%,60%,94%,96%,87%,80%,95%,94%,95%,79%,69%,70%,74%,68%,92%,96%,96%
Visibilité,8.375km,9.5km,7.375km,6.375km,8km,5.5km,7.625km,10km,9.25km,9km,6.625km,7km,8.625km,9.5km,10km,10km,5.625km,5.375km,10km,9km,7.25km,7.625km,6.5km,10km,10km,10km,10km,10km,8.625km,4.75km,6.5km
Couverture nuageuse,100%,85%,100%,93%,100%,100%,87%,25%,86%,92%,100%,91%,69%,48%,1%,45%,100%,100%,65%,37%,100%,100%,83%,14%,0%,36%,3%,10%,55%,100%,39%
Indice de chaleur,18,27,20,17,15,13,20,20,17,17,18,22,24,25,15,19,15,17,19,25,17,14,20,26,28,29,30,30,26,27,29
Point de rosée,16°C,18°C,17°C,13°C,11°C,13°C,14°C,12°C,15°C,15°C,15°C,20°C,19°C,16°C,7°C,6°C,13°C,12°C,14°C,11°C,12°C,15°C,16°C,17°C,16°C,18°C,20°C,22°C,22°C,22°C,21°C
Pression,1021hPa,1014hPa,1010hPa,1008hPa,1006hPa,1008hPa,1009hPa,1016hPa,1021hPa,1022hPa,1021hPa,1020hPa,1013hPa,1011hPa,1020hPa,1022hPa,1024hPa,1020hPa,1021hPa,1024hPa,1020hPa,1013hPa,1015hPa,1018hPa,1021hPa,1020hPa,1018hPa,1021hPa,1021hPa,1017hPa,1016hPa
Heure du lever du soleil,06:10:00,06:08:00,06:07:00,06:06:00,06:05:00,06:04:00,06:03:00,06:02:00,06:01:00,06:00:00,05:59:00,05:58:00,05:57:00,05:56:00,05:55:00,05:54:00,05:54:00,05:53:00,05:52:00,05:51:00,05:51:00,05:50:00,05:49:00,05:49:00,05:48:00,05:47:00,05:47:00,05:46:00,05:46:00,05:45:00,05:45:00
Heure du coucher du soleil,20:01:00,20:02:00,20:03:00,20:04:00,20:05:00,20:06:00,20:07:00,20:08:00,20:09:00,20:10:00,20:11:00,20:12:00,20:12:00,20:13:00,20:14:00,20:15:00,20:16:00,20:17:00,20:18:00,20:19:00,20:19:00,20:20:00,20:21:00,20:22:00,20:23:00,20:23:00,20:24:00,20:25:00,20:26:00,20:26:00,20:27:00
Durée du jour,13:51:0,13:54:0,13:56:0,13:58:0,14:0:0,14:2:0,14:4:0,14:6:0,14:8:0,14:10:0,14:12:0,14:14:0,14:15:0,14:17:0,14:19:0,14:21:0,14:22:0,14:24:0,14:26:0,14:28:0,14:28:0,14:30:0,14:32:0,14:33:0,14:35:0,14:36:0,14:37:0,14:39:0,14:40:0,14:41:0,14:42:0
