field,2013/06/01,2013/06/02,2013/06/03,2013/06/04,2013/06/05,2013/06/06,2013/06/07,2013/06/08,2013/06/09,2013/06/10,2013/06/11,2013/06/12,2013/06/13,2013/06/14,2013/06/15,2013/06/16,2013/06/17,2013/06/18,2013/06/19,2013/06/20,2013/06/21,2013/06/22,2013/06/23,2013/06/24,2013/06/25,2013/06/26,2013/06/27,2013/06/28,2013/06/29,2013/06/30
Température maximale,31°,31°,27°,26°,26°,24°,24°,27°,28°,27°,29°,31°,32°,26°,28°,29°,29°,27°,26°,27°,28°,29°,28°,32°,33°,33°,32°,32°,31°,29°
Température minimale,22°,22°,22°,16°,15°,17°,19°,18°,19°,21°,21°,21°,24°,18°,17°,20°,21°,21°,18°,17°,17°,18°,22°,22°,23°,24°,23°,22°,22°,22°
Vitesse du vent,22km/h,26km/h,15km/h,21km/h,18km/h,22km/h,21km/h,17km/h,15km/h,26km/h,26km/h,21km/h,31km/h,33km/h,17km/h,26km/h,15km/h,11km/h,21km/h,15km/h,11km/h,17km/h,17km/h,17km/h,21km/h,21km/h,18km/h,22km/h,18km/h,17km/h
Température du vent,22°,19°,19°,13°,17°,14°,18°,19°,20°,19°,18°,20°,21°,16°,17°,20°,19°,18°,18°,19°,18°,18°,20°,19°,19°,21°,21°,19°,19°,21°
Précipitations,0mm,4mm,12mm,0mm,,0mm,7mm,0mm,1mm,15mm,6mm,2mm,6mm,2mm,0mm,3mm,3mm,2mm,1mm,0mm,,0mm,6mm,5mm,2mm,0mm,7mm,16mm,5mm,1mm
Humidité,82%,85%,97%,81%,79%,98%,99%,97%,96%,100%,99%,89%,91%,76%,88%,76%,91%,98%,91%,91%,88%,100%,99%,98%,97%,89%,89%,99%,93%,97%
Visibilité,9.625km,9.375km,8km,10km,10km,7.625km,5.375km,8.875km,9.25km,8.125km,9.75km,9.875km,8.75km,9.875km,10km,9.875km,9.875km,9.125km,8.75km,10km,10km,9.375km,7.125km,8.5km,9.375km,9.625km,9.25km,7.5km,9.5km,9.5km
Couverture nuageuse,7%,29%,67%,2%,27%,43%,100%,46%,45%,87%,42%,26%,32%,52%,23%,47%,45%,43%,35%,38%,6%,23%,59%,29%,47%,17%,44%,53%,44%,57%
Indice de chaleur,36,31,28,27,27,28,26,30,30,27,30,32,37,25,31,30,31,29,28,27,29,38,29,36,33,37,31,33,32,32
Point de rosée,20°C,21°C,20°C,13°C,13°C,18°C,21°C,17°C,21°C,22°C,20°C,21°C,22°C,14°C,14°C,20°C,19°C,20°C,17°C,14°C,14°C,20°C,22°C,21°C,21°C,22°C,23°C,21°C,20°C,22°C
Pression,1018hPa,1014hPa,1014hPa,1021hPa,1023hPa,1020hPa,1011hPa,1018hPa,1022hPa,1019hPa,1011hPa,1012hPa,1008hPa,1014hPa,1019hPa,1017hPa,1015hPa,1014hPa,1021hPa,1025hPa,1026hPa,1025hPa,1023hPa,1021hPa,1018hPa,1016hPa,1011hPa,1003hPa,1005hPa,1012hPa
Heure du lever du soleil,04:44:00,04:44:00,04:44:00,04:43:00,04:43:00,04:43:00,04:43:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:43:00,04:43:00,04:43:00,04:43:00,04:44:00,04:44:00,04:44:00,04:45:00,04:45:00,04:46:00,04:46:00
Heure du coucher du soleil,19:28:00,19:29:00,19:29:00,19:30:00,19:31:00,19:31:00,19:32:00,19:32:00,19:33:00,19:33:00,19:34:00,19:34:00,19:35:00,19:35:00,19:36:00,19:36:00,19:36:00,19:37:00,19:37:00,19:37:00,19:37:00,19:37:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00
Durée du jour,14:44:0,14:45:0,14:45:0,14:47:0,14:48:0,14:48:0,14:49:0,14:50:0,14:51:0,14:51:0,14:52:0,14:52:0,14:53:0,14:53:0,14:54:0,14:54:0,14:54:0,14:55:0,14:55:0,14:54:0,14:54:0,14:54:0,14:55:0,14:54:0,14:54:0,14:54:0,14:53:0,14:53:0,14:52:0,14:52:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
