field,2011/06/01,2011/06/02,2011/06/03,2011/06/04,2011/06/05,2011/06/06,2011/06/07,2011/06/08,2011/06/09,2011/06/10,2011/06/11,2011/06/12,2011/06/13,2011/06/14,2011/06/15,2011/06/16,2011/06/17,2011/06/18,2011/06/19,2011/06/20,2011/06/21,2011/06/22,2011/06/23,2011/06/24,2011/06/25,2011/06/26,2011/06/27,2011/06/28,2011/06/29,2011/06/30
Température maximale,33°,27°,26°,28°,28°,29°,32°,36°,36°,34°,33°,30°,25°,24°,27°,25°,27°,30°,24°,21°,30°,33°,29°,31°,28°,30°,31°,32°,29°,29°
Température minimale,25°,22°,18°,18°,19°,19°,20°,21°,25°,25°,22°,22°,18°,17°,15°,16°,19°,20°,20°,17°,20°,22°,22°,20°,18°,18°,21°,21°,21°,18°
Vitesse du vent,12km/h,30km/h,20km/h,10km/h,13km/h,10km/h,17km/h,12km/h,17km/h,14km/h,19km/h,13km/h,22km/h,21km/h,13km/h,23km/h,14km/h,15km/h,13km/h,32km/h,11km/h,18km/h,15km/h,21km/h,21km/h,13km/h,13km/h,10km/h,23km/h,16km/h
Température du vent,25°,22°,18°,18°,19°,19°,20°,21°,25°,25°,22°,22°,18°,17°,15°,16°,19°,20°,20°,17°,20°,22°,22°,20°,18°,18°,21°,21°,21°,18°
Précipitations,10mm,0mm,,,,,,0mm,4mm,13mm,104mm,37mm,0mm,3mm,0mm,15mm,9mm,1mm,48mm,23mm,3mm,3mm,3mm,3mm,0mm,0mm,1mm,7mm,1mm,0mm
Humidité,89%,56%,55%,73%,74%,95%,73%,73%,73%,75%,85%,95%,66%,68%,76%,96%,92%,82%,94%,90%,84%,93%,85%,91%,75%,78%,71%,83%,73%,72%
Visibilité,9.25km,10km,10km,10km,9.75km,9km,10km,10km,9.875km,8.625km,8.375km,8.375km,10km,10km,10km,8.375km,9.375km,10km,6.5km,8.625km,9.75km,10km,9.875km,9.5km,10km,10km,8.75km,9.625km,9.875km,10km
Couverture nuageuse,13%,1%,1%,14%,13%,30%,5%,9%,10%,21%,49%,41%,27%,27%,6%,55%,39%,23%,84%,58%,46%,23%,26%,34%,32%,10%,30%,44%,10%,5%
Indice de chaleur,36,28,26,27,28,29,33,40,41,35,38,32,25,25,26,26,28,32,26,21,32,37,31,33,29,30,32,36,29,28
Point de rosée,25°C,17°C,12°C,13°C,15°C,18°C,20°C,23°C,21°C,20°C,23°C,21°C,13°C,13°C,13°C,19°C,19°C,21°C,22°C,18°C,21°C,23°C,21°C,20°C,18°C,18°C,21°C,23°C,18°C,16°C
Pression,1021hPa,1020hPa,1022hPa,1023hPa,1020hPa,1017hPa,1018hPa,1016hPa,1016hPa,1015hPa,1014hPa,1012hPa,1015hPa,1014hPa,1016hPa,1014hPa,1013hPa,1013hPa,1010hPa,1014hPa,1014hPa,1013hPa,1009hPa,1008hPa,1014hPa,1016hPa,1017hPa,1014hPa,1015hPa,1017hPa
Heure du lever du soleil,04:45:00,04:44:00,04:44:00,04:44:00,04:43:00,04:43:00,04:43:00,04:43:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:43:00,04:43:00,04:43:00,04:43:00,04:44:00,04:44:00,04:44:00,04:45:00,04:45:00,04:45:00,04:46:00
Heure du coucher du soleil,19:28:00,19:28:00,19:29:00,19:30:00,19:30:00,19:31:00,19:32:00,19:32:00,19:33:00,19:33:00,19:34:00,19:34:00,19:35:00,19:35:00,19:35:00,19:36:00,19:36:00,19:36:00,19:37:00,19:37:00,19:37:00,19:37:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00
Durée du jour,14:43:0,14:44:0,14:45:0,14:46:0,14:47:0,14:48:0,14:49:0,14:49:0,14:51:0,14:51:0,14:52:0,14:52:0,14:53:0,14:53:0,14:53:0,14:54:0,14:54:0,14:54:0,14:55:0,14:54:0,14:54:0,14:54:0,14:55:0,14:54:0,14:54:0,14:54:0,14:53:0,14:53:0,14:53:0,14:52:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
