field,2013/12/01,2013/12/02,2013/12/03,2013/12/04,2013/12/05,2013/12/06,2013/12/07,2013/12/08,2013/12/09,2013/12/10,2013/12/11,2013/12/12,2013/12/13,2013/12/14,2013/12/15,2013/12/16,2013/12/17,2013/12/18,2013/12/19,2013/12/20,2013/12/21,2013/12/22,2013/12/23,2013/12/24,2013/12/25,2013/12/26,2013/12/27,2013/12/28,2013/12/29,2013/12/30,2013/12/31
Température maximale,9°,10°,12°,13°,18°,16°,5°,1°,5°,1°,3°,0°,3°,5°,5°,1°,6°,4°,9°,12°,17°,23°,18°,5°,2°,7°,9°,9°,7°,4°,6°
Température minimale,-1°,2°,2°,4°,12°,8°,3°,-1°,2°,-1°,-7°,-5°,-4°,1°,3°,-2°,1°,-3°,0°,2°,10°,18°,11°,2°,-2°,-3°,-1°,0°,5°,2°,0°
Vitesse du vent,6km/h,5km/h,5km/h,8km/h,19km/h,21km/h,22km/h,12km/h,10km/h,16km/h,10km/h,23km/h,12km/h,17km/h,30km/h,21km/h,11km/h,23km/h,20km/h,20km/h,24km/h,30km/h,18km/h,22km/h,13km/h,17km/h,12km/h,15km/h,15km/h,22km/h,25km/h
Température du vent,-3°,1°,2°,2°,11°,6°,-1°,-5°,-1°,-6°,-11°,-11°,-9°,-3°,-1°,-8°,-1°,-8°,-5°,-1°,8°,18°,8°,-2°,-7°,-6°,-3°,-4°,3°,-2°,-2°
Humidité,91%,84%,93%,94%,98%,88%,85%,90%,100%,97%,89%,82%,72%,85%,93%,64%,97%,90%,86%,90%,89%,96%,96%,84%,47%,63%,78%,73%,98%,90%,73%
Visibilité,10km,10km,10km,6.75km,5.25km,5.625km,9.625km,6.875km,4.5km,7.75km,10km,10km,10km,7.875km,8.75km,10km,6.25km,10km,10km,10km,10km,8.125km,6.375km,10km,10km,10km,10km,10km,7.875km,10km,10km
Couverture nuageuse,20%,51%,26%,83%,90%,89%,37%,68%,87%,36%,4%,17%,11%,76%,28%,47%,82%,12%,28%,33%,40%,79%,81%,30%,10%,8%,4%,8%,71%,35%,22%
Indice de chaleur,9,10,12,13,18,16,5,1,5,1,3,0,3,5,5,1,6,4,9,12,17,25,18,5,2,7,9,9,7,4,6
Point de rosée,2°C,5°C,8°C,11°C,16°C,15°C,2°C,0°C,5°C,0°C,2°C,0°C,0°C,4°C,3°C,0°C,4°C,1°C,4°C,8°C,14°C,20°C,18°C,0°C,,0°C,2°C,4°C,7°C,3°C,0°C
Pression,1028hPa,1016hPa,1017hPa,1019hPa,1019hPa,1020hPa,1034hPa,1036hPa,1025hPa,1025hPa,1031hPa,1031hPa,1027hPa,1028hPa,1015hPa,1023hPa,1021hPa,1024hPa,1024hPa,1022hPa,1018hPa,1015hPa,1024hPa,1030hPa,1035hPa,1029hPa,1031hPa,1027hPa,1021hPa,1024hPa,1028hPa
Heure du lever du soleil,07:08:00,07:09:00,07:10:00,07:11:00,07:12:00,07:13:00,07:14:00,07:15:00,07:15:00,07:16:00,07:17:00,07:18:00,07:19:00,07:19:00,07:20:00,07:21:00,07:21:00,07:22:00,07:22:00,07:23:00,07:24:00,07:24:00,07:25:00,07:25:00,07:25:00,07:26:00,07:26:00,07:26:00,07:27:00,07:27:00,07:27:00
Heure du coucher du soleil,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:47:00,16:47:00,16:47:00,16:48:00,16:48:00,16:49:00,16:49:00,16:49:00,16:50:00,16:51:00,16:51:00,16:52:00,16:52:00,16:53:00,16:54:00,16:55:00,16:55:00,16:56:00
Durée du jour,9:38:0,9:37:0,9:36:0,9:35:0,9:34:0,9:33:0,9:32:0,9:31:0,9:31:0,9:30:0,9:29:0,9:28:0,9:27:0,9:28:0,9:27:0,9:26:0,9:27:0,9:26:0,9:27:0,9:26:0,9:25:0,9:26:0,9:26:0,9:26:0,9:27:0,9:26:0,9:27:0,9:28:0,9:28:0,9:28:0,9:29:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,,0mm,1mm,1mm,6mm,5mm,12mm,23mm,14mm,0mm,,0mm,12mm,1mm,0mm,9mm,1mm,0mm,,0mm,5mm,43mm,0mm,,,,0mm,28mm,0mm,
