field,2012/06/01,2012/06/02,2012/06/03,2012/06/04,2012/06/05,2012/06/06,2012/06/07,2012/06/08,2012/06/09,2012/06/10,2012/06/11,2012/06/12,2012/06/13,2012/06/14,2012/06/15,2012/06/16,2012/06/17,2012/06/18,2012/06/19,2012/06/20,2012/06/21,2012/06/22,2012/06/23,2012/06/24,2012/06/25,2012/06/26,2012/06/27,2012/06/28,2012/06/29,2012/06/30
Température maximale,30°,26°,27°,24°,26°,24°,30°,30°,34°,37°,34°,26°,27°,28°,29°,29°,28°,29°,35°,39°,39°,34°,32°,34°,34°,28°,32°,35°,41°,41°
Température minimale,18°,18°,17°,17°,15°,14°,16°,18°,19°,22°,22°,19°,19°,19°,16°,17°,18°,16°,17°,22°,27°,26°,19°,22°,19°,15°,17°,21°,23°,27°
Vitesse du vent,31km/h,18km/h,21km/h,28km/h,15km/h,9km/h,14km/h,19km/h,18km/h,13km/h,18km/h,16km/h,27km/h,19km/h,18km/h,13km/h,18km/h,16km/h,9km/h,9km/h,9km/h,9km/h,17km/h,14km/h,23km/h,23km/h,25km/h,19km/h,19km/h,21km/h
Température du vent,18°,18°,17°,17°,14°,14°,16°,18°,19°,22°,22°,19°,19°,19°,16°,17°,18°,16°,17°,22°,27°,26°,19°,22°,19°,14°,17°,21°,23°,27°
Précipitations,10mm,14mm,1mm,4mm,1mm,2mm,2mm,0mm,,,0mm,3mm,0mm,,,,0mm,2mm,0mm,,0mm,14mm,0mm,4mm,2mm,0mm,,0mm,1mm,0mm
Humidité,91%,88%,78%,94%,87%,90%,90%,91%,69%,61%,70%,96%,99%,79%,98%,80%,96%,92%,99%,83%,72%,71%,86%,63%,87%,74%,70%,69%,62%,64%
Visibilité,9km,9.125km,9.75km,8.875km,10km,9.75km,9.75km,10km,10km,10km,10km,7.75km,8.75km,10km,7.75km,10km,9km,9.75km,8.75km,10km,10km,8.625km,10km,9.875km,9.875km,10km,10km,10km,9.875km,9.75km
Couverture nuageuse,39%,21%,21%,39%,63%,43%,15%,10%,7%,5%,10%,93%,33%,61%,19%,41%,6%,48%,28%,16%,13%,36%,11%,24%,45%,9%,8%,9%,14%,12%
Indice de chaleur,30,25,25,24,24,24,27,28,31,37,34,27,26,27,27,27,27,28,36,42,41,37,31,32,33,26,30,34,46,45
Point de rosée,22°C,17°C,16°C,16°C,14°C,15°C,15°C,18°C,17°C,22°C,19°C,23°C,19°C,16°C,18°C,14°C,17°C,19°C,22°C,24°C,23°C,24°C,19°C,22°C,20°C,12°C,15°C,17°C,22°C,23°C
Pression,1013hPa,1010hPa,1011hPa,1007hPa,1013hPa,1018hPa,1018hPa,1017hPa,1016hPa,1020hPa,1021hPa,1018hPa,1017hPa,1023hPa,1026hPa,1027hPa,1024hPa,1020hPa,1021hPa,1020hPa,1016hPa,1010hPa,1016hPa,1017hPa,1011hPa,1012hPa,1014hPa,1015hPa,1007hPa,1010hPa
Heure du lever du soleil,04:44:00,04:44:00,04:44:00,04:43:00,04:43:00,04:43:00,04:43:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:42:00,04:43:00,04:43:00,04:43:00,04:43:00,04:43:00,04:44:00,04:44:00,04:44:00,04:45:00,04:45:00,04:46:00,04:46:00
Heure du coucher du soleil,19:28:00,19:29:00,19:30:00,19:30:00,19:31:00,19:31:00,19:32:00,19:33:00,19:33:00,19:34:00,19:34:00,19:35:00,19:35:00,19:35:00,19:36:00,19:36:00,19:36:00,19:37:00,19:37:00,19:37:00,19:37:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00,19:38:00
Durée du jour,14:44:0,14:45:0,14:46:0,14:47:0,14:48:0,14:48:0,14:49:0,14:51:0,14:51:0,14:52:0,14:52:0,14:53:0,14:53:0,14:53:0,14:54:0,14:54:0,14:54:0,14:55:0,14:54:0,14:54:0,14:54:0,14:55:0,14:55:0,14:54:0,14:54:0,14:54:0,14:53:0,14:53:0,14:52:0,14:52:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
