field,2017/02/01,2017/02/02,2017/02/03,2017/02/04,2017/02/05,2017/02/06,2017/02/07,2017/02/08,2017/02/09,2017/02/10,2017/02/11,2017/02/12,2017/02/13,2017/02/14,2017/02/15,2017/02/16,2017/02/17,2017/02/18,2017/02/19,2017/02/20,2017/02/21,2017/02/22,2017/02/23,2017/02/24,2017/02/25,2017/02/26,2017/02/27,2017/02/28
Température maximale,9°,9°,4°,3°,8°,13°,19°,19°,12°,3°,14°,18°,11°,10°,10°,4°,11°,19°,19°,17°,13°,19°,24°,24°,23°,10°,15°,19°
Température minimale,5°,6°,0°,-3°,1°,6°,10°,17°,-1°,-4°,3°,8°,2°,2°,6°,0°,-1°,6°,13°,11°,6°,9°,13°,18°,16°,2°,7°,11°
Vitesse du vent,15km/h,22km/h,16km/h,15km/h,18km/h,12km/h,24km/h,15km/h,35km/h,17km/h,15km/h,17km/h,35km/h,16km/h,29km/h,28km/h,8km/h,14km/h,17km/h,15km/h,15km/h,7km/h,12km/h,17km/h,28km/h,21km/h,17km/h,13km/h
Température du vent,2°,2°,-1°,-8°,-5°,4°,7°,16°,-8°,-11°,-1°,4°,-6°,0°,2°,-7°,-3°,4°,11°,9°,3°,8°,12°,17°,14°,-4°,5°,10°
Humidité,68%,73%,73%,68%,57%,84%,66%,76%,77%,59%,58%,89%,58%,69%,62%,62%,67%,78%,64%,74%,63%,77%,93%,80%,92%,59%,68%,69%
Visibilité,10km,10km,10km,10km,10km,9km,10km,10km,8.5km,10km,10km,9.75km,10km,10km,10km,10km,10km,10km,10km,10km,10km,10km,7km,10km,9.375km,10km,10km,9.875km
Couverture nuageuse,67%,65%,69%,26%,57%,6%,82%,58%,70%,43%,52%,71%,0%,75%,71%,32%,18%,51%,58%,1%,84%,95%,57%,12%,58%,0%,46%,74%
Indice de chaleur,9,8,4,2,8,12,19,18,12,2,14,19,12,10,9,3,11,19,19,16,13,19,25,25,23,11,14,19
Point de rosée,3°C,2°C,0°C,0°C,3°C,4°C,13°C,12°C,7°C,0°C,5°C,12°C,2°C,0°C,,0°C,1°C,4°C,10°C,9°C,4°C,11°C,15°C,16°C,15°C,1°C,2°C,15°C
Pression,1018hPa,1024hPa,1025hPa,1033hPa,1025hPa,1024hPa,1016hPa,1007hPa,1019hPa,1030hPa,1018hPa,1016hPa,1019hPa,1019hPa,1007hPa,1013hPa,1016hPa,1012hPa,1016hPa,1025hPa,1027hPa,1019hPa,1012hPa,1013hPa,1008hPa,1025hPa,1030hPa,1028hPa
Heure du lever du soleil,07:14:00,07:13:00,07:12:00,07:11:00,07:10:00,07:09:00,07:08:00,07:07:00,07:06:00,07:05:00,07:04:00,07:03:00,07:02:00,07:00:00,06:59:00,06:58:00,06:57:00,06:55:00,06:54:00,06:53:00,06:51:00,06:50:00,06:49:00,06:47:00,06:46:00,06:44:00,06:43:00,06:41:00
Heure du coucher du soleil,17:30:00,17:31:00,17:32:00,17:34:00,17:35:00,17:36:00,17:37:00,17:38:00,17:39:00,17:41:00,17:42:00,17:43:00,17:44:00,17:45:00,17:46:00,17:47:00,17:48:00,17:49:00,17:51:00,17:52:00,17:53:00,17:54:00,17:55:00,17:56:00,17:57:00,17:58:00,17:59:00,18:00:00
Durée du jour,10:16:0,10:18:0,10:20:0,10:23:0,10:25:0,10:27:0,10:29:0,10:31:0,10:33:0,10:36:0,10:38:0,10:40:0,10:42:0,10:45:0,10:47:0,10:49:0,10:51:0,10:54:0,10:57:0,10:59:0,11:2:0,11:4:0,11:6:0,11:9:0,11:11:0,11:14:0,11:16:0,11:19:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,,,,,0mm,1mm,0mm,8mm,0mm,0mm,4mm,0mm,1mm,0mm,,,,,,,,,0mm,8mm,0mm,0mm,3mm
