field,2015/08/01,2015/08/02,2015/08/03,2015/08/04,2015/08/05,2015/08/06,2015/08/07,2015/08/08,2015/08/09,2015/08/10,2015/08/11,2015/08/12,2015/08/13,2015/08/14,2015/08/15,2015/08/16,2015/08/17,2015/08/18,2015/08/19,2015/08/20,2015/08/21,2015/08/22,2015/08/23,2015/08/24,2015/08/25,2015/08/26,2015/08/27,2015/08/28,2015/08/29,2015/08/30,2015/08/31
Température maximale,33°,35°,37°,36°,34°,28°,30°,32°,33°,30°,32°,31°,34°,36°,35°,37°,36°,34°,31°,33°,32°,29°,33°,35°,32°,34°,32°,34°,36°,34°,37°
Température minimale,25°,25°,25°,26°,24°,20°,23°,22°,24°,24°,22°,24°,25°,26°,22°,27°,28°,27°,26°,29°,24°,23°,21°,25°,23°,23°,21°,24°,24°,23°,27°
Vitesse du vent,20km/h,11km/h,22km/h,17km/h,22km/h,14km/h,21km/h,19km/h,9km/h,26km/h,21km/h,17km/h,12km/h,6km/h,12km/h,11km/h,13km/h,16km/h,21km/h,16km/h,18km/h,15km/h,6km/h,16km/h,16km/h,11km/h,11km/h,11km/h,15km/h,12km/h,10km/h
Température du vent,25°,25°,25°,26°,24°,20°,23°,22°,24°,24°,22°,23°,23°,24°,21°,25°,26°,25°,24°,27°,23°,22°,20°,22°,23°,22°,20°,21°,21°,22°,26°
Humidité,64%,61%,66%,70%,63%,92%,83%,69%,71%,76%,94%,73%,70%,64%,70%,74%,77%,84%,92%,88%,61%,64%,74%,66%,59%,63%,69%,71%,66%,67%,61%
Visibilité,10km,10km,10km,10km,10km,8.375km,10km,10km,10km,9.875km,9.25km,10km,10km,10km,10km,10km,10km,9km,10km,10km,9.875km,10km,10km,10km,9.875km,10km,10km,10km,10km,10km,10km
Couverture nuageuse,12%,10%,8%,27%,5%,51%,42%,16%,37%,80%,53%,2%,4%,1%,35%,3%,6%,50%,54%,61%,24%,46%,59%,45%,37%,32%,13%,16%,5%,79%,51%
Indice de chaleur,32,35,37,39,34,28,31,33,34,32,39,30,32,37,35,39,42,36,35,36,33,28,34,37,31,33,34,34,36,35,39
Point de rosée,18°C,17°C,18°C,20°C,17°C,19°C,20°C,17°C,19°C,20°C,24°C,21°C,18°C,19°C,18°C,22°C,23°C,22°C,23°C,25°C,25°C,17°C,21°C,23°C,19°C,19°C,18°C,20°C,20°C,19°C,22°C
Pression,1013hPa,1014hPa,1012hPa,1014hPa,1015hPa,1016hPa,1012hPa,1015hPa,1016hPa,1016hPa,1011hPa,1015hPa,1021hPa,1022hPa,1021hPa,1021hPa,1020hPa,1016hPa,1015hPa,1013hPa,1018hPa,1020hPa,1017hPa,1013hPa,1014hPa,1016hPa,1020hPa,1022hPa,1022hPa,1019hPa,1019hPa
Heure du lever du soleil,05:09:00,05:10:00,05:11:00,05:12:00,05:13:00,05:14:00,05:14:00,05:15:00,05:16:00,05:17:00,05:18:00,05:19:00,05:20:00,05:21:00,05:22:00,05:23:00,05:24:00,05:24:00,05:25:00,05:26:00,05:27:00,05:28:00,05:29:00,05:30:00,05:31:00,05:32:00,05:33:00,05:34:00,05:34:00,05:35:00,05:36:00
Heure du coucher du soleil,19:20:00,19:19:00,19:18:00,19:17:00,19:16:00,19:14:00,19:13:00,19:12:00,19:11:00,19:10:00,19:08:00,19:07:00,19:06:00,19:05:00,19:03:00,19:02:00,19:01:00,18:59:00,18:58:00,18:56:00,18:55:00,18:54:00,18:52:00,18:51:00,18:49:00,18:48:00,18:46:00,18:45:00,18:43:00,18:42:00,18:40:00
Durée du jour,14:11:0,14:9:0,14:7:0,14:5:0,14:3:0,14:0:0,13:59:0,13:57:0,13:55:0,13:53:0,13:50:0,13:48:0,13:46:0,13:44:0,13:41:0,13:39:0,13:37:0,13:35:0,13:33:0,13:30:0,13:28:0,13:26:0,13:23:0,13:21:0,13:18:0,13:16:0,13:13:0,13:11:0,13:9:0,13:7:0,13:4:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,,0mm,1mm,1mm,18mm,1mm,0mm,0mm,4mm,10mm,1mm,0mm,,,,0mm,1mm,1mm,7mm,1mm,0mm,0mm,1mm,2mm,0mm,,,0mm,1mm,0mm
