field,2016/04/01,2016/04/02,2016/04/03,2016/04/04,2016/04/05,2016/04/06,2016/04/07,2016/04/08,2016/04/09,2016/04/10,2016/04/11,2016/04/12,2016/04/13,2016/04/14,2016/04/15,2016/04/16,2016/04/17,2016/04/18,2016/04/19,2016/04/20,2016/04/21,2016/04/22,2016/04/23,2016/04/24,2016/04/25,2016/04/26,2016/04/27,2016/04/28,2016/04/29,2016/04/30
Température maximale,26°,19°,9°,21°,9°,14°,18°,13°,8°,12°,21°,17°,13°,16°,17°,18°,21°,26°,28°,20°,23°,24°,21°,20°,27°,30°,19°,16°,12°,18°
Température minimale,20°,13°,1°,8°,-1°,4°,13°,6°,3°,1°,7°,11°,6°,10°,7°,8°,9°,13°,17°,14°,12°,19°,17°,10°,14°,22°,14°,13°,10°,11°
Vitesse du vent,26km/h,25km/h,34km/h,25km/h,27km/h,25km/h,28km/h,23km/h,39km/h,15km/h,26km/h,22km/h,13km/h,11km/h,11km/h,14km/h,9km/h,12km/h,23km/h,9km/h,20km/h,25km/h,24km/h,13km/h,13km/h,25km/h,13km/h,15km/h,13km/h,12km/h
Température du vent,20°,12°,-6°,5°,-9°,2°,9°,2°,-3°,-3°,3°,8°,3°,9°,8°,9°,10°,14°,15°,12°,9°,18°,16°,6°,12°,21°,12°,11°,8°,9°
Précipitations,10mm,14mm,1mm,7mm,0mm,0mm,22mm,0mm,7mm,0mm,4mm,13mm,0mm,,,,,,,,0mm,4mm,1mm,0mm,0mm,1mm,3mm,8mm,7mm,4mm
Humidité,87%,89%,51%,86%,60%,61%,93%,63%,79%,74%,85%,95%,71%,90%,86%,69%,70%,75%,60%,56%,60%,92%,84%,49%,65%,68%,85%,91%,91%,87%
Visibilité,9.125km,9.25km,10km,9.25km,10km,10km,8.625km,10km,8.75km,10km,9.625km,9.125km,10km,10km,10km,10km,10km,10km,10km,10km,10km,10km,9km,10km,10km,9.75km,8.875km,8.5km,7.625km,8.875km
Couverture nuageuse,83%,76%,5%,73%,9%,25%,88%,22%,75%,12%,67%,50%,3%,1%,0%,,,0%,21%,4%,47%,81%,59%,0%,74%,39%,100%,100%,100%,100%
Indice de chaleur,27,19,8,21,8,13,18,12,8,11,20,17,14,17,18,19,22,27,29,21,25,25,21,21,26,31,19,15,12,18
Point de rosée,18°C,12°C,0°C,12°C,0°C,1°C,13°C,2°C,3°C,0°C,12°C,13°C,4°C,8°C,9°C,4°C,6°C,9°C,11°C,5°C,17°C,17°C,17°C,2°C,15°C,16°C,16°C,13°C,9°C,11°C
Pression,1007hPa,1005hPa,1017hPa,1019hPa,1030hPa,1030hPa,1010hPa,1007hPa,1020hPa,1029hPa,1025hPa,1026hPa,1030hPa,1028hPa,1031hPa,1031hPa,1032hPa,1027hPa,1022hPa,1028hPa,1024hPa,1014hPa,1016hPa,1021hPa,1018hPa,1009hPa,1015hPa,1016hPa,1020hPa,1023hPa
Heure du lever du soleil,06:52:00,06:50:00,06:49:00,06:47:00,06:46:00,06:44:00,06:43:00,06:41:00,06:40:00,06:38:00,06:37:00,06:35:00,06:34:00,06:32:00,06:31:00,06:29:00,06:28:00,06:26:00,06:25:00,06:24:00,06:22:00,06:21:00,06:20:00,06:18:00,06:17:00,06:16:00,06:14:00,06:13:00,06:12:00,06:11:00
Heure du coucher du soleil,19:33:00,19:34:00,19:34:00,19:35:00,19:36:00,19:37:00,19:38:00,19:39:00,19:40:00,19:41:00,19:42:00,19:43:00,19:44:00,19:45:00,19:46:00,19:47:00,19:48:00,19:49:00,19:50:00,19:51:00,19:52:00,19:53:00,19:54:00,19:55:00,19:56:00,19:57:00,19:57:00,19:58:00,19:59:00,20:00:00
Durée du jour,12:41:0,12:44:0,12:45:0,12:48:0,12:50:0,12:53:0,12:55:0,12:58:0,13:0:0,13:3:0,13:5:0,13:8:0,13:10:0,13:13:0,13:15:0,13:18:0,13:20:0,13:23:0,13:25:0,13:27:0,13:30:0,13:32:0,13:34:0,13:37:0,13:39:0,13:41:0,13:43:0,13:45:0,13:47:0,13:49:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
