field,2014/09/01,2014/09/02,2014/09/03,2014/09/04,2014/09/05,2014/09/06,2014/09/07,2014/09/08,2014/09/09,2014/09/10,2014/09/11,2014/09/12,2014/09/13,2014/09/14,2014/09/15,2014/09/16,2014/09/17,2014/09/18,2014/09/19,2014/09/20,2014/09/21,2014/09/22,2014/09/23,2014/09/24,2014/09/25,2014/09/26,2014/09/27,2014/09/28,2014/09/29,2014/09/30
Température maximale,33°,36°,35°,32°,33°,36°,28°,26°,23°,30°,32°,27°,24°,25°,27°,28°,26°,26°,25°,30°,33°,22°,23°,23°,20°,25°,30°,28°,26°,28°
Température minimale,25°,26°,25°,24°,25°,24°,20°,20°,20°,19°,21°,16°,19°,13°,17°,17°,14°,17°,15°,18°,20°,15°,10°,14°,15°,16°,17°,16°,18°,16°
Vitesse du vent,14km/h,11km/h,9km/h,14km/h,12km/h,11km/h,15km/h,18km/h,19km/h,9km/h,16km/h,15km/h,12km/h,12km/h,11km/h,14km/h,10km/h,4km/h,15km/h,10km/h,10km/h,22km/h,10km/h,18km/h,21km/h,10km/h,9km/h,6km/h,5km/h,9km/h
Température du vent,25°,26°,25°,24°,25°,24°,20°,20°,20°,19°,21°,16°,19°,11°,17°,17°,13°,17°,14°,18°,20°,14°,9°,13°,15°,16°,17°,16°,18°,16°
Précipitations,6mm,1mm,0mm,2mm,7mm,8mm,2mm,1mm,6mm,0mm,2mm,0mm,8mm,0mm,,,0mm,3mm,1mm,0mm,1mm,0mm,0mm,1mm,20mm,0mm,,0mm,1mm,0mm
Humidité,91%,81%,87%,89%,94%,93%,91%,90%,93%,95%,93%,78%,97%,84%,84%,88%,75%,90%,96%,94%,91%,79%,81%,82%,96%,90%,85%,89%,82%,98%
Visibilité,9.5km,9.75km,10km,7.875km,6.875km,9.25km,10km,9km,6.5km,5.25km,10km,10km,8.375km,10km,10km,8.75km,10km,7.625km,6.875km,5.25km,7.625km,10km,10km,9km,6.875km,7.75km,10km,10km,8km,6.25km
Couverture nuageuse,39%,19%,12%,13%,43%,22%,30%,49%,70%,55%,51%,4%,46%,8%,20%,27%,10%,42%,28%,43%,23%,1%,16%,49%,90%,32%,8%,19%,45%,46%
Indice de chaleur,41,42,41,35,40,41,28,27,25,33,37,28,26,26,28,28,26,30,26,33,35,24,25,25,17,27,32,29,25,29
Point de rosée,26°C,23°C,22°C,22°C,26°C,24°C,19°C,19°C,20°C,22°C,27°C,16°C,20°C,13°C,18°C,16°C,14°C,21°C,17°C,21°C,21°C,12°C,11°C,16°C,16°C,14°C,19°C,16°C,20°C,18°C
Pression,1017hPa,1015hPa,1019hPa,1021hPa,1020hPa,1016hPa,1021hPa,1022hPa,1021hPa,1019hPa,1015hPa,1022hPa,1022hPa,1026hPa,1023hPa,1017hPa,1018hPa,1018hPa,1026hPa,1025hPa,1015hPa,1023hPa,1029hPa,1031hPa,1025hPa,1024hPa,1024hPa,1022hPa,1017hPa,1014hPa
Heure du lever du soleil,05:37:00,05:38:00,05:39:00,05:40:00,05:41:00,05:42:00,05:43:00,05:44:00,05:44:00,05:45:00,05:46:00,05:47:00,05:48:00,05:49:00,05:50:00,05:51:00,05:51:00,05:52:00,05:53:00,05:54:00,05:55:00,05:56:00,05:57:00,05:58:00,05:59:00,05:59:00,06:00:00,06:01:00,06:02:00,06:03:00
Heure du coucher du soleil,18:38:00,18:37:00,18:35:00,18:34:00,18:32:00,18:31:00,18:29:00,18:27:00,18:26:00,18:24:00,18:23:00,18:21:00,18:19:00,18:18:00,18:16:00,18:15:00,18:13:00,18:11:00,18:10:00,18:08:00,18:07:00,18:05:00,18:04:00,18:02:00,18:00:00,17:59:00,17:57:00,17:56:00,17:54:00,17:53:00
Durée du jour,13:1:0,12:59:0,12:56:0,12:54:0,12:51:0,12:49:0,12:46:0,12:43:0,12:42:0,12:39:0,12:37:0,12:34:0,12:31:0,12:29:0,12:26:0,12:24:0,12:22:0,12:19:0,12:17:0,12:14:0,12:12:0,12:9:0,12:7:0,12:4:0,12:1:0,12:0:0,11:57:0,11:55:0,11:52:0,11:50:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
