field,2012/10/01,2012/10/02,2012/10/03,2012/10/04,2012/10/05,2012/10/06,2012/10/07,2012/10/08,2012/10/09,2012/10/10,2012/10/11,2012/10/12,2012/10/13,2012/10/14,2012/10/15,2012/10/16,2012/10/17,2012/10/18,2012/10/19,2012/10/20,2012/10/21,2012/10/22,2012/10/23,2012/10/24,2012/10/25,2012/10/26,2012/10/27,2012/10/28,2012/10/29,2012/10/30,2012/10/31
Température maximale,19°,24°,29°,27°,28°,23°,13°,11°,14°,21°,16°,15°,15°,22°,19°,17°,19°,21°,22°,18°,18°,22°,25°,28°,23°,21°,20°,16°,14°,9°,11°
Température minimale,13°,17°,22°,21°,18°,18°,10°,6°,8°,12°,8°,8°,5°,10°,17°,10°,8°,11°,16°,12°,10°,9°,14°,16°,17°,16°,15°,13°,8°,7°,4°
Vitesse du vent,9km/h,9km/h,13km/h,13km/h,13km/h,24km/h,13km/h,13km/h,13km/h,22km/h,15km/h,30km/h,15km/h,21km/h,21km/h,22km/h,13km/h,22km/h,15km/h,18km/h,17km/h,13km/h,11km/h,8km/h,15km/h,11km/h,18km/h,30km/h,48km/h,31km/h,21km/h
Température du vent,12°,20°,23°,23°,18°,17°,9°,5°,8°,14°,4°,8°,4°,5°,17°,6°,12°,10°,17°,11°,6°,10°,12°,17°,14°,16°,16°,11°,4°,-2°,2°
Précipitations,0mm,5mm,1mm,2mm,0mm,0mm,1mm,1mm,6mm,3mm,0mm,,,0mm,14mm,0mm,,0mm,3mm,0mm,,,,,0mm,1mm,0mm,1mm,103mm,36mm,1mm
Humidité,87%,91%,98%,86%,73%,85%,73%,93%,93%,92%,81%,77%,91%,98%,92%,93%,82%,97%,97%,78%,91%,76%,78%,78%,99%,99%,98%,89%,95%,95%,91%
Visibilité,10.625km,6.25km,6.25km,9.5km,10km,10km,9.625km,6.5km,7.625km,9km,10km,10km,10km,10km,8.5km,10km,10km,7.625km,8.5km,10km,10km,10km,10km,10km,9.25km,5.625km,8.125km,8.75km,6.25km,7.375km,10km
Couverture nuageuse,20%,79%,56%,43%,1%,36%,57%,75%,100%,48%,1%,15%,1%,18%,52%,4%,9%,25%,24%,20%,2%,2%,33%,26%,56%,94%,50%,90%,100%,100%,66%
Indice de chaleur,25,31,33,28,30,26,17,16,13,24,19,18,17,25,20,21,24,25,25,19,20,24,27,28,26,21,21,15,11,7,12
Point de rosée,12°C,21°C,22°C,21°C,14°C,12°C,7°C,4°C,10°C,12°C,3°C,3°C,3°C,12°C,14°C,7°C,8°C,14°C,16°C,8°C,5°C,8°C,13°C,14°C,16°C,16°C,14°C,10°C,10°C,6°C,4°C
Pression,1016hPa,1015hPa,1019hPa,1020hPa,1020hPa,1016hPa,1021hPa,1026hPa,1023hPa,1018hPa,1026hPa,1031hPa,1034hPa,1025hPa,1013hPa,1014hPa,1016hPa,1015hPa,1008hPa,1013hPa,1021hPa,1023hPa,1021hPa,1020hPa,1023hPa,1023hPa,1017hPa,1009hPa,1000hPa,996hPa,1004hPa
Heure du lever du soleil,06:04:00,06:05:00,06:06:00,06:07:00,06:08:00,06:09:00,06:10:00,06:11:00,06:12:00,06:13:00,06:14:00,06:15:00,06:16:00,06:17:00,06:18:00,06:19:00,06:20:00,06:21:00,06:22:00,06:23:00,06:24:00,06:25:00,06:26:00,06:27:00,06:28:00,06:29:00,06:30:00,06:31:00,06:32:00,06:34:00,06:35:00
Heure du coucher du soleil,17:50:00,17:49:00,17:47:00,17:46:00,17:44:00,17:43:00,17:41:00,17:40:00,17:38:00,17:37:00,17:35:00,17:34:00,17:32:00,17:31:00,17:29:00,17:28:00,17:26:00,17:25:00,17:24:00,17:22:00,17:21:00,17:20:00,17:18:00,17:17:00,17:16:00,17:14:00,17:13:00,17:12:00,17:11:00,17:09:00,17:08:00
Durée du jour,11:46:0,11:44:0,11:41:0,11:39:0,11:36:0,11:34:0,11:31:0,11:29:0,11:26:0,11:24:0,11:21:0,11:19:0,11:16:0,11:14:0,11:11:0,11:9:0,11:6:0,11:4:0,11:2:0,10:59:0,10:57:0,10:55:0,10:52:0,10:50:0,10:48:0,10:45:0,10:43:0,10:41:0,10:39:0,10:35:0,10:33:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
