field,2010/11/01,2010/11/02,2010/11/03,2010/11/04,2010/11/05,2010/11/06,2010/11/07,2010/11/08,2010/11/09,2010/11/10,2010/11/11,2010/11/12,2010/11/13,2010/11/14,2010/11/15,2010/11/16,2010/11/17,2010/11/18,2010/11/19,2010/11/20,2010/11/21,2010/11/22,2010/11/23,2010/11/24,2010/11/25,2010/11/26,2010/11/27,2010/11/28,2010/11/29,2010/11/30
Température maximale,12°,14°,15°,10°,13°,11°,10°,14°,15°,15°,15°,18°,20°,19°,13°,18°,16°,13°,14°,16°,13°,18°,16°,10°,11°,13°,7°,12°,11°,16°
Température minimale,3°,3°,7°,10°,6°,3°,3°,3°,3°,6°,7°,6°,6°,9°,4°,10°,13°,7°,4°,4°,6°,8°,10°,4°,6°,11°,1°,1°,5°,8°
Vitesse du vent,16km/h,12km/h,15km/h,18km/h,19km/h,17km/h,22km/h,24km/h,21km/h,16km/h,15km/h,13km/h,10km/h,10km/h,6km/h,23km/h,33km/h,14km/h,14km/h,15km/h,14km/h,14km/h,17km/h,21km/h,19km/h,25km/h,28km/h,11km/h,10km/h,23km/h
Température du vent,0°,1°,7°,7°,3°,-1°,-1°,-1°,-1°,3°,5°,3°,4°,9°,4°,8°,10°,5°,1°,2°,4°,7°,8°,0°,5°,9°,-4°,-2°,5°,6°
Humidité,77%,76%,77%,97%,82%,86%,77%,65%,79%,93%,78%,62%,66%,66%,96%,97%,63%,85%,86%,85%,80%,98%,90%,57%,67%,97%,61%,69%,78%,99%
Visibilité,10km,10km,10km,7.5km,8.75km,10km,10km,10km,10km,10km,10km,10km,10km,10km,4.75km,5.75km,10km,10km,10km,10km,10km,5.5km,9.75km,10km,5.375km,9.125km,10km,10km,10km,4.5km
Couverture nuageuse,6%,3%,21%,92%,20%,15%,5%,2%,11%,39%,0%,0%,1%,4%,49%,84%,23%,15%,2%,3%,9%,47%,27%,9%,86%,47%,4%,1%,14%,95%
Indice de chaleur,12,14,15,10,13,11,10,14,15,15,15,18,20,19,13,18,16,13,14,16,13,18,16,10,11,13,7,12,11,16
Point de rosée,3°C,6°C,8°C,10°C,5°C,3°C,0°C,3°C,7°C,9°C,8°C,2°C,7°C,10°C,10°C,17°C,15°C,5°C,3°C,8°C,8°C,13°C,13°C,1°C,7°C,12°C,0°C,1°C,3°C,14°C
Pression,1031hPa,1033hPa,1028hPa,1012hPa,1013hPa,1027hPa,1030hPa,1021hPa,1017hPa,1024hPa,1032hPa,1031hPa,1026hPa,1019hPa,1017hPa,1017hPa,1018hPa,1022hPa,1027hPa,1027hPa,1031hPa,1028hPa,1020hPa,1027hPa,1025hPa,1010hPa,1020hPa,1031hPa,1032hPa,1028hPa
Heure du lever du soleil,06:35:00,06:36:00,06:37:00,06:38:00,06:40:00,06:41:00,06:42:00,06:43:00,06:44:00,06:45:00,06:46:00,06:47:00,06:49:00,06:50:00,06:51:00,06:52:00,06:53:00,06:54:00,06:55:00,06:56:00,06:57:00,06:58:00,07:00:00,07:01:00,07:02:00,07:03:00,07:04:00,07:05:00,07:06:00,07:07:00
Heure du coucher du soleil,17:08:00,17:07:00,17:06:00,17:04:00,17:03:00,17:02:00,17:01:00,17:00:00,16:59:00,16:58:00,16:58:00,16:57:00,16:56:00,16:55:00,16:54:00,16:54:00,16:53:00,16:52:00,16:51:00,16:51:00,16:50:00,16:50:00,16:49:00,16:49:00,16:48:00,16:48:00,16:48:00,16:47:00,16:47:00,16:47:00
Durée du jour,10:33:0,10:31:0,10:29:0,10:26:0,10:23:0,10:21:0,10:19:0,10:17:0,10:15:0,10:13:0,10:12:0,10:10:0,10:7:0,10:5:0,10:3:0,10:2:0,10:0:0,9:58:0,9:56:0,9:55:0,9:53:0,9:52:0,9:49:0,9:48:0,9:46:0,9:45:0,9:44:0,9:42:0,9:41:0,9:40:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,,0mm,49mm,1mm,0mm,,,,,,,,0mm,1mm,15mm,0mm,,,,0mm,1mm,2mm,0mm,2mm,3mm,0mm,,0mm,2mm
