field,2012/01/01,2012/01/02,2012/01/03,2012/01/04,2012/01/05,2012/01/06,2012/01/07,2012/01/08,2012/01/09,2012/01/10,2012/01/11,2012/01/12,2012/01/13,2012/01/14,2012/01/15,2012/01/16,2012/01/17,2012/01/18,2012/01/19,2012/01/20,2012/01/21,2012/01/22,2012/01/23,2012/01/24,2012/01/25,2012/01/26,2012/01/27,2012/01/28,2012/01/29,2012/01/30,2012/01/31
Température maximale,15°,6°,0°,1°,5°,11°,14°,10°,6°,11°,8°,13°,9°,1°,2°,4°,14°,10°,5°,1°,3°,1°,11°,13°,8°,12°,17°,10°,8°,5°,16°
Température minimale,3°,0°,-3°,-8°,-1°,-1°,2°,2°,0°,0°,1°,7°,-1°,-4°,-4°,-5°,4°,0°,-3°,-3°,0°,-5°,1°,4°,-1°,3°,10°,4°,-2°,-2°,0°
Vitesse du vent,25km/h,28km/h,29km/h,17km/h,22km/h,18km/h,18km/h,15km/h,10km/h,19km/h,20km/h,19km/h,32km/h,21km/h,18km/h,23km/h,32km/h,30km/h,20km/h,18km/h,17km/h,15km/h,17km/h,16km/h,11km/h,15km/h,33km/h,21km/h,25km/h,21km/h,21km/h
Température du vent,1°,-5°,-10°,-11°,-5°,-5°,-1°,0°,0°,-4°,-3°,5°,-7°,-9°,-8°,-9°,-1°,-7°,-6°,-8°,-4°,-10°,-1°,3°,-3°,1°,7°,2°,-6°,-6°,-5°
Précipitations,0mm,,,0mm,1mm,0mm,,,,0mm,20mm,16mm,1mm,0mm,0mm,3mm,9mm,0mm,,0mm,11mm,1mm,10mm,1mm,0mm,6mm,13mm,5mm,0mm,,0mm
Humidité,100%,71%,65%,86%,97%,86%,82%,81%,95%,99%,96%,100%,59%,70%,89%,92%,94%,71%,90%,86%,98%,85%,99%,100%,98%,93%,97%,88%,86%,80%,86%
Visibilité,7.5km,10km,10km,10km,10km,10km,10km,10km,8km,6.25km,6.625km,9.375km,9.875km,10km,10km,9.875km,8.75km,10km,8km,9km,8.125km,8km,6.5km,7.5km,7.5km,6.625km,7.625km,8.75km,10km,10km,10km
Couverture nuageuse,48%,31%,34%,20%,22%,5%,4%,13%,69%,27%,50%,52%,30%,16%,11%,21%,62%,29%,16%,28%,89%,64%,100%,43%,17%,95%,62%,44%,12%,7%,13%
Indice de chaleur,15,6,0,1,5,11,14,10,6,11,8,13,9,1,2,4,14,10,5,1,3,1,11,13,8,12,17,10,8,5,16
Point de rosée,7°C,1°C,0°C,,0°C,5°C,6°C,1°C,2°C,2°C,7°C,10°C,7°C,0°C,,0°C,10°C,9°C,0°C,0°C,2°C,1°C,10°C,7°C,2°C,12°C,16°C,2°C,0°C,0°C,4°C
Pression,1021hPa,1013hPa,1024hPa,1027hPa,1017hPa,1016hPa,1020hPa,1028hPa,1027hPa,1019hPa,1019hPa,1001hPa,1013hPa,1021hPa,1035hPa,1037hPa,1022hPa,1023hPa,1023hPa,1026hPa,1023hPa,1031hPa,1027hPa,1026hPa,1029hPa,1025hPa,1015hPa,1019hPa,1026hPa,1030hPa,1024hPa
Heure du lever du soleil,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:27:00,07:26:00,07:26:00,07:26:00,07:25:00,07:25:00,07:25:00,07:24:00,07:24:00,07:23:00,07:22:00,07:22:00,07:21:00,07:21:00,07:20:00,07:19:00,07:18:00,07:18:00,07:17:00,07:16:00
Heure du coucher du soleil,16:56:00,16:57:00,16:58:00,16:59:00,17:00:00,17:01:00,17:02:00,17:03:00,17:04:00,17:05:00,17:06:00,17:07:00,17:08:00,17:09:00,17:10:00,17:11:00,17:12:00,17:13:00,17:14:00,17:15:00,17:17:00,17:18:00,17:19:00,17:20:00,17:21:00,17:22:00,17:23:00,17:25:00,17:26:00,17:27:00,17:28:00
Durée du jour,9:29:0,9:30:0,9:31:0,9:32:0,9:33:0,9:34:0,9:35:0,9:36:0,9:37:0,9:38:0,9:39:0,9:40:0,9:42:0,9:43:0,9:44:0,9:46:0,9:47:0,9:48:0,9:50:0,9:51:0,9:54:0,9:56:0,9:57:0,9:59:0,10:0:0,10:2:0,10:4:0,10:7:0,10:8:0,10:10:0,10:12:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
