field,2011/08/01,2011/08/02,2011/08/03,2011/08/04,2011/08/05,2011/08/06,2011/08/07,2011/08/08,2011/08/09,2011/08/10,2011/08/11,2011/08/12,2011/08/13,2011/08/14,2011/08/15,2011/08/16,2011/08/17,2011/08/18,2011/08/19,2011/08/20,2011/08/21,2011/08/22,2011/08/23,2011/08/24,2011/08/25,2011/08/26,2011/08/27,2011/08/28,2011/08/29,2011/08/30,2011/08/31
Température maximale,35°,32°,32°,29°,31°,33°,32°,34°,31°,32°,30°,30°,31°,25°,27°,28°,31°,32°,32°,32°,33°,27°,27°,29°,31°,32°,26°,28°,26°,27°,28°
Température minimale,26°,26°,26°,24°,23°,24°,26°,26°,26°,24°,23°,23°,23°,22°,21°,20°,23°,22°,23°,24°,24°,21°,18°,19°,23°,24°,24°,22°,18°,18°,20°
Vitesse du vent,14km/h,20km/h,18km/h,18km/h,20km/h,23km/h,20km/h,22km/h,14km/h,27km/h,10km/h,9km/h,19km/h,14km/h,19km/h,22km/h,10km/h,14km/h,6km/h,6km/h,21km/h,20km/h,10km/h,19km/h,23km/h,13km/h,23km/h,38km/h,10km/h,8km/h,10km/h
Température du vent,26°,26°,26°,24°,23°,24°,26°,26°,26°,24°,23°,23°,23°,22°,21°,20°,23°,22°,23°,24°,24°,21°,18°,19°,23°,24°,24°,22°,18°,18°,20°
Précipitations,1mm,0mm,6mm,1mm,0mm,6mm,8mm,0mm,39mm,0mm,,0mm,9mm,32mm,1mm,1mm,0mm,3mm,4mm,0mm,8mm,0mm,,0mm,8mm,1mm,5mm,30mm,0mm,,0mm
Humidité,57%,69%,63%,85%,81%,91%,87%,77%,90%,64%,63%,61%,65%,84%,92%,82%,71%,81%,76%,71%,79%,80%,62%,63%,88%,82%,94%,84%,66%,73%,63%
Visibilité,9.75km,10km,9.375km,8.875km,9km,8.625km,8.875km,9km,6.875km,10km,10km,10km,9.125km,7.5km,8km,9.875km,10km,9.5km,9.625km,10km,9.5km,10km,10km,10km,9.375km,10km,8.625km,8.375km,10km,10km,10km
Couverture nuageuse,14%,13%,58%,55%,26%,63%,44%,23%,33%,11%,8%,12%,40%,69%,41%,52%,13%,31%,17%,27%,36%,19%,6%,6%,41%,17%,82%,61%,18%,4%,8%
Indice de chaleur,36,32,37,31,32,38,36,37,34,32,29,30,34,27,28,29,31,33,33,34,35,27,26,29,34,35,29,30,26,27,28
Point de rosée,22°C,20°C,23°C,21°C,20°C,24°C,24°C,22°C,24°C,18°C,16°C,17°C,21°C,22°C,19°C,18°C,21°C,20°C,21°C,19°C,22°C,18°C,15°C,16°C,22°C,23°C,23°C,19°C,16°C,17°C,16°C
Pression,1016hPa,1011hPa,1008hPa,1015hPa,1018hPa,1018hPa,1010hPa,1004hPa,1005hPa,1008hPa,1015hPa,1018hPa,1018hPa,1014hPa,1008hPa,1015hPa,1021hPa,1018hPa,1013hPa,1015hPa,1015hPa,1015hPa,1019hPa,1020hPa,1013hPa,1014hPa,1011hPa,1005hPa,1016hPa,1021hPa,1023hPa
Heure du lever du soleil,05:09:00,05:10:00,05:11:00,05:12:00,05:13:00,05:13:00,05:14:00,05:15:00,05:16:00,05:17:00,05:18:00,05:19:00,05:20:00,05:21:00,05:22:00,05:23:00,05:24:00,05:24:00,05:25:00,05:26:00,05:27:00,05:28:00,05:29:00,05:30:00,05:31:00,05:32:00,05:33:00,05:33:00,05:34:00,05:35:00,05:36:00
Heure du coucher du soleil,19:20:00,19:19:00,19:18:00,19:17:00,19:16:00,19:14:00,19:13:00,19:12:00,19:11:00,19:10:00,19:08:00,19:07:00,19:06:00,19:05:00,19:03:00,19:02:00,19:01:00,18:59:00,18:58:00,18:56:00,18:55:00,18:54:00,18:52:00,18:51:00,18:49:00,18:48:00,18:46:00,18:45:00,18:43:00,18:42:00,18:40:00
Durée du jour,14:11:0,14:9:0,14:7:0,14:5:0,14:3:0,14:1:0,13:59:0,13:57:0,13:55:0,13:53:0,13:50:0,13:48:0,13:46:0,13:44:0,13:41:0,13:39:0,13:37:0,13:35:0,13:33:0,13:30:0,13:28:0,13:26:0,13:23:0,13:21:0,13:18:0,13:16:0,13:13:0,13:12:0,13:9:0,13:7:0,13:4:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
