field,2012/05/01,2012/05/02,2012/05/03,2012/05/04,2012/05/05,2012/05/06,2012/05/07,2012/05/08,2012/05/09,2012/05/10,2012/05/11,2012/05/12,2012/05/13,2012/05/14,2012/05/15,2012/05/16,2012/05/17,2012/05/18,2012/05/19,2012/05/20,2012/05/21,2012/05/22,2012/05/23,2012/05/24,2012/05/25,2012/05/26,2012/05/27,2012/05/28,2012/05/29,2012/05/30,2012/05/31
Température maximale,28°,28°,31°,33°,25°,21°,21°,25°,25°,19°,21°,25°,28°,24°,24°,29°,26°,23°,27°,27°,23°,26°,25°,26°,30°,32°,33°,33°,33°,30°,30°
Température minimale,18°,19°,15°,20°,18°,14°,14°,17°,20°,13°,7°,12°,17°,18°,19°,19°,15°,15°,15°,19°,16°,17°,18°,17°,19°,19°,20°,20°,20°,21°,19°
Vitesse du vent,21km/h,10km/h,8km/h,13km/h,22km/h,11km/h,23km/h,27km/h,14km/h,30km/h,24km/h,13km/h,22km/h,17km/h,15km/h,13km/h,19km/h,20km/h,18km/h,24km/h,16km/h,11km/h,12km/h,18km/h,20km/h,14km/h,18km/h,14km/h,21km/h,11km/h,20km/h
Température du vent,18°,19°,14°,20°,18°,14°,13°,17°,20°,11°,5°,11°,17°,18°,19°,19°,14°,15°,15°,19°,16°,17°,18°,17°,19°,19°,20°,20°,20°,21°,19°
Précipitations,4mm,8mm,1mm,18mm,0mm,1mm,0mm,6mm,6mm,1mm,0mm,,0mm,2mm,8mm,1mm,1mm,0mm,0mm,1mm,9mm,7mm,1mm,2mm,1mm,0mm,1mm,1mm,6mm,5mm,0mm
Humidité,90%,82%,91%,84%,77%,91%,89%,75%,80%,73%,74%,70%,68%,96%,97%,93%,80%,91%,65%,72%,96%,99%,100%,99%,100%,98%,97%,99%,92%,97%,86%
Visibilité,9.625km,9.125km,7.625km,5.75km,10km,8km,7.75km,10km,9.75km,10km,10km,10km,10km,7.875km,8.25km,9.75km,9.875km,10km,10km,10km,8.75km,8.5km,7.25km,6.25km,6.5km,8.75km,8.75km,7.75km,9.5km,9.5km,10km
Couverture nuageuse,46%,33%,48%,49%,20%,68%,84%,76%,54%,7%,5%,3%,25%,66%,66%,39%,7%,5%,4%,21%,92%,68%,45%,56%,53%,30%,23%,36%,33%,58%,10%
Indice de chaleur,29,29,32,34,25,24,24,26,26,19,23,25,28,25,26,29,25,24,26,27,25,27,27,27,32,34,35,37,35,33,28
Point de rosée,20°C,19°C,20°C,22°C,17°C,16°C,13°C,18°C,19°C,12°C,5°C,13°C,16°C,17°C,20°C,19°C,16°C,15°C,13°C,18°C,19°C,21°C,20°C,20°C,21°C,21°C,21°C,22°C,23°C,21°C,17°C
Pression,1018hPa,1018hPa,1020hPa,1017hPa,1016hPa,1019hPa,1020hPa,1016hPa,1009hPa,1011hPa,1021hPa,1027hPa,1024hPa,1020hPa,1016hPa,1014hPa,1020hPa,1022hPa,1022hPa,1022hPa,1018hPa,1014hPa,1017hPa,1020hPa,1021hPa,1023hPa,1022hPa,1019hPa,1014hPa,1009hPa,1013hPa
Heure du lever du soleil,05:10:00,05:09:00,05:08:00,05:06:00,05:05:00,05:04:00,05:03:00,05:02:00,05:01:00,05:00:00,04:59:00,04:58:00,04:57:00,04:56:00,04:55:00,04:54:00,04:53:00,04:53:00,04:52:00,04:51:00,04:50:00,04:50:00,04:49:00,04:48:00,04:48:00,04:47:00,04:47:00,04:46:00,04:46:00,04:45:00,04:45:00
Heure du coucher du soleil,19:01:00,19:02:00,19:03:00,19:04:00,19:05:00,19:06:00,19:07:00,19:08:00,19:09:00,19:10:00,19:11:00,19:12:00,19:13:00,19:14:00,19:15:00,19:15:00,19:16:00,19:17:00,19:18:00,19:19:00,19:20:00,19:21:00,19:21:00,19:22:00,19:23:00,19:24:00,19:25:00,19:25:00,19:26:00,19:27:00,19:28:00
Durée du jour,13:51:0,13:53:0,13:55:0,13:58:0,14:0:0,14:2:0,14:4:0,14:6:0,14:8:0,14:10:0,14:12:0,14:14:0,14:16:0,14:18:0,14:20:0,14:21:0,14:23:0,14:24:0,14:26:0,14:28:0,14:30:0,14:31:0,14:32:0,14:34:0,14:35:0,14:37:0,14:38:0,14:39:0,14:40:0,14:42:0,14:43:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
