field,2015/03/01,2015/03/02,2015/03/03,2015/03/04,2015/03/05,2015/03/06,2015/03/07,2015/03/08,2015/03/09,2015/03/10,2015/03/11,2015/03/12,2015/03/13,2015/03/14,2015/03/15,2015/03/16,2015/03/17,2015/03/18,2015/03/19,2015/03/20,2015/03/21,2015/03/22,2015/03/23,2015/03/24,2015/03/25,2015/03/26,2015/03/27,2015/03/28,2015/03/29,2015/03/30,2015/03/31
Température maximale,0°,7°,0°,8°,3°,-2°,8°,11°,14°,12°,18°,15°,9°,14°,11°,19°,19°,10°,12°,5°,17°,11°,8°,8°,12°,23°,10°,4°,10°,17°,17°
Température minimale,-7°,1°,-7°,4°,-4°,-17°,-8°,1°,2°,5°,10°,4°,1°,11°,4°,4°,12°,1°,2°,3°,-1°,1°,-2°,1°,3°,10°,6°,-2°,-3°,4°,4°
Vitesse du vent,17km/h,24km/h,20km/h,12km/h,20km/h,14km/h,14km/h,23km/h,4km/h,10km/h,13km/h,16km/h,17km/h,21km/h,36km/h,23km/h,35km/h,27km/h,5km/h,16km/h,17km/h,21km/h,15km/h,14km/h,23km/h,27km/h,20km/h,30km/h,21km/h,27km/h,36km/h
Température du vent,-11°,-5°,-10°,1°,-9°,-25°,-13°,-2°,2°,2°,8°,1°,-2°,8°,0°,2°,9°,-5°,2°,-1°,-3°,-5°,-6°,-3°,-1°,8°,2°,-9°,-8°,-1°,2°
Précipitations,12mm,2mm,6mm,11mm,20mm,0mm,,0mm,1mm,16mm,3mm,0mm,5mm,25mm,0mm,0mm,1mm,0mm,0mm,14mm,1mm,0mm,0mm,1mm,1mm,6mm,13mm,1mm,0mm,4mm,4mm
Humidité,98%,92%,93%,98%,95%,90%,76%,92%,95%,99%,97%,84%,81%,98%,86%,85%,93%,61%,64%,100%,93%,71%,55%,71%,75%,98%,85%,70%,54%,85%,84%
Visibilité,7.875km,9.875km,7.875km,9km,5.875km,7.75km,10km,10km,9km,7.75km,7.875km,10km,8.5km,8.125km,10km,10km,10km,10km,10km,5.375km,8km,10km,10km,9km,10km,8km,7.875km,10km,10km,9.625km,9.375km
Couverture nuageuse,82%,30%,71%,91%,88%,14%,12%,20%,45%,90%,55%,2%,54%,88%,27%,36%,18%,12%,35%,100%,44%,17%,35%,93%,75%,80%,90%,34%,5%,38%,35%
Indice de chaleur,0,5,0,8,3,0,8,10,14,10,18,17,12,14,11,20,19,11,13,5,15,8,8,5,12,25,10,4,11,15,17
Point de rosée,1°C,2°C,2°C,8°C,2°C,0°C,4°C,5°C,9°C,11°C,13°C,3°C,6°C,14°C,5°C,11°C,14°C,0°C,0°C,5°C,10°C,3°C,0°C,0°C,8°C,17°C,5°C,0°C,0°C,6°C,11°C
Pression,1042hPa,1032hPa,1033hPa,1018hPa,1033hPa,1037hPa,1031hPa,1025hPa,1026hPa,1025hPa,1027hPa,1037hPa,1037hPa,1025hPa,1022hPa,1021hPa,1020hPa,1024hPa,1026hPa,1026hPa,1021hPa,1024hPa,1027hPa,1029hPa,1030hPa,1019hPa,1011hPa,1024hPa,1029hPa,1020hPa,1015hPa
Heure du lever du soleil,06:41:00,06:39:00,06:38:00,06:36:00,06:35:00,06:33:00,06:32:00,06:30:00,06:29:00,06:27:00,06:26:00,06:24:00,06:23:00,06:21:00,06:20:00,06:18:00,06:17:00,06:15:00,06:13:00,06:12:00,06:10:00,06:09:00,06:07:00,06:06:00,06:04:00,06:03:00,06:01:00,06:00:00,05:58:00,05:56:00,05:55:00
Heure du coucher du soleil,18:01:00,18:02:00,18:03:00,18:04:00,18:05:00,18:06:00,18:07:00,18:08:00,18:09:00,18:10:00,18:11:00,18:12:00,18:13:00,18:14:00,18:15:00,18:16:00,18:17:00,18:18:00,18:19:00,18:20:00,18:21:00,18:22:00,18:23:00,18:24:00,18:25:00,18:26:00,18:26:00,18:27:00,18:28:00,18:29:00,18:30:00
Durée du jour,11:20:0,11:23:0,11:25:0,11:28:0,11:30:0,11:33:0,11:35:0,11:38:0,11:40:0,11:43:0,11:45:0,11:48:0,11:50:0,11:53:0,11:55:0,11:58:0,12:0:0,12:3:0,12:6:0,12:8:0,12:11:0,12:13:0,12:16:0,12:18:0,12:21:0,12:23:0,12:25:0,12:27:0,12:30:0,12:33:0,12:35:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
