field,2014/04/01,2014/04/02,2014/04/03,2014/04/04,2014/04/05,2014/04/06,2014/04/07,2014/04/08,2014/04/09,2014/04/10,2014/04/11,2014/04/12,2014/04/13,2014/04/14,2014/04/15,2014/04/16,2014/04/17,2014/04/18,2014/04/19,2014/04/20,2014/04/21,2014/04/22,2014/04/23,2014/04/24,2014/04/25,2014/04/26,2014/04/27,2014/04/28,2014/04/29,2014/04/30
Température maximale,17°,22°,17°,18°,13°,17°,13°,18°,17°,20°,25°,25°,26°,24°,21°,9°,10°,14°,18°,17°,22°,23°,15°,19°,20°,22°,20°,18°,12°,20°
Température minimale,4°,11°,11°,10°,6°,6°,6°,15°,8°,11°,12°,11°,15°,17°,5°,-3°,3°,3°,9°,8°,6°,12°,7°,5°,10°,10°,8°,9°,10°,15°
Vitesse du vent,13km/h,14km/h,12km/h,16km/h,25km/h,8km/h,16km/h,26km/h,21km/h,22km/h,15km/h,14km/h,24km/h,28km/h,39km/h,20km/h,16km/h,8km/h,15km/h,17km/h,9km/h,17km/h,30km/h,19km/h,22km/h,17km/h,16km/h,13km/h,25km/h,24km/h
Température du vent,4°,9°,10°,8°,4°,5°,4°,13°,6°,10°,11°,11°,14°,17°,-1°,-10°,0°,1°,9°,6°,4°,11°,3°,1°,8°,8°,5°,8°,7°,15°
Précipitations,0mm,1mm,6mm,15mm,0mm,0mm,15mm,5mm,0mm,0mm,3mm,1mm,1mm,1mm,25mm,0mm,1mm,0mm,,,0mm,1mm,0mm,0mm,15mm,2mm,0mm,4mm,15mm,58mm
Humidité,79%,80%,94%,96%,80%,72%,98%,96%,77%,66%,86%,86%,94%,92%,98%,82%,79%,89%,78%,77%,69%,81%,74%,60%,96%,87%,73%,71%,97%,99%
Visibilité,9km,9km,7.5km,6km,10km,10km,8.75km,9.625km,10km,10km,9.75km,8km,8.75km,10km,5.625km,10km,10km,7.75km,10km,10km,10km,9.75km,10km,10km,9km,9.875km,10km,9.125km,6.5km,6.25km
Couverture nuageuse,13%,42%,85%,79%,14%,7%,80%,34%,14%,13%,33%,13%,32%,52%,73%,3%,35%,35%,38%,9%,11%,46%,14%,6%,45%,22%,10%,61%,98%,100%
Indice de chaleur,17,25,17,18,13,17,13,18,17,20,26,25,27,25,24,9,10,14,18,17,24,25,15,19,20,24,20,18,12,20
Point de rosée,10°C,13°C,13°C,17°C,9°C,3°C,13°C,14°C,6°C,9°C,15°C,13°C,18°C,17°C,20°C,1°C,4°C,7°C,10°C,9°C,10°C,18°C,7°C,6°C,14°C,16°C,8°C,11°C,12°C,19°C
Pression,1023hPa,1020hPa,1021hPa,1013hPa,1022hPa,1025hPa,1022hPa,1006hPa,1019hPa,1023hPa,1019hPa,1025hPa,1022hPa,1016hPa,1016hPa,1035hPa,1038hPa,1035hPa,1027hPa,1030hPa,1026hPa,1012hPa,1016hPa,1020hPa,1017hPa,1014hPa,1020hPa,1020hPa,1020hPa,1021hPa
Heure du lever du soleil,05:53:00,05:51:00,05:50:00,05:48:00,05:47:00,05:45:00,05:44:00,05:42:00,05:41:00,05:39:00,05:38:00,05:36:00,05:35:00,05:33:00,05:32:00,05:31:00,05:29:00,05:28:00,05:26:00,05:25:00,05:23:00,05:22:00,05:21:00,05:19:00,05:18:00,05:17:00,05:15:00,05:14:00,05:13:00,05:12:00
Heure du coucher du soleil,18:32:00,18:33:00,18:33:00,18:34:00,18:35:00,18:36:00,18:37:00,18:38:00,18:39:00,18:40:00,18:41:00,18:42:00,18:43:00,18:44:00,18:45:00,18:46:00,18:47:00,18:48:00,18:49:00,18:50:00,18:51:00,18:52:00,18:53:00,18:54:00,18:55:00,18:56:00,18:57:00,18:58:00,18:59:00,19:00:00
Durée du jour,12:39:0,12:42:0,12:43:0,12:46:0,12:48:0,12:51:0,12:53:0,12:56:0,12:58:0,13:1:0,13:3:0,13:6:0,13:8:0,13:11:0,13:13:0,13:15:0,13:18:0,13:20:0,13:23:0,13:25:0,13:28:0,13:30:0,13:32:0,13:35:0,13:37:0,13:39:0,13:42:0,13:44:0,13:46:0,13:48:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
