field,2011/07/01,2011/07/02,2011/07/03,2011/07/04,2011/07/05,2011/07/06,2011/07/07,2011/07/08,2011/07/09,2011/07/10,2011/07/11,2011/07/12,2011/07/13,2011/07/14,2011/07/15,2011/07/16,2011/07/17,2011/07/18,2011/07/19,2011/07/20,2011/07/21,2011/07/22,2011/07/23,2011/07/24,2011/07/25,2011/07/26,2011/07/27,2011/07/28,2011/07/29,2011/07/30,2011/07/31
Température maximale,30°,33°,33°,31°,32°,31°,34°,31°,31°,33°,34°,36°,34°,28°,30°,30°,32°,34°,34°,35°,38°,40°,39°,35°,33°,34°,32°,34°,38°,34°,34°
Température minimale,20°,19°,22°,22°,21°,23°,21°,24°,20°,22°,22°,25°,24°,18°,20°,20°,19°,21°,24°,25°,27°,31°,30°,29°,28°,26°,25°,26°,26°,27°,27°
Vitesse du vent,13km/h,4km/h,10km/h,9km/h,9km/h,21km/h,10km/h,13km/h,12km/h,12km/h,21km/h,21km/h,17km/h,18km/h,10km/h,15km/h,13km/h,15km/h,10km/h,14km/h,15km/h,10km/h,14km/h,14km/h,6km/h,15km/h,16km/h,12km/h,14km/h,15km/h,7km/h
Température du vent,20°,19°,22°,22°,21°,23°,21°,24°,20°,22°,22°,25°,24°,18°,20°,20°,19°,21°,24°,25°,27°,31°,30°,29°,28°,26°,25°,26°,26°,27°,27°
Humidité,67%,82%,74%,79%,82%,83%,89%,82%,87%,68%,69%,85%,78%,72%,74%,65%,71%,77%,81%,81%,76%,66%,64%,71%,79%,71%,61%,64%,77%,70%,61%
Visibilité,10km,10km,9.625km,9.75km,10km,9.75km,9.5km,8.375km,9km,10km,10km,10km,9.875km,10km,10km,10km,10km,10km,8.625km,10km,10km,9.875km,9km,9.625km,9km,10km,10km,10km,9km,10km,10km
Couverture nuageuse,7%,9%,25%,15%,27%,13%,22%,38%,26%,9%,7%,20%,16%,6%,6%,8%,8%,4%,19%,13%,13%,18%,23%,40%,21%,9%,10%,18%,36%,19%,20%
Indice de chaleur,29,31,35,33,33,34,36,34,33,34,36,42,38,27,29,29,33,36,42,40,45,49,46,40,42,33,31,36,42,35,38
Point de rosée,18°C,18°C,22°C,22°C,19°C,23°C,22°C,24°C,24°C,20°C,23°C,24°C,22°C,16°C,17°C,18°C,20°C,23°C,26°C,25°C,25°C,25°C,25°C,24°C,26°C,20°C,17°C,22°C,23°C,22°C,24°C
Pression,1017hPa,1019hPa,1014hPa,1013hPa,1016hPa,1015hPa,1015hPa,1012hPa,1015hPa,1018hPa,1017hPa,1010hPa,1012hPa,1018hPa,1020hPa,1023hPa,1023hPa,1020hPa,1012hPa,1012hPa,1012hPa,1013hPa,1015hPa,1014hPa,1013hPa,1009hPa,1015hPa,1018hPa,1016hPa,1016hPa,1018hPa
Heure du lever du soleil,04:46:00,04:47:00,04:47:00,04:48:00,04:48:00,04:49:00,04:49:00,04:50:00,04:51:00,04:51:00,04:52:00,04:53:00,04:53:00,04:54:00,04:55:00,04:56:00,04:56:00,04:57:00,04:58:00,04:59:00,05:00:00,05:00:00,05:01:00,05:02:00,05:03:00,05:04:00,05:05:00,05:05:00,05:06:00,05:07:00,05:08:00
Heure du coucher du soleil,19:38:00,19:38:00,19:38:00,19:37:00,19:37:00,19:37:00,19:37:00,19:36:00,19:36:00,19:36:00,19:35:00,19:35:00,19:34:00,19:34:00,19:33:00,19:33:00,19:32:00,19:32:00,19:31:00,19:30:00,19:29:00,19:29:00,19:28:00,19:27:00,19:26:00,19:25:00,19:25:00,19:24:00,19:23:00,19:22:00,19:21:00
Durée du jour,14:52:0,14:51:0,14:51:0,14:49:0,14:49:0,14:48:0,14:48:0,14:46:0,14:45:0,14:45:0,14:43:0,14:42:0,14:41:0,14:40:0,14:38:0,14:37:0,14:36:0,14:35:0,14:33:0,14:31:0,14:29:0,14:29:0,14:27:0,14:25:0,14:23:0,14:21:0,14:20:0,14:19:0,14:17:0,14:15:0,14:13:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,0mm,4mm,2mm,0mm,2mm,6mm,28mm,1mm,0mm,0mm,1mm,2mm,0mm,,,,0mm,13mm,1mm,0mm,2mm,10mm,7mm,10mm,0mm,,0mm,1mm,0mm,0mm
