field,2011/12/01,2011/12/02,2011/12/03,2011/12/04,2011/12/05,2011/12/06,2011/12/07,2011/12/08,2011/12/09,2011/12/10,2011/12/11,2011/12/12,2011/12/13,2011/12/14,2011/12/15,2011/12/16,2011/12/17,2011/12/18,2011/12/19,2011/12/20,2011/12/21,2011/12/22,2011/12/23,2011/12/24,2011/12/25,2011/12/26,2011/12/27,2011/12/28,2011/12/29,2011/12/30,2011/12/31
Température maximale,9°,11°,9°,14°,15°,17°,17°,6°,11°,6°,4°,7°,8°,9°,16°,12°,9°,4°,10°,7°,15°,16°,13°,7°,10°,7°,11°,5°,7°,12°,14°
Température minimale,0°,1°,-1°,1°,7°,14°,11°,0°,1°,2°,-2°,-1°,-1°,2°,5°,4°,2°,-1°,-1°,4°,9°,10°,9°,2°,1°,0°,2°,1°,-2°,0°,7°
Vitesse du vent,19km/h,10km/h,8km/h,15km/h,13km/h,17km/h,15km/h,24km/h,16km/h,23km/h,6km/h,5km/h,17km/h,4km/h,27km/h,21km/h,20km/h,15km/h,18km/h,9km/h,23km/h,6km/h,21km/h,16km/h,18km/h,26km/h,25km/h,35km/h,18km/h,13km/h,22km/h
Température du vent,-5°,0°,-3°,0°,6°,13°,9°,-5°,-1°,-2°,-4°,-2°,-4°,1°,1°,0°,-2°,-4°,-5°,2°,6°,9°,6°,1°,-3°,-5°,-3°,-4°,-3°,-4°,5°
Humidité,93%,98%,97%,100%,99%,97%,97%,81%,82%,91%,97%,97%,96%,89%,84%,68%,85%,98%,89%,92%,96%,87%,87%,92%,86%,83%,85%,86%,93%,98%,94%
Visibilité,10km,6.5km,7.75km,6.5km,6.5km,7.5km,7.5km,9km,10km,10km,7.75km,8km,6.5km,10km,8.375km,10km,9.125km,7.75km,10km,9km,7.375km,9.625km,9.125km,7.75km,10km,10km,7km,10km,9km,7.75km,9.375km
Couverture nuageuse,1%,28%,12%,32%,52%,99%,98%,13%,9%,21%,1%,16%,29%,55%,40%,32%,32%,43%,12%,75%,74%,39%,55%,34%,13%,11%,57%,9%,19%,15%,32%
Indice de chaleur,9,11,9,14,15,17,17,6,11,6,4,7,8,9,16,12,9,4,10,7,15,16,13,7,10,7,11,5,7,12,14
Point de rosée,3°C,3°C,2°C,7°C,12°C,15°C,16°C,0°C,5°C,2°C,0°C,1°C,1°C,3°C,11°C,11°C,3°C,0°C,2°C,4°C,14°C,12°C,12°C,2°C,1°C,0°C,10°C,3°C,1°C,5°C,7°C
Pression,1028hPa,1034hPa,1038hPa,1034hPa,1028hPa,1022hPa,1012hPa,1029hPa,1027hPa,1034hPa,1038hPa,1037hPa,1032hPa,1030hPa,1025hPa,1026hPa,1023hPa,1027hPa,1026hPa,1026hPa,1019hPa,1022hPa,1026hPa,1033hPa,1030hPa,1027hPa,1024hPa,1017hPa,1019hPa,1017hPa,1019hPa
Heure du lever du soleil,07:08:00,07:09:00,07:10:00,07:11:00,07:11:00,07:12:00,07:13:00,07:14:00,07:15:00,07:16:00,07:17:00,07:17:00,07:18:00,07:19:00,07:20:00,07:20:00,07:21:00,07:22:00,07:22:00,07:23:00,07:23:00,07:24:00,07:24:00,07:25:00,07:25:00,07:26:00,07:26:00,07:26:00,07:26:00,07:27:00,07:27:00
Heure du coucher du soleil,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:46:00,16:47:00,16:47:00,16:47:00,16:48:00,16:48:00,16:48:00,16:49:00,16:49:00,16:50:00,16:50:00,16:51:00,16:51:00,16:52:00,16:53:00,16:53:00,16:54:00,16:55:00,16:56:00
Durée du jour,9:38:0,9:37:0,9:36:0,9:35:0,9:35:0,9:34:0,9:33:0,9:32:0,9:31:0,9:30:0,9:29:0,9:29:0,9:28:0,9:28:0,9:27:0,9:27:0,9:27:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:26:0,9:27:0,9:27:0,9:28:0,9:28:0,9:29:0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations,,,,0mm,1mm,6mm,43mm,6mm,0mm,,,,,0mm,1mm,0mm,1mm,0mm,0mm,1mm,7mm,4mm,8mm,0mm,,0mm,21mm,0mm,,0mm,1mm
